p_pass,p_blow,p_neither,med_days_to_resolve,avg_final_pnl,phase,dd,mode,policy,pnl_per_10d
0.33265,0.6454,0.021950000000000025,1.0,412.65930610122683,eval5d,3000,intraday,cushion/400,
0.28455,0.66015,0.055299999999999905,2.0,264.5329038898468,eval5d,3000,intraday,cushion/600,
0.24365,0.5647,0.19165,2.0,315.3655781415462,eval5d,3000,intraday,cushion/1000,
0.0943,0.0886,0.8170999999999999,5.0,181.0223566643238,eval5d,3000,eod,fixed1,
0.3067,0.26805,0.42525,5.0,265.92105400226114,eval5d,3000,eod,fixed2,
0.4377,0.3416,0.2207,3.0,259.2614151591301,eval5d,3000,eod,fixed3,
0.59035,0.322,0.08764999999999995,2.0,622.0924959962845,eval5d,3000,eod,fixed5,
0.64885,0.3151,0.03604999999999997,2.0,478.54722347288134,eval5d,3000,eod,fixed8,
0.6945,0.28435,0.021150000000000002,1.0,471.64639769859315,eval5d,3000,eod,fixed12,
0.72015,0.26115,0.01870000000000005,1.0,467.8791552307129,eval5d,3000,eod,fixed15,
0.75535,0.2293,0.01535000000000003,1.0,605.4976989379883,eval5d,3000,eod,fixed20,
0.68665,0.2846,0.028749999999999998,1.0,521.991619026184,eval5d,3000,eod,cushion/250,
0.5945,0.3371,0.06839999999999996,2.0,418.6991045630455,eval5d,3000,eod,cushion/400,
0.53165,0.3134,0.15495000000000003,2.0,529.8486000917435,eval5d,3000,eod,cushion/600,
0.37615,0.28135,0.3425,3.0,228.79555506191252,eval5d,3000,eod,cushion/1000,
0.0898,0.11015,0.80005,5.0,192.77541483466626,eval5d,4000,intraday,fixed1,
0.27075,0.41905,0.3102,4.0,283.8653871091366,eval5d,4000,intraday,fixed2,
0.3538,0.51195,0.13424999999999998,2.0,415.3399229829788,eval5d,4000,intraday,fixed3,
0.3869,0.56705,0.046049999999999924,2.0,382.3692814775467,eval5d,4000,intraday,fixed5,
0.4196,0.56025,0.02015,1.0,433.5651604095459,eval5d,4000,intraday,fixed8,
0.42595,0.56005,0.013999999999999901,1.0,439.533734091568,eval5d,4000,intraday,fixed12,
0.4188,0.5673,0.013899999999999912,1.0,415.2960793876648,eval5d,4000,intraday,fixed15,
0.43715,0.55,0.012850000000000028,1.0,518.6552991455078,eval5d,4000,intraday,fixed20,
0.41945,0.56585,0.014700000000000046,1.0,420.87562369461057,eval5d,4000,intraday,cushion/250,
0.42165,0.5583,0.0200499999999999,1.0,486.28957853507995,eval5d,4000,intraday,cushion/400,
0.3876,0.554,0.05840000000000001,2.0,374.81600544662473,eval5d,4000,intraday,cushion/600,
0.3419,0.48405,0.17405000000000004,2.0,365.93584784092906,eval5d,4000,intraday,cushion/1000,
0.0951,0.04625,0.85865,5.0,182.76525611615182,eval5d,4000,eod,fixed1,
0.31325,0.1783,0.50845,5.0,276.7437825235367,eval5d,4000,eod,fixed2,
0.45055,0.26995,0.27949999999999997,3.0,280.6118889876366,eval5d,4000,eod,fixed3,
0.60695,0.28235,0.11070000000000002,2.0,614.9574205274582,eval5d,4000,eod,fixed5,
0.6661,0.28995,0.04394999999999999,2.0,488.1840210943222,eval5d,4000,eod,fixed8,
0.70485,0.2711,0.024050000000000016,1.0,499.2009772335052,eval5d,4000,eod,fixed12,
