date,net,gross,round_trips,open,close,ret_frac,gross_ret_frac,half_day,year,net_usd
2008-01-23,0.0,0.0,0,1179.28,1241.06,0.0,0.0,False,2008,0.0
2008-01-24,0.0,0.0,0,1244.77,1252.17,0.0,0.0,False,2008,0.0
2008-01-25,0.0,0.0,0,1266.06,1233.43,0.0,0.0,False,2008,0.0
2008-01-28,0.0,0.0,0,1235.74,1255.41,0.0,0.0,False,2008,0.0
2008-01-29,0.0,0.0,0,1262.12,1261.66,0.0,0.0,False,2008,0.0
2008-01-30,0.0,0.0,0,1256.57,1254.49,0.0,0.0,False,2008,0.0
2008-01-31,0.0,0.0,0,1236.2,1272.07,0.0,0.0,False,2008,0.0
2008-02-01,0.0,0.0,0,1278.09,1292.67,0.0,0.0,False,2008,0.0
2008-02-04,0.0,0.0,0,1290.12,1278.78,0.0,0.0,False,2008,0.0
2008-02-05,0.0,0.0,0,1258.42,1238.98,0.0,0.0,False,2008,0.0
2008-02-06,0.0,0.0,0,1246.16,1229.26,0.0,0.0,False,2008,0.0
2008-02-07,0.0,0.0,0,1223.01,1238.75,0.0,0.0,False,2008,0.0
2008-02-08,0.0,0.0,0,1233.43,1232.5,0.0,0.0,False,2008,0.0
2008-02-11,0.0,0.0,0,1232.04,1239.44,0.0,0.0,False,2008,0.0
2008-02-12,0.0,0.0,0,1248.7,1249.16,0.0,0.0,False,2008,0.0
2008-02-13,0.0,0.0,0,1259.11,1264.9,0.0,0.0,False,2008,0.0
2008-02-14,0.0,0.0,0,1267.21,1249.16,0.0,0.0,False,2008,0.0
2008-02-15,0.0,0.0,0,1244.77,1249.63,0.0,0.0,False,2008,0.0
2008-02-18,0.0,0.0,0,1255.64,1266.29,0.0,0.0,True,2008,0.0
2008-02-19,0.0,0.0,0,1264.44,1249.16,0.0,0.0,False,2008,0.0
2008-02-20,0.0,0.0,0,1239.21,1259.11,0.0,0.0,False,2008,0.0
2008-02-21,0.0,0.0,0,1263.97,1243.84,0.0,0.0,False,2008,0.0
2008-02-22,0.0,0.0,0,1248.24,1255.18,0.0,0.0,False,2008,0.0
2008-02-25,0.0,0.0,0,1253.33,1269.99,0.0,0.0,False,2008,0.0
2008-02-26,0.0,0.0,0,1264.21,1279.25,0.0,0.0,False,2008,0.0
2008-02-27,0.0,0.0,0,1271.84,1277.16,0.0,0.0,False,2008,0.0
2008-02-28,0.0,0.0,0,1268.6,1266.29,0.0,0.0,False,2008,0.0
2008-02-29,0.11400000000004551,0.7000000000000455,1,1253.1,1233.43,9.097438352888478e-05,0.0005586146357034917,False,2008,5.700000000002276
2008-03-03,0.0,0.0,0,1230.19,1232.97,0.0,0.0,False,2008,0.0
2008-03-04,0.0,0.0,0,1221.63,1228.11,0.0,0.0,False,2008,0.0
2008-03-05,0.0,0.0,0,1232.5,1234.82,0.0,0.0,False,2008,0.0
2008-03-06,0.0,0.0,0,1228.57,1208.2,0.0,0.0,False,2008,0.0
2008-03-07,0.0,0.0,0,1197.79,1197.79,0.0,0.0,False,2008,0.0
2008-03-10,0.0,0.0,0,1198.48,1180.43,0.0,0.0,False,2008,0.0
2008-03-11,0.0,0.0,0,1206.82,1222.32,0.0,0.0,False,2008,0.0
2008-03-12,0.0,0.0,0,1225.56,1211.91,0.0,0.0,False,2008,0.0
2008-03-13,0.0,0.0,0,1196.17,1217.92,0.0,0.0,False,2008,0.0
2008-03-14,-4.746000000000082,-4.160000000000082,1,1225.77,1192.72,-0.0038718519787562774,-0.003393785130978962,False,2008,-237.3000000000041
2008-03-17,0.0,0.0,0,1164.76,1179.55,0.0,0.0,False,2008,0.0
2008-03-18,0.0,0.0,0,1204.27,1230.39,0.0,0.0,False,2008,0.0
2008-03-19,0.0,0.0,0,1237.09,1201.73,0.0,0.0,False,2008,0.0
2008-03-20,0.0,0.0,0,1204.97,1230.39,0.0,0.0,False,2008,0.0
2008-03-24,4.504000000000145,5.0900000000001455,1,1235.01,1249.34,0.003646934032922928,0.004121424118023454,False,2008,225.20000000000726
2008-03-25,0.0,0.0,0,1249.34,1251.42,0.0,0.0,False,2008,0.0
2008-03-26,0.0,0.0,0,1246.1,1240.33,0.0,0.0,False,2008,0.0
2008-03-27,0.0,0.0,0,1243.79,1227.15,0.0,0.0,False,2008,0.0
2008-03-28,0.0,0.0,0,1232.24,1217.68,0.0,0.0,False,2008,0.0
2008-03-31,0.0,0.0,0,1216.52,1222.53,0.0,0.0,False,2008,0.0
2008-04-01,-2.905999999999936,-2.3199999999999363,1,1237.55,1268.52,-0.0023481879520018878,-0.0018746717304350825,False,2008,-145.2999999999968
2008-04-02,0.0,0.0,0,1270.14,1266.44,0.0,0.0,False,2008,0.0
2008-04-03,0.0,0.0,0,1259.74,1267.13,0.0,0.0,False,2008,0.0
2008-04-04,0.0,0.0,0,1268.98,1269.21,0.0,0.0,False,2008,0.0
2008-04-07,0.0,0.0,0,1277.07,1269.68,0.0,0.0,False,2008,0.0
