vm,interval,stop,window,confirm,max_rts,n,avg,t,sharpe,n_rec,avg_rec,t_rec,sharpe_rec
1.0,30,band_vwap,pm,1,2,4082.0,12.57,1.76,0.44,600.0,67.09,1.99,1.29
1.0,30,band_vwap,pm,1,99,4082.0,12.85,1.79,0.44,600.0,66.87,1.98,1.28
1.0,30,band_vwap,pm,2,2,4082.0,9.13,1.43,0.35,600.0,48.3,1.53,0.99
1.0,30,band_vwap,pm,2,99,4082.0,8.89,1.38,0.34,600.0,48.57,1.53,0.99
1.0,30,band_vwap,skip_lunch,1,2,4082.0,21.12,2.3,0.57,600.0,67.05,1.57,1.02
1.0,30,band_vwap,skip_lunch,1,99,4082.0,22.56,2.44,0.61,600.0,71.7,1.67,1.08
1.0,30,band_vwap,skip_lunch,2,2,4082.0,15.02,2.05,0.51,600.0,35.54,1.08,0.7
1.0,30,band_vwap,skip_lunch,2,99,4082.0,14.48,1.95,0.49,600.0,39.14,1.19,0.77
1.0,30,vwap,all,1,2,4082.0,20.76,1.92,0.48,600.0,81.61,1.59,1.03
1.0,30,vwap,all,1,99,4082.0,22.5,2.08,0.52,600.0,75.02,1.45,0.94
1.0,30,vwap,all,2,2,4082.0,18.53,2.13,0.53,600.0,60.95,1.53,0.99
1.0,30,vwap,all,2,99,4082.0,17.3,1.97,0.49,600.0,57.04,1.42,0.92
1.0,30,vwap,am,1,2,4082.0,18.48,2.04,0.51,600.0,62.73,1.44,0.94
1.0,30,vwap,am,1,99,4082.0,19.04,2.1,0.52,600.0,62.73,1.44,0.94
1.0,30,vwap,am,2,2,4082.0,12.82,1.85,0.46,600.0,28.83,0.87,0.56
1.0,30,vwap,am,2,99,4082.0,12.55,1.81,0.45,600.0,28.83,0.87,0.56
1.0,30,vwap,am_ext,1,2,4082.0,16.78,1.62,0.4,600.0,60.58,1.22,0.79
1.0,30,vwap,am_ext,1,99,4082.0,18.1,1.74,0.43,600.0,62.55,1.25,0.81
1.0,30,vwap,am_ext,2,2,4082.0,16.84,2.05,0.51,600.0,46.36,1.2,0.78
1.0,30,vwap,am_ext,2,99,4082.0,16.96,2.06,0.51,600.0,44.61,1.16,0.75
1.0,30,vwap,pm,1,2,4082.0,14.66,1.97,0.49,600.0,74.69,2.11,1.36
1.0,30,vwap,pm,1,99,4082.0,14.59,1.95,0.48,600.0,74.47,2.1,1.36
1.0,30,vwap,pm,2,2,4082.0,9.49,1.39,0.35,600.0,52.95,1.61,1.04
1.0,30,vwap,pm,2,99,4082.0,9.25,1.35,0.34,600.0,53.22,1.61,1.05
1.0,30,vwap,skip_lunch,1,2,4082.0,22.98,2.3,0.57,600.0,83.15,1.78,1.15
1.0,30,vwap,skip_lunch,1,99,4082.0,24.82,2.49,0.62,600.0,87.29,1.87,1.21
1.0,30,vwap,skip_lunch,2,2,4082.0,12.4,1.57,0.39,600.0,27.99,0.77,0.5
1.0,30,vwap,skip_lunch,2,99,4082.0,12.13,1.53,0.38,600.0,31.59,0.87,0.57
1.25,15,band_vwap,all,1,2,4082.0,9.17,1.07,0.27,600.0,30.59,0.76,0.49
1.25,15,band_vwap,all,1,99,4082.0,12.25,1.38,0.34,600.0,44.95,1.09,0.71
1.25,15,band_vwap,all,2,2,4082.0,11.03,1.39,0.35,600.0,35.33,0.97,0.63
1.25,15,band_vwap,all,2,99,4082.0,9.45,1.18,0.29,600.0,27.38,0.74,0.48
1.25,15,band_vwap,am,1,2,4082.0,9.94,1.4,0.35,600.0,15.0,0.44,0.28
1.25,15,band_vwap,am,1,99,4082.0,9.47,1.32,0.33,600.0,13.28,0.39,0.25
1.25,15,band_vwap,am,2,2,4082.0,6.32,0.98,0.24,600.0,-1.62,-0.05,-0.03
1.25,15,band_vwap,am,2,99,4082.0,5.54,0.86,0.21,600.0,-2.35,-0.08,-0.05
1.25,15,band_vwap,am_ext,1,2,4082.0,6.13,0.76,0.19,600.0,7.83,0.21,0.13
