day,nr4_prior,nr7_prior,prev_day_ret,saty_comp_1h,comp_run_1h,rr6_60,phase_zone_1h,vix_open,vix_close,vix_prev_close,rvol14
2008-01-02,,,,1.0,2.0,,neutral,22.57999992370605,23.170000076293945,,
2008-01-03,False,False,,1.0,3.0,,neutral_down,23.11000061035156,22.489999771118164,23.170000076293945,
2008-01-04,False,False,-0.0005123179043968,0.0,0.0,,neutral_down,23.5,23.940000534057617,22.489999771118164,
2008-01-07,False,False,-0.0249307273443131,1.0,3.0,1.0006359974560028,neutral,24.6200008392334,23.790000915527344,23.940000534057617,
2008-01-08,False,False,0.0042283459167891,1.0,27.0,0.692892103148521,neutral_up,23.270000457763672,25.43000030517578,23.790000915527344,
2008-01-09,False,False,-0.0193078020210601,0.0,0.0,1.0605859297150084,neutral_down,25.61000061035156,24.1200008392334,25.43000030517578,
2008-01-10,False,False,0.0141412734882064,0.0,0.0,0.9066683789771042,neutral,24.559999465942383,23.450000762939453,24.1200008392334,
2008-01-11,False,False,0.007063579846676,1.0,2.0,0.868391046030123,neutral,24.040000915527344,23.68000030517578,23.450000762939453,
2008-01-14,True,False,-0.0129752084895585,1.0,25.0,0.8629441624365373,neutral_up,23.76000022888184,22.899999618530277,23.68000030517578,
2008-01-15,True,True,0.0101221720845996,0.0,0.0,1.0418335049384095,neutral_down,24.100000381469727,23.34000015258789,22.899999618530277,
2008-01-16,False,False,-0.0249644829708189,0.0,0.0,1.1949317024938788,neutral_down,23.899999618530277,24.3799991607666,23.34000015258789,
2008-01-17,False,False,-0.0066697314186426,1.0,24.0,1.228391055519506,neutral,24.11000061035156,28.459999084472656,24.3799991607666,
2008-01-18,False,False,-0.0292269678785739,1.0,2.0,1.0306662347478517,neutral,27.549999237060547,27.18000030517578,28.459999084472656,
2008-01-21,False,False,-0.0054218279074651,0.0,0.0,2.2977164387268627,accumulation,,,27.18000030517578,
2008-01-22,True,False,-0.0483150266476017,1.0,2.0,1.6754381105386518,neutral_down,35.119998931884766,31.01000022888184,,
2008-01-23,False,False,0.037535960935966,1.0,5.0,1.3270342475057726,neutral_down,33.84000015258789,29.020000457763672,31.01000022888184,0.026557270550528134
2008-01-24,False,False,0.0211291941614966,0.0,0.0,0.802746047898188,neutral_up,28.06999969482422,27.780000686645508,29.020000457763672,0.029717795744501768
2008-01-25,False,False,0.0089520248819559,1.0,3.0,0.5727251529120602,neutral_up,26.190000534057617,29.07999992370605,27.780000686645508,0.029040965047791856
2008-01-28,False,False,-0.0149660189910315,0.0,0.0,0.780615274973276,neutral,29.670000076293945,27.780000686645508,29.07999992370605,0.030240789169308696
2008-01-29,False,False,0.0178202249012915,1.0,2.0,0.7780717711261779,neutral_up,26.61000061035156,27.31999969482422,27.780000686645508,0.029793230613872377
2008-01-30,True,True,0.0049784532543153,1.0,26.0,0.8588130973102452,neutral,27.530000686645508,27.6200008392334,27.31999969482422,0.029042880040666814
2008-01-31,False,False,-0.0056829890778815,0.0,0.0,1.3690278574231105,neutral_down,28.780000686645508,26.200000762939453,27.6200008392334,0.02912150752442769
2008-02-01,False,False,0.0140136629227813,1.0,1.0,1.1668387313629918,neutral_up,25.65999984741211,24.020000457763672,26.200000762939453,0.030622031696489416
2008-02-04,False,False,0.0161940773699562,1.0,1.0,0.5698166431593862,neutral,25.09000015258789,25.989999771118164,24.020000457763672,0.03098275163512499
2008-02-05,True,True,-0.0107452017916406,0.0,0.0,1.2239743327189585,accumulation,27.200000762939453,28.239999771118164,25.989999771118164,0.029930001228109515
2008-02-06,False,False,-0.0311234145044495,1.0,3.0,1.195937090432503,neutral,27.75,28.96999931335449,28.239999771118164,0.030773175733329928
2008-02-07,False,False,-0.0078451629566256,0.0,0.0,1.1440731005132017,neutral_down,29.51000022888184,27.65999984741211,28.96999931335449,0.029715753653156325
2008-02-08,False,False,0.0077200917625237,1.0,4.0,0.9056386651323398,neutral,27.979999542236328,28.01000022888184,27.65999984741211,0.029248472623902327
2008-02-11,True,False,-0.0050454086781028,1.0,8.0,0.9103464841169764,neutral,29.13999938964844,27.600000381469727,28.01000022888184,0.026676702469855634
