date,contract,net_usd,round_trips,rr6_60
2026-06-10,NQM6,0.0,0,1.1016767748840528
2026-06-11,NQM6,-5014.3,1,0.6232747017087582
2026-06-12,NQM6,-3889.3,1,0.9690291570307895
2026-06-15,NQU6,2250.7,1,0.445950204853451
2026-06-16,NQU6,7430.700000000001,1,0.7135969141755063
2026-06-17,NQU6,0.0,0,1.0394317903502328
2026-06-18,NQU6,0.0,0,0.9170189268441297
2026-06-19,NQU6,0.0,0,0.7493549855820307
2026-06-22,NQU6,0.0,0,0.703401102033061
2026-06-23,NQU6,0.0,0,1.2967775467775466
2026-06-24,NQU6,-1824.3000000000002,1,0.7290839088186764
2026-06-25,NQU6,-5399.299999999999,1,0.5732175969471394
2026-06-26,NQU6,0.0,0,0.7196127478228646
2026-06-29,NQU6,2590.7,1,0.5058565153733529
2026-06-30,NQU6,2925.7,1,0.600467029912154
2026-07-01,NQU6,0.0,0,0.7719165085388994
2026-07-02,NQU6,-443.599999999999,2,1.4030124627265081
2026-07-03,NQU6,0.0,0,0.4077344918453102
2026-07-06,NQU6,0.0,0,0.5908863294942414
2026-07-07,NQU6,-4589.3,1,0.8211182304924076
2026-07-08,NQU6,0.0,0,1.5842310642697528
2026-07-09,NQU6,-2949.3,1,0.7619017572640945
2026-07-10,NQU6,0.0,0,0.6498937641226266
