date,net_pts,round_trips,net_usd,day,rr6_60,rvol14
2008-01-23,0.0,0,0.0,2008-01-23,1.1615866244667667,0.031357349708305386
2008-01-24,-2.5499999999998906,2,-50.99999999999781,2008-01-24,0.7473626580158043,0.03473166480672354
2008-01-25,0.0,0,0.0,2008-01-25,0.5364327694803266,0.03294715609239579
2008-01-28,0.0,0,0.0,2008-01-28,0.8176209575332758,0.034335701830228736
2008-01-29,0.0,0,0.0,2008-01-29,0.7556791104050862,0.03298883653823056
2008-01-30,0.0,0,0.0,2008-01-30,0.6551529941805906,0.03175705337728827
2008-01-31,0.0,0,0.0,2008-01-31,1.4365727857636659,0.03199396022517627
2008-02-01,0.0,0,0.0,2008-02-01,1.5701223723101496,0.03285221220457979
2008-02-04,0.0,0,0.0,2008-02-04,0.5810964561122565,0.03299592030517259
2008-02-05,0.0,0,0.0,2008-02-05,0.970574276222114,0.03162069581205353
2008-02-06,0.0,0,0.0,2008-02-06,1.1597570867954368,0.031561029886143045
2008-02-07,0.0,0,0.0,2008-02-07,0.8932823436034296,0.03175665466483662
2008-02-08,4.634999999999909,1,92.69999999999818,2008-02-08,0.7702083238778237,0.03262160766981861
2008-02-11,0.0,0,0.0,2008-02-11,0.8672552166934152,0.03055565910559008
2008-02-12,0.0,0,0.0,2008-02-12,1.0458917958458487,0.028425098742316583
2008-02-13,0.0,0,0.0,2008-02-13,1.273762169527281,0.02593990301233783
2008-02-14,21.23499999999982,1,424.69999999999635,2008-02-14,0.7443867092530028,0.026172415629784607
2008-02-15,0.0,0,0.0,2008-02-15,1.0424090812545752,0.024584279707638528
2008-02-18,9.975000000000055,1,199.50000000000108,2008-02-18,0.8452114954927219,0.0240551459565732
2008-02-19,34.1750000000001,1,683.5000000000019,2008-02-19,1.2810512263434737,0.024473783674091237
2008-02-20,0.0,0,0.0,2008-02-20,1.3831600266752262,0.024932883440973195
2008-02-21,0.0,0,0.0,2008-02-21,0.985197920161026,0.023487021688401447
2008-02-22,-25.195000000000018,1,-503.9000000000004,2008-02-22,0.9560631956313288,0.023786996425722073
2008-02-25,-26.739999999999945,2,-534.7999999999989,2008-02-25,0.7655679920845962,0.0242029509475691
2008-02-26,0.0,0,0.0,2008-02-26,0.9852397810148404,0.023195250140205275
2008-02-27,0.0,0,0.0,2008-02-27,0.9432967959527809,0.022653531127134315
2008-02-28,0.0,0,0.0,2008-02-28,0.8923901393354732,0.021229250274189513
2008-02-29,14.474999999999827,1,289.49999999999653,2008-02-29,1.2674675676803124,0.02079734704995687
2008-03-03,-13.249999999999936,2,-264.99999999999875,2008-03-03,1.046640923518585,0.021839154957972045
2008-03-04,0.0,0,0.0,2008-03-04,1.228219294517635,0.021312724460854415
2008-03-05,-2.1249999999998543,1,-42.49999999999709,2008-03-05,0.8365546634949004,0.021318200220879022
2008-03-06,0.0,0,0.0,2008-03-06,0.9396052709563929,0.02106651693768783
2008-03-07,-13.094999999999882,1,-261.89999999999765,2008-03-07,1.467491159096746,0.02219537357385789
2008-03-10,17.01500000000002,1,340.30000000000035,2008-03-10,1.007104200821471,0.022922910688639764
2008-03-11,21.225000000000055,1,424.5000000000011,2008-03-11,1.3685422610249978,0.022264112194703218
2008-03-12,-11.965,1,-239.3,2008-03-12,1.0115764705882329,0.0235746147627143
2008-03-13,-18.870000000000054,2,-377.4000000000011,2008-03-13,0.9387485795975211,0.02314941030766618
2008-03-14,-1.150000000000027,2,-23.00000000000054,2008-03-14,1.270797828416819,0.024182951800125346
2008-03-17,0.0,0,0.0,2008-03-17,1.0281972283073475,0.02581199635589625
2008-03-18,10.899999999999928,2,217.99999999999855,2008-03-18,0.5437231448147658,0.026113314758185173
2008-03-19,27.604999999999936,1,552.0999999999988,2008-03-19,0.9737711046040677,0.027866464588708385
2008-03-20,8.814999999999973,1,176.29999999999944,2008-03-20,0.9305470190534736,0.02928566115247409
2008-03-24,41.90499999999989,1,838.0999999999977,2008-03-24,0.6272080100836221,0.028814983845661644
2008-03-25,0.0,0,0.0,2008-03-25,0.8468295360966147,0.030230282714724308
2008-03-26,0.0,0,0.0,2008-03-26,0.9169318555909146,0.029790468579525473
2008-03-27,-11.364999999999863,1,-227.29999999999728,2008-03-27,1.100727126734167,0.02939807112858404
2008-03-28,0.0,0,0.0,2008-03-28,0.7877936670071508,0.029020116922882058
2008-03-31,-16.70500000000001,1,-334.1000000000002,2008-03-31,1.022022299443585,0.02852988351567207
2008-04-01,32.925000000000324,1,658.5000000000065,2008-04-01,1.2888603805858507,0.027787292616950073
2008-04-02,0.0,0,0.0,2008-04-02,0.8784612688398408,0.028006922226197266
2008-04-03,0.0,0,0.0,2008-04-03,1.1910140302157362,0.027923676161607007
2008-04-04,-16.135000000000073,1,-322.70000000000147,2008-04-04,0.9247368191150207,0.02659305743321275
2008-04-07,0.0,0,0.0,2008-04-07,0.6921388393469599,0.02522441046080649
2008-04-08,0.0,0,0.0,2008-04-08,0.7347012146580535,0.024288568073330814
2008-04-09,9.934999999999636,1,198.6999999999927,2008-04-09,0.9301232504700211,0.022181602185458317
2008-04-10,4.614999999999927,1,92.29999999999855,2008-04-10,1.0824704945333472,0.02120176632904746
2008-04-11,15.545000000000218,1,310.90000000000435,2008-04-11,1.4334624355380694,0.020976667967850575
2008-04-14,0.0,0,0.0,2008-04-14,1.0257734273270103,0.0206807911390506
2008-04-15,-11.36500000000009,1,-227.30000000000183,2008-04-15,1.1350521221146668,0.02024765418615751
2008-04-16,15.274999999999782,1,305.4999999999956,2008-04-16,0.734408115638319,0.02041813674202893
2008-04-17,-6.324999999999672,1,-126.49999999999345,2008-04-17,0.9167828469785061,0.020939418949335865
2008-04-18,-7.725000000000218,1,-154.50000000000438,2008-04-18,1.0690814227662755,0.020071898452685966
2008-04-21,0.0,0,0.0,2008-04-21,1.0183129855715853,0.0216820088453596
2008-04-22,7.1450000000001275,1,142.90000000000254,2008-04-22,0.9944955169674168,0.01964911331948432
2008-04-23,-10.254999999999963,1,-205.09999999999928,2008-04-23,1.0808798106332655,0.020041161189249024
2008-04-24,-6.1999999999999815,2,-123.99999999999963,2008-04-24,1.0420610369823287,0.01994473835960637
2008-04-25,-4.635000000000073,1,-92.70000000000145,2008-04-25,0.711945616118583,0.020613925341922534
2008-04-28,0.0,0,0.0,2008-04-28,0.6249869794379181,0.02064398253862388
2008-04-29,0.0,0,0.0,2008-04-29,0.6364705560570046,0.020450613428959825
2008-04-30,-6.885000000000073,1,-137.70000000000147,2008-04-30,1.2139076034648497,0.02012463513958057
2008-05-01,48.354999999999706,1,967.0999999999941,2008-05-01,0.8018023222228677,0.02027807699970375
2008-05-02,0.0,0,0.0,2008-05-02,1.3313968173781234,0.020128656138036386
2008-05-05,0.0,0,0.0,2008-05-05,0.5558795399939315,0.020505333086263653
2008-05-06,-15.574999999999672,1,-311.49999999999346,2008-05-06,0.7028001803336008,0.020352672893827882
2008-05-07,13.584999999999727,1,271.69999999999453,2008-05-07,0.8567859895293598,0.019661313389915506
2008-05-08,-10.524999999999945,1,-210.49999999999892,2008-05-08,0.7014105572603674,0.02088344465266522
2008-05-09,0.0,0,0.0,2008-05-09,0.8634714053309762,0.019285434077390282
2008-05-12,22.835000000000182,1,456.7000000000036,2008-05-12,0.6645033860045196,0.01920137626724485
2008-05-13,-9.124999999999854,1,-182.4999999999971,2008-05-13,1.0542708547586332,0.018918275383797596
2008-05-14,-0.715,1,-14.299999999999999,2008-05-14,1.1886693907647203,0.018652391992311307
2008-05-15,13.864999999999927,1,277.29999999999853,2008-05-15,0.5819466393976069,0.01780014596804211
2008-05-16,2.924999999999873,1,58.499999999997456,2008-05-16,0.7641535744166532,0.018094092559040372
2008-05-19,0.0,0,0.0,2008-05-19,0.5620006017852976,0.018317746022856112
2008-05-20,-10.9600000000002,2,-219.200000000004,2008-05-20,0.7480207480207731,0.01888653895926793
2008-05-21,28.16500000000011,1,563.3000000000022,2008-05-21,1.0369253527537527,0.018313606235189385
2008-05-22,-6.6049999999998725,1,-132.09999999999746,2008-05-22,0.9439682956525787,0.01848646293314641
2008-05-23,-15.855000000000327,1,-317.10000000000656,2008-05-23,0.8238337425464843,0.018107542137700026
2008-05-26,0.0,0,0.0,2008-05-26,0.49731862794698783,0.01798007361130113
2008-05-27,-2.394999999999836,1,-47.89999999999672,2008-05-27,1.2121018088682576,0.016775117396489028
2008-05-28,-14.165000000000273,1,-283.30000000000547,2008-05-28,1.3176075185162117,0.016011609651118173
2008-05-29,7.415000000000109,1,148.30000000000217,2008-05-29,1.1177107256935994,0.015943715384793278
2008-05-30,-6.325000000000127,1,-126.50000000000254,2008-05-30,0.7555555555555515,0.01621217093174883
2008-06-02,13.584999999999727,1,271.69999999999453,2008-06-02,0.7819466771815902,0.015547157418512437
2008-06-03,0.0,0,0.0,2008-06-03,1.2739188228384277,0.016211614787369603
2008-06-04,18.625000000000146,1,372.5000000000029,2008-06-04,0.8798167262992809,0.01672944956600443
2008-06-05,19.18500000000009,1,383.7000000000018,2008-06-05,0.8451658001660161,0.016896687518387077
2008-06-06,35.45500000000007,1,709.1000000000014,2008-06-06,1.3424433543564485,0.017252026465321542
2008-06-09,-0.4349999999997999,1,-8.699999999995997,2008-06-09,1.027062197267269,0.01788324385023462
2008-06-10,0.0,0,0.0,2008-06-10,1.0622598278879307,0.018660733268687082
2008-06-11,36.14000000000016,2,722.8000000000031,2008-06-11,0.6182735426009072,0.017414333706234134
2008-06-12,-13.335000000000345,1,-266.7000000000069,2008-06-12,0.8399851291359725,0.018379525917152563
2008-06-13,0.9649999999998363,1,19.299999999996725,2008-06-13,1.2368902946562321,0.019273588662401992
2008-06-16,-6.564999999999909,1,-131.2999999999982,2008-06-16,0.7012213525423189,0.020598947064556682
2008-06-17,0.0,0,0.0,2008-06-17,0.5579616154065928,0.02075327752831323
2008-06-18,-23.024999999999945,1,-460.4999999999989,2008-06-18,1.123836245376867,0.020761968555164788
2008-06-19,11.554999999999982,1,231.09999999999962,2008-06-19,0.9779969092648592,0.02078638454933417
2008-06-20,24.094999999999946,1,481.8999999999989,2008-06-20,0.7439791711868196,0.022093157326738548
2008-06-23,0.0,0,0.0,2008-06-23,0.922587486744423,0.02297850041520244
2008-06-24,0.0,0,0.0,2008-06-24,1.081967213114739,0.022345413052660502
2008-06-25,14.335000000000182,1,286.7000000000036,2008-06-25,0.6987136086662089,0.022153212555081014
2008-06-26,39.15499999999989,1,783.0999999999977,2008-06-26,1.0383126361886392,0.022607078473617405
2008-06-27,-18.55499999999969,1,-371.0999999999938,2008-06-27,1.220025757916464,0.02340619633755764
2008-06-30,0.0,0,0.0,2008-06-30,1.203400420319217,0.023043592398075848
2008-07-01,0.0,0,0.0,2008-07-01,1.1592676753681026,0.023026800860593253
2008-07-02,28.285,1,565.7,2008-07-02,0.8580864278610609,0.023081089501212522
2008-07-03,0.0,0,0.0,2008-07-03,1.1099818757728164,0.023797107869438564
2008-07-04,0.0,0,0.0,2008-07-04,0.7146350529178154,0.023519191838499456
2008-07-07,-7.6850000000002545,1,-153.7000000000051,2008-07-07,0.9321733740647276,0.02244818017907763
2008-07-08,16.534999999999837,3,330.69999999999675,2008-07-08,1.4150492616441879,0.023534533883571074
2008-07-09,-7.6849999999998,1,-153.699999999996,2008-07-09,0.7495659869966346,0.02436457949246747
2008-07-10,-6.565000000000136,1,-131.30000000000274,2008-07-10,1.1164029563775562,0.024371675760384875
2008-07-11,-2.115000000000091,1,-42.300000000001816,2008-07-11,1.1012141719745145,0.023657887180420382
2008-07-14,0.0,0,0.0,2008-07-14,0.732387502030646,0.024776452773699387
2008-07-15,-8.400000000000027,2,-168.00000000000054,2008-07-15,0.7967040854411354,0.025103988502380516
2008-07-16,29.674999999999873,1,593.4999999999975,2008-07-16,1.1465455414774122,0.02603254920796055
2008-07-17,0.0,0,0.0,2008-07-17,0.9606082692817514,0.025284085370984897
2008-07-18,-10.465,1,-209.3,2008-07-18,1.0263354339183721,0.025163208991936435
2008-07-21,0.0,0,0.0,2008-07-21,0.9089674703702967,0.025524227555804916
2008-07-22,0.0,0,0.0,2008-07-22,0.826086956521737,0.02481615661148402
2008-07-23,-7.414999999999818,1,-148.29999999999637,2008-07-23,0.8512771435732726,0.023930815290006933
2008-07-24,13.505000000000027,1,270.10000000000053,2008-07-24,0.9346113613560134,0.024501200958179477
2008-07-25,-0.9950000000002001,1,-19.900000000004002,2008-07-25,1.0399711341859417,0.025726843293100377
2008-07-28,24.38499999999991,1,487.69999999999817,2008-07-28,0.9500000000000003,0.02505295136745294
2008-07-29,20.755000000000027,1,415.10000000000053,2008-07-29,0.9769922563656185,0.025273390144881953
2008-07-30,-11.314999999999909,1,-226.2999999999982,2008-07-30,0.8620369079161568,0.024995109866720235
2008-07-31,-6.564999999999909,1,-131.2999999999982,2008-07-31,1.2995959462144728,0.024803253934452946
2008-08-01,-20.8950000000001,7,-417.90000000000197,2008-08-01,0.9919304022602989,0.02428864190625125
