time,open,high,low,close,-300.0%,-261.8%,-223.6%,-200.0%,-178.6%,-161.8%,-150.0%,-138.2%,-123.6%,-100%,-78.6%,-61.8%,-50.0%,-38.2%,Lower Trigger,Previous Close,Upper Trigger,38.2%,50.0%,61.8%,78.6%,100%,123.6%,138.2%,150.0%,161.8%,178.6%,200.0%,223.6%,261.8%,300%,High Zone 1000,High Zone 800,High Zone 600,Low Zone -1000,Low Zone -800,Low Zone -600,VWAP,-300.0%,-261.8%,-223.6%,-200.0%,-178.6%,-161.8%,-150.0%,-138.2%,-123.6%,-100%,-78.6%,-61.8%,-50.0%,-38.2%,Lower Trigger,Previous Close,Upper Trigger,38.2%,50.0%,61.8%,78.6%,100%,123.6%,138.2%,150.0%,161.8%,178.6%,200.0%,223.6%,261.8%,300%,Fast EMA,Pullback Overlap EMA,Pivot EMA,Slow EMA,Long-term EMA,Shapes,Shapes,Fast Conviction EMA,Slow Conviction EMA,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Fast EMA,Pullback Overlap EMA,Pivot EMA,Slow EMA,Long-term EMA,Shapes,Shapes,Fast Conviction EMA,Slow Conviction EMA,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Plot,Plot,Plot,Plot,Plot,Plot,Plot,Phase Oscillator,Leaving Accumulation,Leaving Extreme Down,Leaving Distribution,Leaving Extreme Up,Plot,Plot,Plot
2025-09-10T18:00:00-05:00,652.75,653.05,652.27,652.88,634.4158278808865,636.4422324640536,638.4686370472207,639.720551920591,640.8557628650877,641.7469565037582,642.3729139404433,642.9988713771284,643.7733610869252,645.0252759602955,646.1604869047923,647.0516805434627,647.6776379801478,648.3035954168329,649.0780851266297,650.33,651.5819148733704,652.3564045831672,652.9823620198523,653.6083194565374,654.4995130952078,655.6347240397046,656.8866389130749,657.6611286228717,658.2870860595568,658.9130434962419,659.8042371349123,660.9394480794091,662.1913629527794,664.2177675359465,666.2441721191136,,,,,,,652.73274509797,,,,,,,,,,645.0252759602955,646.1604869047923,647.0516805434627,647.6776379801478,648.3035954168329,649.0780851266297,650.33,651.5819148733704,652.3564045831672,652.9823620198523,653.6083194565374,654.4995130952078,655.6347240397046,,,,,,,,,,652.7681566427934,652.6403772034178,652.4981586687129,652.3759734980289,651.2270016161937,0,0,652.6403772034178,652.3759734980289,652.75,653.05,652.27,652.88,648.194664638339,646.489099556254,643.915579438397,633.7821795005476,597.5687599781279,0,0,646.489099556254,633.7821795005476,652.75,653.05,652.27,652.88,100,61.8,23.6,-23.6,-61.8,-100,0,23.04296461787435,,,,,162577,35433.44871794143,4387950.2
2025-09-11T03:00:00-05:00,653.22,653.46,653.1,653.17,634.4158278808865,636.4422324640536,638.4686370472207,639.720551920591,640.8557628650877,641.7469565037582,642.3729139404433,642.9988713771284,643.7733610869252,645.0252759602955,646.1604869047923,647.0516805434627,647.6776379801478,648.3035954168329,649.0780851266297,650.33,651.5819148733704,652.3564045831672,652.9823620198523,653.6083194565374,654.4995130952078,655.6347240397046,656.8866389130749,657.6611286228717,658.2870860595568,658.9130434962419,659.8042371349123,660.9394480794091,662.1913629527794,664.2177675359465,666.2441721191136,,,,,,,653.2433333333333,,,,,,,,,,645.0252759602955,646.1604869047923,647.0516805434627,647.6776379801478,648.3035954168329,649.0780851266297,650.33,651.5819148733704,652.3564045831672,652.9823620198523,653.6083194565374,654.4995130952078,655.6347240397046,,,,,,,,,,653.1205901706267,652.9957941742186,652.8191085368853,652.5672475133516,651.3444592181075,0,0,652.9957941742186,652.5672475133516,653.22,653.46,653.1,653.17,648.194664638339,646.489099556254,643.915579438397,633.7821795005476,597.5687599781279,0,0,646.489099556254,633.7821795005476,653.22,653.46,653.1,653.17,100,61.8,23.6,-23.6,-61.8,-100,0,29.073237699131624,,,,,10567,2054.694444442498,3568577.8
2025-09-11T04:00:00-05:00,653.21,653.28,653.07,653.21,634.4158278808865,636.4422324640536,638.4686370472207,639.720551920591,640.8557628650877,641.7469565037582,642.3729139404433,642.9988713771284,643.7733610869252,645.0252759602955,646.1604869047923,647.0516805434627,647.6776379801478,648.3035954168329,649.0780851266297,650.33,651.5819148733704,652.3564045831672,652.9823620198523,653.6083194565374,654.4995130952078,655.6347240397046,656.8866389130749,657.6611286228717,658.2870860595568,658.9130434962419,659.8042371349123,660.9394480794091,662.1913629527794,664.2177675359465,666.2441721191136,,,,,,,653.2218755022442,,,,,,,,,,645.0252759602955,646.1604869047923,647.0516805434627,647.6776379801478,648.3035954168329,649.0780851266297,650.33,651.5819148733704,652.3564045831672,652.9823620198523,653.6083194565374,654.4995130952078,655.6347240397046,,,,,,,,,,653.1628558447393,653.1063031814325,652.9770428152829,652.7037935689328,651.4517109044866,0,0,653.1063031814325,652.7037935689328,653.21,653.28,653.07,653.21,648.194664638339,646.489099556254,643.915579438397,633.7821795005476,597.5687599781279,0,0,646.489099556254,633.7821795005476,653.21,653.28,653.07,653.21,100,61.8,23.6,-23.6,-61.8,-100,0,32.080554984072776,,,,,6440,2146.6666666655046,2893922.2
2025-09-11T05:00:00-05:00,653.22,653.71,653.22,653.65,634.4158278808865,636.4422324640536,638.4686370472207,639.720551920591,640.8557628650877,641.7469565037582,642.3729139404433,642.9988713771284,643.7733610869252,645.0252759602955,646.1604869047923,647.0516805434627,647.6776379801478,648.3035954168329,649.0780851266297,650.33,651.5819148733704,652.3564045831672,652.9823620198523,653.6083194565374,654.4995130952078,655.6347240397046,656.8866389130749,657.6611286228717,658.2870860595568,658.9130434962419,659.8042371349123,660.9394480794091,662.1913629527794,664.2177675359465,666.2441721191136,,,,,,,653.3746509672816,,,,,,,,,,645.0252759602955,646.1604869047923,647.0516805434627,647.6776379801478,648.3035954168329,649.0780851266297,650.33,651.5819148733704,652.3564045831672,652.9823620198523,653.6083194565374,654.4995130952078,655.6347240397046,,,,,,,,,,653.4806561166296,653.380921990267,653.2288747975841,652.8908931874444,651.5736790703612,0,0,653.380921990267,652.8908931874444,653.22,653.71,653.22,653.65,648.194664638339,646.489099556254,643.915579438397,633.7821795005476,597.5687599781279,0,0,646.489099556254,633.7821795005476,653.22,653.71,653.22,653.65,100,61.8,23.6,-23.6,-61.8,-100,0,39.70318193180388,,,,,17092,2092.897959185697,2550675
2025-09-11T06:00:00-05:00,653.68,653.9,653.6,653.72,634.4158278808865,636.4422324640536,638.4686370472207,639.720551920591,640.8557628650877,641.7469565037582,642.3729139404433,642.9988713771284,643.7733610869252,645.0252759602955,646.1604869047923,647.0516805434627,647.6776379801478,648.3035954168329,649.0780851266297,650.33,651.5819148733704,652.3564045831672,652.9823620198523,653.6083194565374,654.4995130952078,655.6347240397046,656.8866389130749,657.6611286228717,658.2870860595568,658.9130434962419,659.8042371349123,660.9394480794091,662.1913629527794,664.2177675359465,666.2441721191136,,,,,,,653.5842745416668,,,,,,,,,,645.0252759602955,646.1604869047923,647.0516805434627,647.6776379801478,648.3035954168329,649.0780851266297,650.33,651.5819148733704,652.3564045831672,652.9823620198523,653.6083194565374,654.4995130952078,655.6347240397046,,,,,,,,,,653.6778782056058,653.5900087240682,653.4442119224707,653.0742137682317,651.6985178751082,0,0,653.5900087240682,653.0742137682317,653.68,653.9,653.6,653.72,648.194664638339,646.489099556254,643.915579438397,633.7821795005476,597.5687599781279,0,0,646.489099556254,633.7821795005476,653.68,653.9,653.6,653.72,100,61.8,23.6,-23.6,-61.8,-100,0,43.65347662973447,,,,,45901,18360.40000000348,2132314.6
2025-09-11T07:00:00-05:00,653.67,654.58,652,654.21,634.4158278808865,636.4422324640536,638.4686370472207,639.720551920591,640.8557628650877,641.7469565037582,642.3729139404433,642.9988713771284,643.7733610869252,645.0252759602955,646.1604869047923,647.0516805434627,647.6776379801478,648.3035954168329,649.0780851266297,650.33,651.5819148733704,652.3564045831672,652.9823620198523,653.6083194565374,654.4995130952078,655.6347240397046,656.8866389130749,657.6611286228717,658.2870860595568,658.9130434962419,659.8042371349123,660.9394480794091,662.1913629527794,664.2177675359465,666.2441721191136,,,,,,,653.5956896307605,,,,,,,,,,645.0252759602955,646.1604869047923,647.0516805434627,647.6776379801478,648.3035954168329,649.0780851266297,650.33,651.5819148733704,652.3564045831672,652.9823620198523,653.6083194565374,654.4995130952078,655.6347240397046,,,,,,,,,,653.653160934537,653.6099081320718,653.5172321091234,653.1913643252575,651.8092457622176,0,0,653.6099081320718,653.1913643252575,653.67,654.58,652,654.21,648.194664638339,646.489099556254,643.915579438397,633.7821795005476,597.5687599781279,0,0,646.489099556254,633.7821795005476,653.67,654.58,652,654.21,100,61.8,23.6,-23.6,-61.8,-100,0,48.23198569390852,,,,,934671,134041.9651162786,1629902.2
2025-09-11T08:00:00-05:00,654.19,655.63,653.59,655.57,634.4158278808865,636.4422324640536,638.4686370472207,639.720551920591,640.8557628650877,641.7469565037582,642.3729139404433,642.9988713771284,643.7733610869252,645.0252759602955,646.1604869047923,647.0516805434627,647.6776379801478,648.3035954168329,649.0780851266297,650.33,651.5819148733704,652.3564045831672,652.9823620198523,653.6083194565374,654.4995130952078,655.6347240397046,656.8866389130749,657.6611286228717,658.2870860595568,658.9130434962419,659.8042371349123,660.9394480794091,662.1913629527794,664.2177675359465,666.2441721191136,,,,,,,654.7669576535114,,,,,,,,,,645.0252759602955,646.1604869047923,647.0516805434627,647.6776379801478,648.3035954168329,649.0780851266297,650.33,651.5819148733704,652.3564045831672,652.9823620198523,653.6083194565374,654.4995130952078,655.6347240397046,,,,,,,,,,654.3464556166863,654.120144210405,653.9031268915513,653.449260234217,651.9560840267319,0,0,654.120144210405,653.449260234217,654.19,655.63,653.59,655.57,648.194664638339,646.489099556254,643.915579438397,633.7821795005476,597.5687599781279,0,0,646.489099556254,633.7821795005476,654.19,655.63,653.59,655.57,100,61.8,23.6,-23.6,-61.8,-100,0,65.52408938127721,,,,,7289221,214388.8529409853,1073626.7
2025-09-11T09:00:00-05:00,655.57,657,655.38,656.65,636.5282687465374,638.5250758594783,640.5218829724192,641.7555124976916,642.8741426604387,643.7523196106325,644.3691343732687,644.9859491359049,645.7491267235735,646.9827562488458,648.1013864115929,648.9795633617867,649.5963781244229,650.2131928870591,650.9763704747277,652.21,653.4436295252724,654.206807112941,654.8236218755771,655.4404366382133,656.3186135884072,657.4372437511543,658.6708732764266,659.4340508640952,660.0508656267314,660.6676803893675,661.5458573395614,662.6644875023085,663.8981170275808,665.8949241405218,667.8917312534627,657.1,,,,,,655.5380946033745,,,,,,,,,,646.9827562488458,648.1013864115929,648.9795633617867,649.5963781244229,650.2131928870591,650.9763704747277,652.21,653.4436295252724,654.206807112941,654.8236218755771,655.4404366382133,656.3186135884072,657.4372437511543,,,,,,,,,,655.974669863348,655.4862385424497,654.9684905242052,654.0835948141491,652.2088833284263,0,0,655.4862385424497,654.0835948141491,655.57,657,655.38,656.65,648.194664638339,646.489099556254,643.915579438397,633.7821795005476,597.5687599781279,0,0,646.489099556254,633.7821795005476,655.57,657,655.38,656.65,100,61.8,23.6,-23.6,-61.8,-100,0,83.7157473436175,,,,,7952223,1718072.8703704772,1661187.2
2025-09-11T10:00:00-05:00,656.65,657.8,656.54,657.21,636.5282687465374,638.5250758594783,640.5218829724192,641.7555124976916,642.8741426604387,643.7523196106325,644.3691343732687,644.9859491359049,645.7491267235735,646.9827562488458,648.1013864115929,648.9795633617867,649.5963781244229,650.2131928870591,650.9763704747277,652.21,653.4436295252724,654.206807112941,654.8236218755771,655.4404366382133,656.3186135884072,657.4372437511543,658.6708732764266,659.4340508640952,660.0508656267314,660.6676803893675,661.5458573395614,662.6644875023085,663.8981170275808,665.8949241405218,667.8917312534627,,657.9,,,,,655.9719598835399,,,,,,,,,,646.9827562488458,648.1013864115929,648.9795633617867,649.5963781244229,650.2131928870591,650.9763704747277,652.21,653.4436295252724,654.206807112941,654.8236218755771,655.4404366382133,656.3186135884072,657.4372437511543,,,,,,,,,,656.8593687629541,656.4664700544547,655.9009224261571,654.7525296449892,652.4940494917948,0,0,656.4664700544547,654.7525296449892,656.65,657.8,656.54,657.21,648.194664638339,646.489099556254,643.915579438397,633.7821795005476,597.5687599781279,0,0,646.489099556254,633.7821795005476,656.65,657.8,656.54,657.21,100,61.8,23.6,-23.6,-61.8,-100,0,95.2758073035014,,,,,5822287,2726308.9920631335,2230434.6
2025-09-11T11:00:00-05:00,657.21,657.72,656.855,657.16,636.5282687465374,638.5250758594783,640.5218829724192,641.7555124976916,642.8741426604387,643.7523196106325,644.3691343732687,644.9859491359049,645.7491267235735,646.9827562488458,648.1013864115929,648.9795633617867,649.5963781244229,650.2131928870591,650.9763704747277,652.21,653.4436295252724,654.206807112941,654.8236218755771,655.4404366382133,656.3186135884072,657.4372437511543,658.6708732764266,659.4340508640952,660.0508656267314,660.6676803893675,661.5458573395614,662.6644875023085,663.8981170275808,665.8949241405218,667.8917312534627,,,,,,,656.1510347419292,,,,,,,,,,646.9827562488458,648.1013864115929,648.9795633617867,649.5963781244229,650.2131928870591,650.9763704747277,652.21,653.4436295252724,654.206807112941,654.8236218755771,655.4404366382133,656.3186135884072,657.4372437511543,,,,,,,,,,657.2030279643325,656.9825352876832,656.5254658384088,655.3265360926138,652.7770989115929,0,0,656.9825352876832,655.3265360926138,657.21,657.72,656.855,657.16,648.194664638339,646.489099556254,643.915579438397,633.7821795005476,597.5687599781279,0,0,646.489099556254,633.7821795005476,657.21,657.72,656.855,657.16,100,61.8,23.6,-23.6,-61.8,-100,0,96.347438598743,,,,,3614088,1274331.6069361938,2585506.7
