signal_date,peak_po,opex_offset,wk_atr_pos,mo_atr_pos,max_drop_1d,hit_05_1d,hit_10_1d,hit_15_1d,hit_20_1d,max_drop_3d,hit_05_3d,hit_10_3d,hit_15_3d,hit_20_3d,max_drop_5d,hit_05_5d,hit_10_5d,hit_15_5d,hit_20_5d,max_drop_10d,hit_05_10d,hit_10_10d,hit_15_10d,hit_20_10d,extended,deep_ext
2000-03-20,100.02388522637996,-1,0.66574832053963,0.4929283018867915,-1.0062424298891184,True,True,False,False,-1.0062424298891184,True,True,False,False,-1.0062424298891184,True,True,False,False,-1.0062424298891184,True,True,False,False,True,False
2000-06-05,87.46397950006249,9,0.988851332126295,0.1484581213560312,-0.9546372507424606,True,False,False,False,-0.9546372507424606,True,False,False,False,-1.4849384811200679,True,True,False,False,-1.824352991090369,True,True,True,False,True,False
2001-04-20,99.64058077543223,0,0.8088600399304399,-0.022499810961931745,-1.566410981025432,True,True,True,False,-2.3415421881307967,True,True,True,True,-2.3415421881307967,True,True,True,True,-2.3415421881307967,True,True,True,True,True,False
2001-05-22,82.70688961834294,-2,1.0539931980542545,1.1063643019604654,-1.5608344754073484,True,True,True,False,-2.5354042941982735,True,True,True,True,-4.8271661336988,True,True,True,True,-4.8271661336988,True,True,True,True,True,True
2002-03-05,89.27189248870394,8,1.3668829127084239,0.16579873888246252,-0.12151722940717002,False,False,False,False,-0.12151722940717002,False,False,False,False,-0.12151722940717002,False,False,False,False,-0.12151722940717002,False,False,False,False,True,True
2003-01-07,93.42626353087846,8,1.049495572404948,-0.12048176301712571,-1.6313742437338,True,True,True,False,-1.6313742437338,True,True,True,False,-1.6313742437338,True,True,True,False,-4.9157303370786485,True,True,True,True,True,True
2003-03-19,88.12789201651458,2,0.824784757224946,0.08035662359545179,-0.4381413582382217,False,False,False,False,-0.4381413582382217,False,False,False,False,-0.4381413582382217,False,False,False,False,-2.686498328144815,True,True,True,True,True,False
2003-06-02,83.29017198446354,-10,0.9046131162877633,0.49144550170122137,-0.3395760444536041,False,False,False,False,-0.3395760444536041,False,False,False,False,-0.3395760444536041,False,False,False,False,-0.3395760444536041,False,False,False,False,True,False
2003-09-04,89.9561703784762,11,1.0327170993694081,0.3740524709437833,-0.6500436596487703,True,False,False,False,-0.6500436596487703,True,False,False,False,-1.4747259144270846,True,True,False,False,-1.668768797904336,True,True,True,False,True,True
2003-12-31,83.11781732409877,-7,0.7722226029282723,0.5422704449744945,-0.3240615716986222,False,False,False,False,-0.3240615716986222,False,False,False,False,-0.3240615716986222,False,False,False,False,-0.3240615716986222,False,False,False,False,True,False
2004-04-06,85.79832610058247,7,1.3656428095483546,-0.04360990406138621,-0.5490674568589816,True,False,False,False,-0.8715356458079135,True,False,False,False,-1.899947707861245,True,True,True,False,-2.5013073034687037,True,True,True,True,True,True
2004-10-05,94.47753012353627,8,1.0270066356657592,0.4007826702452779,-0.13177545462531098,False,False,False,False,-1.300184485636479,True,True,False,False,-1.660370728279013,True,True,True,False,-2.8551348502152334,True,True,True,True,True,True
2004-11-09,111.23615783844215,8,1.3966566922089583,0.7930659162521564,-0.20512820512820074,False,False,False,False,-0.20512820512820074,False,False,False,False,-0.20512820512820074,False,False,False,False,-0.20512820512820074,False,False,False,False,True,True
2005-05-20,89.48371411392328,0,1.2859204144810823,0.18331684085009864,0.0923748740342622,False,False,False,False,-0.20994289553241519,False,False,False,False,-0.20994289553241519,False,False,False,False,-0.20994289553241519,False,False,False,False,True,True
2005-11-22,88.01908619673702,-2,0.7885921224519469,0.5076627903276055,0.4217059197962976,False,False,False,False,0.28644175684277484,False,False,False,False,-0.31031190324634034,False,False,False,False,-0.31031190324634034,False,False,False,False,True,False
2006-01-10,95.92508443977584,7,1.597709766838701,0.5287782594233567,0.24920177556264558,False,False,False,False,-0.16353866521299584,False,False,False,False,-0.9734444357916051,True,False,False,False,-2.0014017599875347,True,True,True,True,True,True
2006-03-16,85.07354729810649,1,0.7991942915363088,0.5307008472268006,-0.42007179408845285,False,False,False,False,-1.1303750095471001,True,True,False,False,-1.1303750095471001,True,True,False,False,-1.435881768884133,True,True,False,False,True,False
2006-04-19,80.29743796277162,2,0.5624342955613663,0.45441775944442,-0.12999923529862803,False,False,False,False,-0.29823353980271833,False,False,False,False,-0.6499961764930968,True,False,False,False,-0.9023476332492213,True,False,False,False,False,False
2006-06-30,89.75979194621627,-10,0.8984768450074678,-0.05602463488148371,0.25198834553902466,False,False,False,False,-0.370107882510433,False,False,False,False,-0.5512245058665948,True,False,False,False,-3.275848492007242,True,True,True,True,True,False
2006-08-17,83.35535932194622,1,0.5829343586942366,0.5155484429111498,-0.23864511162432814,False,False,False,False,-0.23864511162432814,False,False,False,False,-0.5465742879137859,True,False,False,False,-0.5465742879137859,True,False,False,False,False,False
2006-09-13,81.24709420729786,2,0.2272508184429992,0.7899980727335624,-0.28759554983727803,False,False,False,False,-0.4736244607583427,False,False,False,False,-0.8022402179671553,True,False,False,False,-0.8552183455687546,True,False,False,False,True,False
2006-10-06,84.26972262105213,10,0.5547924689114422,0.7757613942546991,-0.29620853080569143,False,False,False,False,-0.5479857819905071,True,False,False,False,-0.5479857819905071,True,False,False,False,-0.5479857819905071,True,False,False,False,True,False
2007-02-02,81.60710130041646,-10,1.087059313086438,0.6012419768704009,-0.3039093797485825,False,False,False,False,-0.3108164111064986,False,False,False,False,-0.9531703273932832,True,False,False,False,-1.0982179859096584,True,True,False,False,True,True
2007-03-23,93.00385555499392,-5,1.6934693183008402,-0.061943874250588137,-0.9756777475782322,True,False,False,False,-1.5541152693567621,True,True,True,False,-2.0419541431458685,True,True,True,True,-2.0419541431458685,True,True,True,True,True,True
2007-04-18,101.26240757058102,2,0.8126356873846625,1.0736050295174548,-0.30651862952114206,False,False,False,False,-0.30651862952114206,False,False,False,False,-0.30651862952114206,False,False,False,False,-0.30651862952114206,False,False,False,False,True,True
2007-09-19,106.14235867918339,2,1.468260483313092,1.208765175804503,-0.6076842655514757,True,False,False,False,-1.0977522216413869,True,True,False,False,-1.6792995295347577,True,True,True,False,-1.6792995295347577,True,True,True,False,True,True
2009-01-05,85.29325581863795,-9,0.5758364067942295,0.1986619558833432,0.346470333477704,False,False,False,False,-2.9125162407968794,True,True,True,True,-6.442182763100912,True,True,True,True,-12.873538328280642,True,True,True,True,False,False
2009-05-07,81.16325321208494,6,0.7317049620085736,0.9508480832369641,-0.19646365422397602,False,False,False,False,-1.9318925998690353,True,True,True,False,-3.4053700065487935,True,True,True,True,-3.7873826675398368,True,True,True,True,True,False
2010-11-08,99.77439883425646,9,1.0173846668904114,0.8258837484177636,-1.021492195799624,True,True,False,False,-1.3974013238538923,True,True,False,False,-2.2227670180599812,True,True,True,True,-3.9061861567377636,True,True,True,True,True,True
2010-12-03,91.94882367849038,-9,0.923364144846649,0.38081482326713684,0.25378529649341364,False,False,False,False,0.1801294542347626,False,False,False,False,0.1801294542347626,False,False,False,False,0.1801294542347626,False,False,False,False,True,False
2011-01-03,82.01212919489491,-10,0.4238314681457229,0.9097266925232014,-0.6768988587170401,True,False,False,False,-0.6768988587170401,True,False,False,False,-0.7083825265643381,True,False,False,False,-0.7083825265643381,True,False,False,False,True,False
2011-05-02,94.63706709652695,-10,0.7414716537385954,0.41820324865101344,-0.8698524554063,True,False,False,False,-2.3563091829993246,True,True,True,True,-2.3563091829993246,True,True,True,True,-2.3930118182485436,True,True,True,True,True,False
