time,open,high,low,close,-300.0%,-261.8%,-223.6%,-200.0%,-178.6%,-161.8%,-150.0%,-138.2%,-123.6%,-100%,-78.6%,-61.8%,-50.0%,-38.2%,Lower Trigger,Previous Close,Upper Trigger,38.2%,50.0%,61.8%,78.6%,100%,123.6%,138.2%,150.0%,161.8%,178.6%,200.0%,223.6%,261.8%,300%,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Phase Oscillator,Leaving Accumulation,Leaving Extreme Down,Leaving Distribution,Leaving Extreme Up,Plot,Plot,Plot
1764342000,681.25,682.63,681.03,682.4601,650.5783807088054,654.2839868985509,657.9895930882963,660.2789204725369,662.3548359819755,663.9845266622824,665.1291903544027,666.273854046523,667.6901328520278,669.9794602362684,672.055375745707,673.6850664260139,674.8297301181342,675.9743938102545,677.3906726157593,679.68,681.9693273842406,683.3856061897454,684.5302698818657,685.674933573986,687.3046242542929,689.3805397637315,691.6698671479721,693.086145953477,694.2308096455972,695.3754733377175,697.0051640180244,699.081079527463,701.3704069117036,705.076013101449,708.7816192911945,100,61.8,23.6,-23.6,-61.8,-100,0,62.582071385140196,,,,,6872723,729797.2735624217,1214610.1
1764345600,682.46,682.94,681.65,682.755,650.5783807088054,654.2839868985509,657.9895930882963,660.2789204725369,662.3548359819755,663.9845266622824,665.1291903544027,666.273854046523,667.6901328520278,669.9794602362684,672.055375745707,673.6850664260139,674.8297301181342,675.9743938102545,677.3906726157593,679.68,681.9693273842406,683.3856061897454,684.5302698818657,685.674933573986,687.3046242542929,689.3805397637315,691.6698671479721,693.086145953477,694.2308096455972,695.3754733377175,697.0051640180244,699.081079527463,701.3704069117036,705.076013101449,708.7816192911945,100,61.8,23.6,-23.6,-61.8,-100,0,66.85448677505835,,,,,6905361,990303.7093025828,1897807.8
1764349200,682.755,683.665,681.88,683.39,650.5783807088054,654.2839868985509,657.9895930882963,660.2789204725369,662.3548359819755,663.9845266622824,665.1291903544027,666.273854046523,667.6901328520278,669.9794602362684,672.055375745707,673.6850664260139,674.8297301181342,675.9743938102545,677.3906726157593,679.68,681.9693273842406,683.3856061897454,684.5302698818657,685.674933573986,687.3046242542929,689.3805397637315,691.6698671479721,693.086145953477,694.2308096455972,695.3754733377175,697.0051640180244,699.081079527463,701.3704069117036,705.076013101449,708.7816192911945,100,61.8,23.6,-23.6,-61.8,-100,0,72.12639089478776,,,,,11347253,1748176.232492884,3027692.2
1764352800,683.4,683.7,682.82,683.0009,650.5783807088054,654.2839868985509,657.9895930882963,660.2789204725369,662.3548359819755,663.9845266622824,665.1291903544027,666.273854046523,667.6901328520278,669.9794602362684,672.055375745707,673.6850664260139,674.8297301181342,675.9743938102545,677.3906726157593,679.68,681.9693273842406,683.3856061897454,684.5302698818657,685.674933573986,687.3046242542929,689.3805397637315,691.6698671479721,693.086145953477,694.2308096455972,695.3754733377175,697.0051640180244,699.081079527463,701.3704069117036,705.076013101449,708.7816192911945,100,61.8,23.6,-23.6,-61.8,-100,0,67.59560354481948,,,,,3718601,764426.0464770714,3396077.4
1764356400,683.0299,683.96,682.98,683.64,650.5783807088054,654.2839868985509,657.9895930882963,660.2789204725369,662.3548359819755,663.9845266622824,665.1291903544027,666.273854046523,667.6901328520278,669.9794602362684,672.055375745707,673.6850664260139,674.8297301181342,675.9743938102545,677.3906726157593,679.68,681.9693273842406,683.3856061897454,684.5302698818657,685.674933573986,687.3046242542929,689.3805397637315,691.6698671479721,693.086145953477,694.2308096455972,695.3754733377175,697.0051640180244,699.081079527463,701.3704069117036,705.076013101449,708.7816192911945,100,61.8,23.6,-23.6,-61.8,-100,0,70.54818959286582,,,,,369007,120492.08163266965,3428068.5
1764360000,683.66,683.87,683.39,683.68,650.5783807088054,654.2839868985509,657.9895930882963,660.2789204725369,662.3548359819755,663.9845266622824,665.1291903544027,666.273854046523,667.6901328520278,669.9794602362684,672.055375745707,673.6850664260139,674.8297301181342,675.9743938102545,677.3906726157593,679.68,681.9693273842406,683.3856061897454,684.5302698818657,685.674933573986,687.3046242542929,689.3805397637315,691.6698671479721,693.086145953477,694.2308096455972,695.3754733377175,697.0051640180244,699.081079527463,701.3704069117036,705.076013101449,708.7816192911945,100,61.8,23.6,-23.6,-61.8,-100,0,70.74011293170639,,,,,72321,28627.062500007138,3432582.3
1764363600,683.68,683.8,683.2,683.54,650.5783807088054,654.2839868985509,657.9895930882963,660.2789204725369,662.3548359819755,663.9845266622824,665.1291903544027,666.273854046523,667.6901328520278,669.9794602362684,672.055375745707,673.6850664260139,674.8297301181342,675.9743938102545,677.3906726157593,679.68,681.9693273842406,683.3856061897454,684.5302698818657,685.674933573986,687.3046242542929,689.3805397637315,691.6698671479721,693.086145953477,694.2308096455972,695.3754733377175,697.0051640180244,699.081079527463,701.3704069117036,705.076013101449,708.7816192911945,100,61.8,23.6,-23.6,-61.8,-100,0,67.02777644130268,,,,,43776,18969.60000000221,3431657.5
1764579600,679.9,680.41,678.94,679.08,650.5783807088054,654.2839868985509,657.9895930882963,660.2789204725369,662.3548359819755,663.9845266622824,665.1291903544027,666.273854046523,667.6901328520278,669.9794602362684,672.055375745707,673.6850664260139,674.8297301181342,675.9743938102545,677.3906726157593,679.68,681.9693273842406,683.3856061897454,684.5302698818657,685.674933573986,687.3046242542929,689.3805397637315,691.6698671479721,693.086145953477,694.2308096455972,695.3754733377175,697.0051640180244,699.081079527463,701.3704069117036,705.076013101449,708.7816192911945,100,61.8,23.6,-23.6,-61.8,-100,0,9.836223126179277,,,97.02777644130268,,134378,12797.904761904269,3432496.1
1764583200,679.19,679.99,679.15,679.54,650.5783807088054,654.2839868985509,657.9895930882963,660.2789204725369,662.3548359819755,663.9845266622824,665.1291903544027,666.273854046523,667.6901328520278,669.9794602362684,672.055375745707,673.6850664260139,674.8297301181342,675.9743938102545,677.3906726157593,679.68,681.9693273842406,683.3856061897454,684.5302698818657,685.674933573986,687.3046242542929,689.3805397637315,691.6698671479721,693.086145953477,694.2308096455972,695.3754733377175,697.0051640180244,699.081079527463,701.3704069117036,705.076013101449,708.7816192911945,100,61.8,23.6,-23.6,-61.8,-100,0,-12.14579103461481,,,,,12871,5975.821428570993,3406011.2
1764586800,679.36,679.6,679.05,679.4,650.5783807088054,654.2839868985509,657.9895930882963,660.2789204725369,662.3548359819755,663.9845266622824,665.1291903544027,666.273854046523,667.6901328520278,669.9794602362684,672.055375745707,673.6850664260139,674.8297301181342,675.9743938102545,677.3906726157593,679.68,681.9693273842406,683.3856061897454,684.5302698818657,685.674933573986,687.3046242542929,689.3805397637315,691.6698671479721,693.086145953477,694.2308096455972,695.3754733377175,697.0051640180244,699.081079527463,701.3704069117036,705.076013101449,708.7816192911945,100,61.8,23.6,-23.6,-61.8,-100,0,-23.88355392918518,,,,,43843,15942.90909091074,2952013.4
