date,dow,is_friday,is_opex_friday,ext_pct,session_open,session_close,max_high_pct,max_low_pct,close_vs_open_pct,range_pct,high_time,low_time,high_hour,low_hour
2000-01-10,0,False,False,1.3819271950540164,146.25,145.8125,0.44868376068376925,-0.8333675213675128,-0.2991452991452992,1.282051282051282,09:50,11:00,9,11
2000-01-11,1,False,False,0.9796284104674866,145.8125,144.0938,0.19291898842690952,-1.5859408486926703,-1.178705529361346,1.7788598371195798,11:10,15:40,11,15
2000-01-12,2,False,False,0.1548185674750435,144.5938,143.3438,0.0,-1.188709336084941,-0.8644907319677607,1.188709336084941,09:30,10:20,9,10
2000-01-13,3,False,False,0.13295891948095725,144.4688,145.125,0.8868350813462926,-0.8220460057811617,0.4542157199340014,1.7088810871274542,15:10,10:20,15,10
2000-01-14,4,True,False,1.5081913731536163,146.5312,146.5,0.6398637286802912,-0.3838090454456287,-0.0212923937018277,1.02367277412592,11:00,12:20,11,12
2000-01-18,1,False,False,0.5497441526950921,145.3438,145.625,0.8814961491305531,-0.10753812684131518,0.1934723049762099,0.9890342759718682,15:10,11:10,15,11
2000-01-19,2,False,False,0.46011747062511155,145.3125,145.6875,0.7957333333333247,-0.21505376344086022,0.25806451612903225,1.010787096774185,13:40,09:40,13,9
2000-01-20,3,False,False,1.5387777986225726,146.9688,144.5,0.0,-2.14759867400427,-1.6798123139060723,2.14759867400427,09:30,13:10,9,13
2000-01-21,4,True,True,0.5392565299760965,145.5,144.125,0.0,-0.966460481099665,-0.9450171821305842,0.966460481099665,09:30,15:30,9,15
2000-01-24,0,False,False,0.6847957812889559,145.6562,140.0625,0.1287964398357055,-4.2909261672348995,-3.8403445922659056,4.4197226070706055,09:30,15:30,9,15
2000-02-04,4,True,False,0.6686513386632329,143.1875,142.7812,0.5674378000872982,-0.7420340462680053,-0.2837538192928764,1.3094718463553032,09:40,15:30,9,15
2000-02-07,0,False,False,0.19435625191500777,142.5625,142.7188,0.15340640070145553,-0.789127575624726,0.10963612450678646,0.9425339763261816,15:50,14:30,15,14
