time,open,high,low,close,Fast EMA,Pullback Overlap EMA,Pivot EMA,Slow EMA,Long-term EMA,Shapes,Shapes,Fast Conviction EMA,Slow Conviction EMA,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),-300.0%,-261.8%,-223.6%,-200.0%,-178.6%,-161.8%,-150.0%,-138.2%,-123.6%,-100%,-78.6%,-61.8%,-50.0%,-38.2%,Lower Trigger,Previous Close,Upper Trigger,38.2%,50.0%,61.8%,78.6%,100%,123.6%,138.2%,150.0%,161.8%,178.6%,200.0%,223.6%,261.8%,300%,Fast EMA,Pullback Overlap EMA,Pivot EMA,Slow EMA,Long-term EMA,Shapes,Shapes,Fast Conviction EMA,Slow Conviction EMA,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Plot,Plot,Plot,Plot,Plot,Plot,Plot,Phase Oscillator,Leaving Accumulation,Leaving Extreme Down,Leaving Distribution,Leaving Extreme Up,Plot,Plot,Plot
2026-03-19T14:00:00-05:00,658.44,662.98,658.39,659.735,669.6419563184003,672.967301943113,676.5547475645834,680.8503230104975,657.7054333130552,0,0,672.967301943113,680.8503230104975,658.44,662.98,658.39,659.735,588.9552977506106,601.3110498370328,613.6668019234551,621.3001985004071,628.2220072608635,633.6559505868292,637.4726488753053,641.2893471637813,646.0117026732515,653.6450992502035,660.56690801066,666.0008513366257,669.8175496251017,673.6342479135777,678.356603423048,685.99,693.623396576952,698.3457520864223,702.1624503748983,705.9791486633743,711.41309198934,718.3349007497965,725.9682973267485,730.6906528362188,734.5073511246948,738.3240494131708,743.7579927391365,750.6798014995929,758.313198076545,770.6689501629672,783.0247022493894,658.6819109415416,659.4307485373101,660.9188611019106,664.1586732944612,671.6815960913091,0,0,659.4307485373101,664.1586732944612,658.44,662.98,658.39,659.735,100,61.8,23.6,-23.6,-61.8,-100,0,-30.355362708569746,,,,,24497968,7178598.466231032,8220775.9
2026-03-19T15:00:00-05:00,659.73,661.29,659.33,660.8,669.6419563184003,672.967301943113,676.5547475645834,680.8503230104975,657.7054333130552,0,0,672.967301943113,680.8503230104975,659.73,661.29,659.33,660.8,588.9552977506106,601.3110498370328,613.6668019234551,621.3001985004071,628.2220072608635,633.6559505868292,637.4726488753053,641.2893471637813,646.0117026732515,653.6450992502035,660.56690801066,666.0008513366257,669.8175496251017,673.6342479135777,678.356603423048,685.99,693.623396576952,698.3457520864223,702.1624503748983,705.9791486633743,711.41309198934,718.3349007497965,725.9682973267485,730.6906528362188,734.5073511246948,738.3240494131708,743.7579927391365,750.6798014995929,758.313198076545,770.6689501629672,783.0247022493894,659.1525973989768,659.6263558891229,660.9080555471915,664.0215845885648,671.5733215033358,0,0,659.6263558891229,664.0215845885648,659.73,661.29,659.33,660.8,100,61.8,23.6,-23.6,-61.8,-100,0,-15.868578279994972,,,,,4100088,1025022.0000000595,8614441.2
2026-03-19T16:00:00-05:00,660.74,661.14,660.74,661.14,669.6419563184003,672.967301943113,676.5547475645834,680.8503230104975,657.7054333130552,0,0,672.967301943113,680.8503230104975,660.74,661.14,660.74,661.14,588.9552977506106,601.3110498370328,613.6668019234551,621.3001985004071,628.2220072608635,633.6559505868292,637.4726488753053,641.2893471637813,646.0117026732515,653.6450992502035,660.56690801066,666.0008513366257,669.8175496251017,673.6342479135777,678.356603423048,685.99,693.623396576952,698.3457520864223,702.1624503748983,705.9791486633743,711.41309198934,718.3349007497965,725.9682973267485,730.6906528362188,734.5073511246948,738.3240494131708,743.7579927391365,750.6798014995929,758.313198076545,770.6689501629672,783.0247022493894,659.5942424214264,659.8425907621054,660.9291414065377,663.9039688910724,671.469507359024,0,0,659.8425907621054,663.9039688910724,660.74,661.14,660.74,661.14,100,61.8,23.6,-23.6,-61.8,-100,0,-6.499309520738922,,,,,131322,0,8589394.9
2026-03-19T17:00:00-05:00,661.17,661.78,660.58,661.51,669.6419563184003,672.967301943113,676.5547475645834,680.8503230104975,657.7054333130552,0,0,672.967301943113,680.8503230104975,661.17,661.78,660.58,661.51,588.9552977506106,601.3110498370328,613.6668019234551,621.3001985004071,628.2220072608635,633.6559505868292,637.4726488753053,641.2893471637813,646.0117026732515,653.6450992502035,660.56690801066,666.0008513366257,669.8175496251017,673.6342479135777,678.356603423048,685.99,693.623396576952,698.3457520864223,702.1624503748983,705.9791486633743,711.41309198934,718.3349007497965,725.9682973267485,730.6906528362188,734.5073511246948,738.3240494131708,743.7579927391365,750.6798014995929,758.313198076545,770.6689501629672,783.0247022493894,660.0199663277762,660.0807920818046,660.9819467332161,663.8062558751103,671.3704077833123,0,0,660.0807920818046,663.8062558751103,661.17,661.78,660.58,661.51,100,61.8,23.6,-23.6,-61.8,-100,0,0.4798277941375728,,,,,129156,29060.099999999697,8478947.7
2026-03-19T18:00:00-05:00,661.54,661.97,660.88,661.1,667.4548549143113,671.0862588083825,675.0315886950758,679.9911261529262,657.7262747726268,0,0,671.0862588083825,679.9911261529262,661.54,661.97,660.88,661.1,588.9552977506106,601.3110498370328,613.6668019234551,621.3001985004071,628.2220072608635,633.6559505868292,637.4726488753053,641.2893471637813,646.0117026732515,653.6450992502035,660.56690801066,666.0008513366257,669.8175496251017,673.6342479135777,678.356603423048,685.99,693.623396576952,698.3457520864223,702.1624503748983,705.9791486633743,711.41309198934,718.3349007497965,725.9682973267485,730.6906528362188,734.5073511246948,738.3240494131708,743.7579927391365,750.6798014995929,758.313198076545,770.6689501629672,783.0247022493894,660.2599738104926,660.2263932129754,660.9926788483783,663.6957964516364,671.2682146710406,0,0,660.2263932129754,663.6957964516364,661.54,661.97,660.88,661.1,100,61.8,23.6,-23.6,-61.8,-100,0,1.0281890262628082,,,,,85828,17323.082568808983,7264736.3
2026-03-20T03:00:00-05:00,659.2,659.81,658.42,658.69,667.4548549143113,671.0862588083825,675.0315886950758,679.9911261529262,657.7262747726268,0,0,671.0862588083825,679.9911261529262,659.2,659.81,658.42,658.69,588.9552977506106,601.3110498370328,613.6668019234551,621.3001985004071,628.2220072608635,633.6559505868292,637.4726488753053,641.2893471637813,646.0117026732515,653.6450992502035,660.56690801066,666.0008513366257,669.8175496251017,673.6342479135777,678.356603423048,685.99,693.623396576952,698.3457520864223,702.1624503748983,705.9791486633743,711.41309198934,718.3349007497965,725.9682973267485,730.6906528362188,734.5073511246948,738.3240494131708,743.7579927391365,750.6798014995929,758.313198076545,770.6689501629672,783.0247022493894,659.9110907414943,660.0069084682647,660.7833444076167,663.4914782291206,671.1430583061547,0,0,660.0069084682647,663.4914782291206,659.2,659.81,658.42,658.69,100,61.8,23.6,-23.6,-61.8,-100,0,-14.665213706570796,,,,,49891,9691.057553960356,6250527
2026-03-20T04:00:00-05:00,658.57,659.1,655.15,655.58,667.4548549143113,671.0862588083825,675.0315886950758,679.9911261529262,657.7262747726268,0,0,671.0862588083825,679.9911261529262,658.57,659.1,655.15,655.58,588.9552977506106,601.3110498370328,613.6668019234551,621.3001985004071,628.2220072608635,633.6559505868292,637.4726488753053,641.2893471637813,646.0117026732515,653.6450992502035,660.56690801066,666.0008513366257,669.8175496251017,673.6342479135777,678.356603423048,685.99,693.623396576952,698.3457520864223,702.1624503748983,705.9791486633743,711.41309198934,718.3349007497965,725.9682973267485,730.6906528362188,734.5073511246948,738.3240494131708,743.7579927391365,750.6798014995929,758.313198076545,770.6689501629672,783.0247022493894,658.9486261322734,659.3744929727983,660.3103130978334,663.168560750381,670.9882020046009,0,0,659.3744929727983,663.168560750381,658.57,659.1,655.15,655.58,100,61.8,23.6,-23.6,-61.8,-100,0,-39.95865587497159,,,,,136502,14859.71139240709,5200605.3
2026-03-20T05:00:00-05:00,655.67,655.71,653.2,654.74,667.4548549143113,671.0862588083825,675.0315886950758,679.9911261529262,657.7262747726268,0,0,671.0862588083825,679.9911261529262,655.67,655.71,653.2,654.74,588.9552977506106,601.3110498370328,613.6668019234551,621.3001985004071,628.2220072608635,633.6559505868292,637.4726488753053,641.2893471637813,646.0117026732515,653.6450992502035,660.56690801066,666.0008513366257,669.8175496251017,673.6342479135777,678.356603423048,685.99,693.623396576952,698.3457520864223,702.1624503748983,705.9791486633743,711.41309198934,718.3349007497965,725.9682973267485,730.6906528362188,734.5073511246948,738.3240494131708,743.7579927391365,750.6798014995929,758.313198076545,770.6689501629672,783.0247022493894,658.0133758806571,658.7124225481128,659.8039209980303,662.8245378626103,670.8265283528139,0,0,658.7124225481128,662.8245378626103,655.67,655.71,653.2,654.74,100,61.8,23.6,-23.6,-61.8,-100,0,-54.81000867747895,,,,,291134,112509.95219123864,4435594.4
2026-03-20T06:00:00-05:00,654.78,656.31,654.59,655.77,667.4548549143113,671.0862588083825,675.0315886950758,679.9911261529262,657.7262747726268,0,0,671.0862588083825,679.9911261529262,654.78,656.31,654.59,655.77,588.9552977506106,601.3110498370328,613.6668019234551,621.3001985004071,628.2220072608635,633.6559505868292,637.4726488753053,641.2893471637813,646.0117026732515,653.6450992502035,660.56690801066,666.0008513366257,669.8175496251017,673.6342479135777,678.356603423048,685.99,693.623396576952,698.3457520864223,702.1624503748983,705.9791486633743,711.41309198934,718.3349007497965,725.9682973267485,730.6906528362188,734.5073511246948,738.3240494131708,743.7579927391365,750.6798014995929,758.313198076545,770.6689501629672,783.0247022493894,657.5148479071778,658.292076469811,659.4372009073003,662.5365975416875,670.6767121502983,0,0,658.292076469811,662.5365975416875,654.78,656.31,654.59,655.77,100,61.8,23.6,-23.6,-61.8,-100,0,-53.16262187234094,,,,,538736,169138.046511625,3862501.4
2026-03-20T07:00:00-05:00,655.75,656.92,655.22,656.6,667.4548549143113,671.0862588083825,675.0315886950758,679.9911261529262,657.7262747726268,0,0,671.0862588083825,679.9911261529262,655.75,656.92,655.22,656.6,588.9552977506106,601.3110498370328,613.6668019234551,621.3001985004071,628.2220072608635,633.6559505868292,637.4726488753053,641.2893471637813,646.0117026732515,653.6450992502035,660.56690801066,666.0008513366257,669.8175496251017,673.6342479135777,678.356603423048,685.99,693.623396576952,698.3457520864223,702.1624503748983,705.9791486633743,711.41309198934,718.3349007497965,725.9682973267485,730.6906528362188,734.5073511246948,738.3240494131708,743.7579927391365,750.6798014995929,758.313198076545,770.6689501629672,783.0247022493894,657.3115483722494,658.0503512598381,659.1792735520912,662.2942874379451,670.5366453627331,0,0,658.0503512598381,662.2942874379451,655.75,656.92,655.22,656.6,100,61.8,23.6,-23.6,-61.8,-100,0,-45.07210117601217,,,,,619570,116624.94117645206,3058019.5
