signal_date,sig_time,peak_po,d_po_zone,d_po_rising,w_po_zone,h_po_zone,h_compression,h_recent_compression,hour_of_day,day_of_week,d_atr_pos,d_above_ema21,ema8_above_21,max_drop_5d,hit_05_5d,hit_10_5d,hit_15_5d,hit_20_5d
2007-09-19,2007-09-19 16:00:00,106.14235867918339,mid,True,mid,mid,False,False,16,2,0.24448582843121158,True,True,-1.6792995295347577,True,True,True,False
2009-01-05,2009-01-05 04:00:00,85.29325581863795,mid,True,mid,high,False,False,4,0,-0.1943383035495494,True,True,-6.442182763100912,True,True,True,True
2009-05-07,2009-05-07 08:00:00,81.16325321208494,high,True,mid,high,False,False,8,3,-0.23233726793184348,True,True,-3.4053700065487935,True,True,True,True
2010-11-08,2010-11-08 08:00:00,99.77439883425646,high,True,mid,mid,False,True,8,0,-0.26720860644199623,True,True,-2.2227670180599812,True,True,True,True
2010-12-03,2010-12-03 08:00:00,91.94882367849038,mid,True,mid,high,False,False,8,4,-0.23993479112997776,True,True,0.1801294542347626,False,False,False,False
2011-01-03,2011-01-03 12:00:00,82.01212919489491,mid,False,high,high,False,False,12,0,1.2612009191575249,True,True,-0.7083825265643381,True,False,False,False
2011-05-02,2011-05-02 12:00:00,94.63706709652695,high,True,mid,mid,False,False,12,0,-0.1806697714352074,True,True,-2.3563091829993246,True,True,True,True
2011-07-06,2011-07-06 08:00:00,117.21675711492158,high,True,mid,mid,True,True,8,2,0.07666399897977108,True,True,-1.896938013442862,True,True,True,False
2011-07-08,2011-07-08 08:00:00,102.97466994523407,high,True,mid,mid,False,False,8,4,-0.9635544757768266,True,True,-2.368322749346274,True,True,True,True
2011-10-28,2011-10-28 04:00:00,83.20838234769222,high,True,mid,high,False,False,4,4,-0.19052164062132523,True,True,-5.106981102608158,True,True,True,True
2011-12-02,2011-12-02 08:00:00,90.11303978573423,mid,True,mid,high,False,True,8,4,0.21196376046547077,True,True,-1.4898024219247852,True,True,False,False
2012-03-14,2012-03-14 16:00:00,104.0378305335049,high,True,mid,mid,False,False,16,2,-0.2459088793093394,True,True,-0.07156147130386628,False,False,False,False
2012-03-15,2012-03-15 08:00:00,81.62099764083193,high,True,mid,mid,True,True,8,3,0.2887911900402106,True,True,-1.104854230522477,True,True,False,False
2012-03-16,2012-03-16 04:00:00,85.34004068625688,high,True,mid,mid,False,False,4,4,-0.29880651474001774,True,True,-1.2543653339034928,True,True,False,False
2012-09-14,2012-09-14 16:00:00,83.88487387849288,high,True,mid,mid,False,False,16,4,0.23983549980840027,True,True,-0.9117506974212448,True,False,False,False
2013-07-11,2013-07-11 16:00:00,84.57112896434163,mid,True,mid,high,False,False,16,3,1.0380348201472658,True,True,-0.08970218873340849,False,False,False,False
2013-09-19,2013-09-19 08:00:00,87.22172969875413,high,True,mid,high,False,False,8,3,-0.1270657748275177,True,True,-2.3254737986594347,True,True,True,True
2014-06-10,2014-06-10 04:00:00,103.63169673112836,high,True,high,mid,True,True,4,1,-0.2967310135522718,True,True,-1.0757645612417366,True,True,False,False
2014-11-03,2014-11-03 04:00:00,82.33104780798391,high,True,mid,mid,False,False,4,0,-0.0700685726580002,True,True,-0.7047845940043616,True,False,False,False
2015-10-23,2015-10-23 08:00:00,82.53462180955002,mid,True,mid,high,False,False,8,4,0.4796515426370167,True,True,-0.3426191600382621,False,False,False,False
2016-07-11,2016-07-11 12:00:00,81.07036196680556,mid,True,mid,high,False,False,12,0,0.30021570169124995,True,True,0.3936085469284492,False,False,False,False
2016-07-13,2016-07-13 08:00:00,89.2406499916007,mid,True,mid,mid,False,False,8,2,-0.1592147942849891,True,True,0.34862043251304553,False,False,False,False
2016-07-14,2016-07-14 08:00:00,85.40960736510917,high,True,mid,high,False,True,8,3,0.5253641121970233,True,True,-0.3895442979412505,False,False,False,False
2016-12-12,2016-12-12 16:00:00,110.60494424370926,high,True,mid,mid,True,True,16,0,-0.1907536486862989,True,True,-0.6676098682465379,True,False,False,False
2016-12-14,2016-12-14 08:00:00,96.96726558562062,high,True,mid,mid,False,False,8,2,-0.2719697887093614,True,True,-1.1287873787048766,True,True,False,False
2017-02-16,2017-02-16 16:00:00,117.77481023539858,high,True,high,mid,True,True,16,3,-0.15333811689285495,True,True,-0.30683997443000166,False,False,False,False
2017-02-22,2017-02-22 04:00:00,91.71780647961003,high,True,high,mid,False,False,4,2,-0.4500027576554906,True,True,-0.1780943900267209,False,False,False,False
2017-03-02,2017-03-02 12:00:00,104.30753625765993,high,True,high,mid,False,False,12,3,-0.9410025820489365,True,True,-1.0867284857130883,True,True,False,False
2017-06-05,2017-06-05 04:00:00,83.25469198014262,high,True,high,mid,False,False,4,0,-0.16536332360232836,True,True,-0.803575089172239,True,False,False,False
2017-07-17,2017-07-17 08:00:00,80.52627202471484,mid,True,mid,mid,False,False,8,0,0.05826500407968661,True,True,-0.3908317387941245,False,False,False,False
2017-07-20,2017-07-20 08:00:00,87.9256015263224,mid,True,mid,high,False,False,8,3,-0.013734756954723818,True,True,-0.5223306474470552,True,False,False,False
2017-10-09,2017-10-09 08:00:00,121.83733567208586,high,True,high,mid,False,False,8,0,-0.026022670357475266,True,True,-0.15331996697724368,False,False,False,False
2017-10-23,2017-10-23 08:00:00,81.37618661827732,high,True,high,high,False,False,8,0,-0.099761518630257,True,True,-1.1577001653857466,True,True,False,False
2017-11-29,2017-11-29 08:00:00,80.09307989904462,high,True,high,mid,False,False,8,2,-0.36456582539805066,True,True,-0.5909038923411275,True,False,False,False
2017-11-30,2017-11-30 16:00:00,89.7953022214339,high,True,high,high,False,False,16,3,0.9115963356802178,True,True,-1.3020439061317175,True,True,False,False
2018-01-10,2018-01-10 04:00:00,112.48621935834227,high,True,high,mid,False,True,4,2,-0.7856711609682707,True,True,0.43898156277435935,False,False,False,False
2018-01-16,2018-01-16 12:00:00,120.96408171252597,high,True,high,mid,False,False,12,1,-0.5495123648537336,True,True,0.08304448295783443,False,False,False,False
2018-01-23,2018-01-23 16:00:00,87.67905805191728,high,True,high,mid,True,True,16,1,0.29314549487159913,True,True,-0.6956460326988844,True,False,False,False
2018-01-24,2018-01-24 08:00:00,82.01863602682897,high,True,high,mid,True,True,8,2,-0.03780831909966388,True,True,-0.8863307320173702,True,False,False,False
2018-01-29,2018-01-29 04:00:00,80.93496513672864,high,True,high,high,False,False,4,0,-0.2596783598498682,True,True,-7.952877018807243,True,True,True,True
2018-05-14,2018-05-14 12:00:00,88.926210118387,mid,True,mid,mid,False,False,12,0,0.0839018868909883,True,True,-1.058918364355871,True,True,False,False
2018-07-10,2018-07-10 16:00:00,85.78084772644314,mid,True,mid,mid,True,True,16,1,-0.44415797565447784,True,True,-0.07949700079497987,False,False,False,False
2018-08-28,2018-08-28 08:00:00,84.4993623528125,high,True,mid,high,False,False,8,1,-0.13815507347311817,True,True,-0.5389531870789437,True,False,False,False
2018-08-29,2018-08-29 16:00:00,83.91690396797252,high,True,mid,high,False,False,16,2,0.8112598437205228,True,True,-1.530227132368071,True,True,True,False
2018-11-08,2018-11-08 04:00:00,80.1509980337078,mid,True,mid,high,False,False,4,3,-0.0926618090896522,True,True,-4.809197860962568,True,True,True,True
2018-12-03,2018-12-03 16:00:00,93.43760720671136,mid,True,mid,mid,False,False,16,0,0.6245264072735452,True,True,-7.134906100757658,True,True,True,True
2019-01-22,2019-01-22 04:00:00,92.923097930216,mid,True,mid,high,False,False,4,1,-0.31766411475625256,True,True,-1.6006040015099858,True,True,True,False
2019-04-24,2019-04-24 04:00:00,80.54734529685905,high,True,mid,high,False,False,4,2,0.04869825493742948,True,True,-0.7578084997439736,True,False,False,False
2019-06-10,2019-06-10 16:00:00,99.95467114309153,mid,True,mid,mid,False,False,16,0,0.35639569947674987,True,True,-0.36866518969814377,False,False,False,False
2019-06-11,2019-06-11 08:00:00,82.87458700943765,mid,True,mid,mid,False,False,8,1,0.07169943809088836,True,True,-0.47546595663750474,False,False,False,False
2019-06-20,2019-06-20 08:00:00,88.2649494828914,mid,True,mid,high,False,False,8,3,0.6413790344366793,True,True,-1.567956063328474,True,True,True,False
2019-07-05,2019-07-05 08:00:00,88.10245569037056,high,True,mid,mid,False,False,8,4,-0.5902123297411063,True,True,-0.5653519989231413,True,False,False,False
2019-11-18,2019-11-18 08:00:00,80.08336015870547,high,True,mid,high,False,False,8,0,0.05062844705587792,True,True,-0.9232544720138474,True,False,False,False
2019-12-27,2019-12-27 08:00:00,91.69035675812614,high,True,high,high,False,False,8,4,0.2083386137524125,True,True,-0.9682009403612954,True,False,False,False
2020-06-09,2020-06-09 08:00:00,104.6170425566508,high,True,mid,mid,False,False,8,1,-0.4468966335808017,True,True,-7.44806936560414,True,True,True,True
2020-08-31,2020-08-31 08:00:00,101.89518265005648,high,True,high,mid,False,False,8,0,-0.12113055640090536,True,True,-4.929456788713084,True,True,True,True
2020-09-03,2020-09-03 08:00:00,107.29814969462777,high,True,high,mid,False,False,8,3,-2.216420196115638,True,True,-4.89872144806781,True,True,True,True
2020-10-13,2020-10-13 08:00:00,100.24486311615534,high,True,mid,mid,False,False,8,1,-0.1725874415148503,True,True,-2.962014511310277,True,True,True,True
2020-11-09,2020-11-09 12:00:00,90.72462388009254,mid,True,mid,mid,False,False,12,0,0.6137370939379004,True,True,-1.1366841541151997,True,True,False,False
2021-04-07,2021-04-07 04:00:00,100.57733461888375,high,True,mid,mid,True,True,4,2,-0.027375577285103737,True,True,0.24634789249377972,False,False,False,False
2021-04-09,2021-04-09 04:00:00,80.93138289577209,high,True,mid,high,False,False,4,4,0.13420365566116468,True,True,0.2713339362976396,False,False,False,False
2021-04-12,2021-04-12 16:00:00,87.44401797834202,high,True,high,mid,True,True,16,0,0.05380061006933156,True,True,-0.19433041028008147,False,False,False,False
2021-04-16,2021-04-16 16:00:00,85.48896458835682,high,True,high,mid,True,True,16,4,0.23162774654767795,True,True,-1.4781043791241812,True,True,False,False
2021-07-06,2021-07-06 08:00:00,106.9453795382081,high,True,high,high,False,False,8,1,-0.8092665497155641,True,True,-0.8442341590129054,True,False,False,False
2021-10-21,2021-10-21 04:00:00,93.91432898700998,high,True,mid,mid,True,True,4,3,-0.3065099326162898,True,True,0.0243934891559883,False,False,False,False
2021-10-21,2021-10-21 16:00:00,80.03283851816865,high,True,mid,mid,True,True,16,3,0.029391363401571516,True,True,-0.3292526627480463,False,False,False,False
2021-11-08,2021-11-08 08:00:00,108.50150328527943,high,True,high,mid,False,False,8,0,0.04183704677496864,True,True,-1.4104342259681975,True,True,False,False
2021-12-28,2021-12-28 16:00:00,94.20624044819866,mid,True,mid,mid,True,True,16,1,0.04919708600966553,True,True,-0.7810209807780815,True,False,False,False
2022-03-30,2022-03-30 04:00:00,84.20402403444206,high,True,mid,mid,False,False,4,2,-0.14915046524783376,True,True,-3.6835132376256934,True,True,True,True
2022-05-31,2022-05-31 08:00:00,92.12224997719892,mid,True,mid,mid,False,False,8,1,-0.0756421726197858,True,True,-1.84760848066764,True,True,True,False
2022-08-01,2022-08-01 12:00:00,101.13918060406277,high,True,mid,mid,True,True,12,0,-0.17805796448088737,True,True,-0.9471403179859235,True,False,False,False
2022-08-15,2022-08-15 04:00:00,93.84423324714353,high,True,mid,high,False,False,4,0,-0.3716837225384966,True,True,-2.8778672695586707,True,True,True,True
2022-08-16,2022-08-16 16:00:00,90.25278816166588,high,True,mid,mid,True,True,16,1,0.13038940787021294,True,True,-4.172678612985806,True,True,True,True
2022-09-13,2022-09-13 08:00:00,85.14135895623672,mid,True,mid,high,False,False,8,1,-1.697943707933224,False,True,-4.194679367153825,True,True,True,True
2022-11-11,2022-11-11 08:00:00,83.68486746570106,mid,True,mid,high,False,False,8,4,0.06262813026598717,True,True,-1.277866342771834,True,True,False,False
2022-11-14,2022-11-14 08:00:00,85.85369061187464,mid,True,mid,mid,True,True,8,0,-0.07145495753847753,True,True,-1.947774510543115,True,True,True,False
2023-02-02,2023-02-02 16:00:00,89.445497255855,mid,True,mid,high,False,False,16,3,0.5648140634048616,True,True,-2.084690553745925,True,True,True,True
2023-04-04,2023-04-04 08:00:00,94.43522625001285,mid,True,mid,high,False,False,8,1,-0.4500319935468732,True,True,-0.6421748714180784,True,False,False,False
2023-05-19,2023-05-19 08:00:00,80.64707659877774,mid,True,mid,high,False,False,8,4,-0.1613872993011889,True,True,-2.7551700655890468,True,True,True,True
