signal_date,peak_po,sig_close,wk_atr_pos,mo_atr_pos,d_atr_pos,max_drop_1d,max_drop_2d,max_drop_3d,max_drop_5d,max_drop_10d,hit_05_5d,hit_10_5d,hit_15_5d,hit_20_5d
2004-11-08,111.23615783844215,117.0,1.3843212237093714,1.0540327774994644,-0.08144494876873376,-0.20512820512820074,-0.20512820512820074,-0.20512820512820074,-0.20512820512820074,-0.20512820512820074,False,False,False,False
2005-11-28,108.61462545918002,126.69,0.5929062996294312,0.7919253753097218,-0.40623734381420373,-0.46570368616307795,-1.1050595942852566,-1.1050595942852566,-1.1050595942852566,-1.1050595942852566,True,True,False,False
2007-04-17,101.26240757058102,146.45,0.6621621621621588,1.0323270104194469,-0.24469249074006172,0.08193922840560229,-0.061454421304182306,-0.061454421304182306,-0.061454421304182306,-0.061454421304182306,False,False,False,False
2007-09-19,106.14235867918339,153.37,1.3442484985272187,1.2453931169651604,0.3838083293383998,-0.8215426745778125,-1.0627893329855875,-1.3105561713503233,-1.8908521875203792,-1.8908521875203792,True,True,True,False
2011-07-05,117.21675711492158,133.78,2.0646524403126976,-0.1366514245515282,-0.0775220375064691,-0.5008222454776405,-0.5008222454776405,-0.5008222454776405,-1.808940050829711,-3.102107938406343,True,True,True,False
2012-03-14,104.0378305335049,139.93,0.7188668109384262,0.8794065198676045,-0.09795323936463497,-0.1214893160866261,-0.1214893160866261,-0.1214893160866261,-0.20724648038306326,-0.9862073894089869,False,False,False,False
2014-06-09,103.63169673112836,195.37,0.694890510948905,0.7888915798821363,-0.007563672628260608,-0.2303321902032129,-0.4555458872907892,-1.1567794441316428,-1.1567794441316428,-1.1567794441316428,True,True,False,False
2016-12-12,110.60494424370926,226.15,1.5301963690255684,,-0.2050867225681646,0.3758567322573488,-0.3471147468494347,-0.3471147468494347,-0.6544328985186902,-0.6544328985186902,True,False,False,False
2017-02-16,117.77481023539858,234.5202,1.274959772249037,,-0.2421234293638844,-0.25166275655571746,-0.25166275655571746,-0.25166275655571746,-0.25166275655571746,-0.25166275655571746,False,False,False,False
2017-10-06,121.83733567208586,253.97,0.7747477774448144,,-0.5633702576959665,-0.12599913375595273,-0.12599913375595273,-0.12599913375595273,-0.12599913375595273,-0.12599913375595273,False,False,False,False
2018-01-08,112.48621935834227,273.14,1.9810126582278371,1.047435305200039,-0.16438656761888185,0.34780698542871374,-0.08054477557295543,-0.08054477557295543,-0.08054477557295543,-0.08054477557295543,False,False,False,False
2020-06-09,104.6170425566508,320.52,0.630564656003082,1.1385791324913428,-0.4520995091857841,-0.7173031324098371,-6.398976662922748,-6.838886808935467,-7.419193810058647,-7.419193810058647,True,True,True,True
2020-08-27,101.89518265005648,348.29,0.8610215820370309,1.3682757751852637,0.2112815187144909,-0.04019638806742749,-0.04019638806742749,-0.04019638806742749,-1.6365672284590558,-4.964253926325768,True,True,True,False
2020-10-12,100.24486311615534,353.04,1.7614397101677572,0.12696306126963053,1.0772043531168323,-1.1188533877181184,-1.67119873102199,-2.80704736007252,-3.399048266485384,-4.934285066847954,True,True,True,True
2021-04-06,100.57733461888375,405.91,0.8188402481277215,0.7421530766850092,-0.07632410226312829,-0.1133256140523851,-0.1133256140523851,-0.1133256140523851,-0.1133256140523851,-0.1133256140523851,False,False,False,False
2021-07-06,106.9453795382081,431.16,0.48006213972044764,0.3989802983313619,-0.8251236820147182,0.08117636144353972,-0.8442341590129054,-0.8442341590129054,-0.8442341590129054,-2.131459319046293,True,False,False,False
2021-11-05,108.50150328527943,468.49,0.9493263034563553,1.6361419118809415,0.40478241212605315,-0.061239300732140026,-0.5571090097974373,-1.3767636449017029,-1.3767636449017029,-1.3767636449017029,True,True,False,False
2022-07-29,101.13918060406277,411.46,0.7260168631666396,-0.0460091707468724,0.6953247001008758,-0.7436931901035343,-1.1276916346667931,-1.1276916346667931,-1.1276916346667931,-1.1276916346667931,True,True,False,False
