time,open,high,low,close,-300.0%,-261.8%,-223.6%,-200.0%,-178.6%,-161.8%,-150.0%,-138.2%,-123.6%,-100%,-78.6%,-61.8%,-50.0%,-38.2%,Lower Trigger,Previous Close,Upper Trigger,38.2%,50.0%,61.8%,78.6%,100%,123.6%,138.2%,150.0%,161.8%,178.6%,200.0%,223.6%,261.8%,300%,Fast EMA,Pullback Overlap EMA,Pivot EMA,Slow EMA,Long-term EMA,Shapes,Shapes,Fast Conviction EMA,Slow Conviction EMA,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Plot,Plot,Plot,Plot,Plot,Plot,Plot,Phase Oscillator,Leaving Accumulation,Leaving Extreme Down,Leaving Distribution,Leaving Extreme Up
1759240800,663.05,663.5512,661.691,663.22,,,,,,,,,,658.7139743214981,659.7767038166975,660.6109961306857,661.196987160749,661.7829781908122,662.5080179398735,663.68,664.8519820601264,665.5770218091877,666.1630128392509,666.7490038693142,667.5832961833024,668.6460256785018,,,,,,,,,,662.9882194065339,663.0217116067522,662.9221271129242,662.3797556808539,660.022301559234,0,0,663.0217116067522,662.3797556808539,663.05,663.5512,661.691,663.22,100,61.8,23.6,-23.6,-61.8,-100,0,5.243687226567918,,,,
1759244400,663.22,663.63,661.61,663,,,,,,,,,,658.7139743214981,659.7767038166975,660.6109961306857,661.196987160749,661.7829781908122,662.5080179398735,663.68,664.8519820601264,665.5770218091877,666.1630128392509,666.7490038693142,667.5832961833024,668.6460256785018,,,,,,,,,,662.990837316193,663.0186099486448,662.9292064662947,662.405071775513,660.0519303994407,0,0,663.0186099486448,662.405071775513,663.22,663.63,661.61,663,100,61.8,23.6,-23.6,-61.8,-100,0,3.6234203392227267,,,,
1759248000,662.99,664.0527,662.59,662.819,,,,,,,,,,658.7139743214981,659.7767038166975,660.6109961306857,661.196987160749,661.7829781908122,662.5080179398735,663.68,664.8519820601264,665.5770218091877,666.1630128392509,666.7490038693142,667.5832961833024,668.6460256785018,,,,,,,,,,662.9526512459279,662.9900942416955,662.9191876966315,662.4219668050839,660.0794634302921,0,0,662.9900942416955,662.4219668050839,662.99,664.0527,662.59,662.819,100,61.8,23.6,-23.6,-61.8,-100,0,0.418319394445132,,,,
1759251600,662.81,663.085,661.78,662.53,,,,,,,,,,658.7139743214981,659.7767038166975,660.6109961306857,661.196987160749,661.7829781908122,662.5080179398735,663.68,664.8519820601264,665.5770218091877,666.1630128392509,666.7490038693142,667.5832961833024,668.6460256785018,,,,,,,,,,662.8587287468328,662.9243664928819,662.8838069969378,662.4263763232437,660.1038468787469,0,0,662.9243664928819,662.4263763232437,662.81,663.085,661.78,662.53,100,61.8,23.6,-23.6,-61.8,-100,0,-4.680441158958183,,,,
1759255200,662.51,664.63,662.425,664.422,,,,,,,,,,658.7139743214981,659.7767038166975,660.6109961306857,661.196987160749,661.7829781908122,662.5080179398735,663.68,664.8519820601264,665.5770218091877,666.1630128392509,666.7490038693142,667.5832961833024,668.6460256785018,,,,,,,,,,663.2061223586477,663.1383141367559,663.0236427244889,662.5078303508665,660.1468135764709,0,0,663.1383141367559,662.5078303508665,662.51,664.63,662.425,664.422,100,61.8,23.6,-23.6,-61.8,-100,0,15.905432807023185,,,,
1759258800,664.42,666.65,664.36,666.11,,,,,,,,,,658.7139743214981,659.7767038166975,660.6109961306857,661.196987160749,661.7829781908122,662.5080179398735,663.68,664.8519820601264,665.5770218091877,666.1630128392509,666.7490038693142,667.5832961833024,668.6460256785018,,,,,,,,,,663.8514285011704,663.5628406886478,663.3042206586263,662.6548576834841,660.2061487647647,0,0,663.5628406886478,662.6548576834841,664.42,666.65,664.36,666.11,100,61.8,23.6,-23.6,-61.8,-100,0,42.60029608982926,,,,
1759262400,666.09,666.23,664.5,664.79,,,,,,,,,,658.7139743214981,659.7767038166975,660.6109961306857,661.196987160749,661.7829781908122,662.5080179398735,663.68,664.8519820601264,665.5770218091877,666.1630128392509,666.7490038693142,667.5832961833024,668.6460256785018,,,,,,,,,,664.0599999453548,663.7381491616982,663.4392915078421,662.7420063494644,660.2517592248169,0,0,663.7381491616982,662.7420063494644,666.09,666.23,664.5,664.79,100,61.8,23.6,-23.6,-61.8,-100,0,37.65047435343689,,,,
1759266000,664.9,664.95,664.68,664.88,,,,,,,,,,658.7139743214981,659.7767038166975,660.6109961306857,661.196987160749,661.7829781908122,662.5080179398735,663.68,664.8519820601264,665.5770218091877,666.1630128392509,666.7490038693142,667.5832961833024,668.6460256785018,,,,,,,,,,664.2422221797203,663.901270710027,663.5702650071291,662.829271396425,660.2978113718336,0,0,663.901270710027,662.829271396425,664.9,664.95,664.68,664.88,100,61.8,23.6,-23.6,-61.8,-100,0,35.64541681828675,,,,
1759269600,664.87,665.55,664.5,664.6904,,,,,,,,,,658.7139743214981,659.7767038166975,660.6109961306857,661.196987160749,661.7829781908122,662.5080179398735,663.68,664.8519820601264,665.5770218091877,666.1630128392509,666.7490038693142,667.5832961833024,668.6460256785018,,,,,,,,,,664.3418172508935,664.0140034657375,663.6720954610265,662.905235829224,660.3415187213676,0,0,664.0140034657375,662.905235829224,664.87,665.55,664.5,664.6904,100,61.8,23.6,-23.6,-61.8,-100,0,31.081025035029505,,,,
1759273200,664.75,664.97,664.38,664.68,,,,,,,,,,658.7139743214981,659.7767038166975,660.6109961306857,661.196987160749,661.7829781908122,662.5080179398735,663.68,664.8519820601264,665.5770218091877,666.1630128392509,666.7490038693142,667.5832961833024,668.6460256785018,,,,,,,,,,664.4169689729172,664.1091458277749,663.7637231463877,662.9776751831332,660.3846876893142,0,0,664.1091458277749,662.9776751831332,664.75,664.97,664.38,664.68,100,61.8,23.6,-23.6,-61.8,-100,0,27.948207586227067,,,,
1759305600,661.23,662.34,660.93,662.1,,,,,,,,,,658.7139743214981,659.7767038166975,660.6109961306857,661.196987160749,661.7829781908122,662.5080179398735,663.68,664.8519820601264,665.5770218091877,666.1630128392509,666.7490038693142,667.5832961833024,668.6460256785018,,,,,,,,,,663.9020869789356,663.8221249952356,663.6124755876252,662.9418517062707,660.4017554735001,0,0,663.8221249952356,662.9418517062707,661.23,662.34,660.93,662.1,100,61.8,23.6,-23.6,-61.8,-100,0,-3.894548665358858,,,,
