timestamp,open,high,low,close,volume
2006-01-31 19:58:00,127.5800,127.5800,127.5800,127.5800,2500
2006-01-31 19:57:00,127.5800,127.5800,127.5800,127.5800,1000
2006-01-31 19:56:00,127.5500,127.5500,127.5500,127.5500,200
2006-01-31 19:55:00,127.5400,127.5400,127.5400,127.5400,2900
2006-01-31 19:53:00,127.5500,127.5500,127.5500,127.5500,100
2006-01-31 19:43:00,127.5700,127.5700,127.5300,127.5500,5200
2006-01-31 19:31:00,127.5600,127.6100,127.5600,127.6100,4900
2006-01-31 19:20:00,127.5400,127.5400,127.5400,127.5400,500
2006-01-31 19:11:00,127.5400,127.5400,127.5300,127.5300,2500
2006-01-31 19:09:00,127.5500,127.5500,127.5500,127.5500,200
2006-01-31 18:30:00,127.5300,127.5300,127.5300,127.5300,13400
2006-01-31 18:10:00,127.5600,127.5800,127.5400,127.5800,1000
2006-01-31 18:05:00,127.5600,127.6300,127.5600,127.5800,7100
2006-01-31 18:04:00,127.5400,127.5700,127.5400,127.5400,11500
2006-01-31 18:03:00,127.5200,127.5600,127.5200,127.5400,16100
2006-01-31 18:02:00,127.5200,127.5300,127.5000,127.5300,6600
2006-01-31 18:01:00,127.4800,127.5300,127.4500,127.5200,78700
2006-01-31 18:00:00,127.5100,127.5100,127.4400,127.4500,20900
2006-01-31 17:59:00,127.4400,127.4900,127.4000,127.4600,24500
2006-01-31 17:57:00,127.4400,127.4400,127.4400,127.4400,6600
2006-01-31 17:56:00,127.4300,127.4300,127.4300,127.4300,5300
2006-01-31 17:55:00,127.4300,127.4300,127.4300,127.4300,2500
2006-01-31 17:52:00,127.4300,127.4300,127.4300,127.4300,1000
2006-01-31 17:49:00,127.4300,127.4300,127.4300,127.4300,100
2006-01-31 17:48:00,127.4300,127.4300,127.4300,127.4300,300
2006-01-31 17:47:00,127.4300,127.4300,127.3400,127.3500,2900
2006-01-31 17:44:00,127.4300,127.4300,127.4300,127.4300,500
2006-01-31 17:43:00,127.4300,127.4300,127.4300,127.4300,4000
2006-01-31 17:42:00,127.4300,127.4300,127.4300,127.4300,1000
2006-01-31 17:39:00,127.4000,127.4000,127.4000,127.4000,5000
2006-01-31 17:38:00,127.4500,127.4500,127.4300,127.4300,1900
2006-01-31 17:37:00,127.4400,127.4500,127.4400,127.4500,5000
2006-01-31 17:32:00,127.4300,127.4300,127.4300,127.4300,900
2006-01-31 17:29:00,127.4500,127.4500,127.4500,127.4500,100
2006-01-31 17:28:00,127.4300,127.4300,127.4000,127.4000,300
2006-01-31 17:27:00,127.3800,127.3800,127.3800,127.3800,500
2006-01-31 17:26:00,127.3900,127.3900,127.3800,127.3800,53700
2006-01-31 17:25:00,127.3800,127.3800,127.3800,127.3800,900
2006-01-31 17:24:00,127.3500,127.3800,127.3500,127.3800,55900
2006-01-31 17:23:00,127.3500,127.3500,127.2900,127.3500,4100
2006-01-31 17:22:00,127.3800,127.4100,127.3000,127.3500,18500
2006-01-31 17:19:00,127.5000,127.5000,127.4400,127.4400,9200
2006-01-31 17:17:00,127.5500,127.5800,127.5500,127.5500,19100
2006-01-31 17:16:00,127.5600,127.5800,127.5300,127.5800,4600
2006-01-31 17:15:00,127.5700,127.6000,127.5700,127.6000,16600
2006-01-31 17:10:00,127.5200,127.5800,127.5200,127.5700,66300
2006-01-31 17:09:00,127.5000,127.5000,127.5000,127.5000,2500
2006-01-31 17:08:00,127.4950,127.4950,127.4950,127.4950,50000
2006-01-31 17:07:00,127.4800,127.5400,127.4800,127.4900,14400
2006-01-31 17:06:00,127.4700,127.4800,127.4700,127.4700,8500
2006-01-31 17:05:00,127.4700,127.4700,127.4700,127.4700,5000
2006-01-31 17:04:00,127.4400,127.4400,127.4400,127.4400,500
2006-01-31 17:03:00,127.4700,127.4700,127.4700,127.4700,1000
2006-01-31 17:02:00,127.4200,127.4800,127.4100,127.4700,12200
2006-01-31 17:01:00,127.4600,127.4700,127.4000,127.4000,18000
2006-01-31 17:00:00,127.4700,127.4700,127.4700,127.4700,3800
2006-01-31 16:59:00,127.4600,127.4700,127.4600,127.4700,3800
2006-01-31 16:58:00,127.4600,127.4600,127.4600,127.4600,3200
2006-01-31 16:57:00,127.4000,127.4400,127.4000,127.4000,9900
2006-01-31 16:56:00,127.4400,127.4800,127.4400,127.4800,5400
2006-01-31 16:55:00,127.4100,127.4500,127.4100,127.4500,55000
2006-01-31 16:54:00,127.4900,127.4900,127.4000,127.4300,132000
2006-01-31 16:53:00,127.4300,127.4300,127.4100,127.4100,13200
2006-01-31 16:52:00,127.4300,127.4500,127.4200,127.4300,49500
2006-01-31 16:51:00,127.4400,127.4500,127.4200,127.4300,188700
2006-01-31 16:50:00,127.4600,127.4600,127.4400,127.4400,11900
2006-01-31 16:49:00,127.4700,127.5000,127.4700,127.4700,6500
2006-01-31 16:48:00,127.4600,127.5200,127.4500,127.4700,31200
2006-01-31 16:47:00,127.4500,127.4500,127.4500,127.4500,4600
2006-01-31 16:46:00,127.4900,127.5000,127.4900,127.4900,11700
2006-01-31 16:45:00,127.5500,127.5500,127.4900,127.4900,71600
2006-01-31 16:44:00,127.5700,127.5700,127.5500,127.5500,4000
2006-01-31 16:43:00,127.5700,127.5900,127.5400,127.5400,6900
2006-01-31 16:42:00,127.6000,127.6100,127.5800,127.5800,42500
2006-01-31 16:41:00,127.5900,127.6200,127.5900,127.6200,7900
2006-01-31 16:40:00,127.5700,127.6400,127.5700,127.6400,8400
2006-01-31 16:39:00,127.5700,127.5700,127.5700,127.5700,45000
2006-01-31 16:38:00,127.6200,127.6200,127.5700,127.5700,8500
2006-01-31 16:37:00,127.6400,127.6400,127.6200,127.6200,5400
2006-01-31 16:36:00,127.6000,127.6300,127.6000,127.6300,11400
2006-01-31 16:35:00,127.6000,127.6000,127.6000,127.6000,7100
2006-01-31 16:34:00,127.6500,127.6600,127.6500,127.6600,300
2006-01-31 16:33:00,127.6000,127.6800,127.6000,127.6800,59500
2006-01-31 16:32:00,127.5400,127.6000,127.5400,127.5900,24700
2006-01-31 16:31:00,127.4800,127.5600,127.4500,127.5600,19900
2006-01-31 16:30:00,127.5700,127.5700,127.4900,127.5000,100400
2006-01-31 16:29:00,127.5600,127.5800,127.5500,127.5600,34600
2006-01-31 16:28:00,127.5800,127.5800,127.5600,127.5600,6700
2006-01-31 16:27:00,127.5800,127.5800,127.5800,127.5800,200
2006-01-31 16:26:00,127.5800,127.5800,127.5700,127.5700,1300
2006-01-31 16:25:00,127.5900,127.5900,127.5800,127.5800,3000
