ticker,listing_date,source,exchange,issuer,security_type,issue_price,offer_size,sic_code,sic_desc,name_now,d1_open,d1_close,last_date,last_close,n_bars,delisted,pop_open,pop_close,path_5,path_21,path_63,path_126,path_252,e0_date,e0_ret_end,e0_spy_end,e0_ret_21,e0_spy_21,e0_ret_63,e0_spy_63,e0_ret_126,e0_spy_126,e0_ret_252,e0_spy_252,e1_date,e1_ret_end,e1_spy_end,e1_ret_21,e1_spy_21,e1_ret_63,e1_spy_63,e1_ret_126,e1_spy_126,e1_ret_252,e1_spy_252,e5_date,e5_ret_end,e5_spy_end,e5_ret_21,e5_spy_21,e5_ret_63,e5_spy_63,e5_ret_126,e5_spy_126,e5_ret_252,e5_spy_252,e21_date,e21_ret_end,e21_spy_end,e21_ret_21,e21_spy_21,e21_ret_63,e21_spy_63,e21_ret_126,e21_spy_126,e21_ret_252,e21_spy_252,e63_date,e63_ret_end,e63_spy_end,e63_ret_21,e63_spy_21,e63_ret_63,e63_spy_63,e63_ret_126,e63_spy_126,e63_ret_252,e63_spy_252,e126_date,e126_ret_end,e126_spy_end,e126_ret_21,e126_spy_21,e126_ret_63,e126_spy_63,e126_ret_126,e126_spy_126,e126_ret_252,e126_spy_252,e126_early_252,e63_early_252,e0_early_252,e1_early_252,e5_early_252,e21_early_252,e126_early_126,e0_early_126,e1_early_126,e5_early_126,e21_early_126,e63_early_63,e63_early_126,e0_early_63,e1_early_63,e5_early_63,e21_early_63,e63_early_21,e21_early_21,e0_early_21,e1_early_21,e5_early_21,is_spac
CURV,2021-07-01,yahoo,XNYS,Torrid Holdings Inc,CS,21.0,231000000.0,5600,Retail-Apparel & Accessory Stores,Torrid Holdings Inc.,23.25,24.149999618530273,2026-05-07,1.5299999713897705,1218,False,0.1071428571428572,0.14999998183477503,0.010351967037224075,0.018219484099701866,-0.36107658182585,-0.5900621211217738,-0.8248447169403759,2021-07-01,-0.9341935496176443,0.6994912537459057,0.05763441516507051,0.016516830441145602,-0.33634407289566537,-0.0030431853555416,-0.5741935647943968,0.10609333983785163,-0.8180645153086672,-0.11445629195995088,2021-07-02,-0.9424379241617228,0.6866397694524498,-0.06772006178431822,0.016991354466858732,-0.4258841131420842,0.0010144092219019907,-0.6282919434612493,0.09482420749279541,-0.8273137635153196,-0.1194236311239193,2021-07-09,-0.9372950821594345,0.6799008013961285,0.13975409429196994,0.015270155457071333,-0.40081966745376063,0.007233231532296935,-0.5782786834947975,0.07449080346276604,-0.8196721244197928,-0.11759167833934192,2021-08-02,-0.9377795867468203,0.671877142465378,-0.060187048924461695,0.032062708533296735,-0.38836926114170056,0.049476667123726115,-0.6258641825060374,0.02790346907993979,-0.8344855572832095,-0.06732483203071438,2021-09-30,-0.9008425183973229,0.7046789076335167,-0.025275459209934903,0.0700671078385684,-0.35839277882519194,0.10946966166464711,-0.607258598643916,0.052404697548699586,-0.7297472460259656,-0.16769969242240657,2021-12-30,-0.8454545423894764,0.5364808669718992,-0.070707054165428,-0.055340866131809885,-0.38787877007219607,-0.051434452051917545,-0.5727272543368582,-0.19939513588440372,-0.7010100856361037,-0.19679085983114208,,,,,,,,,,,,,,,,,,,,,,,False
MITQ,2021-07-08,yahoo,XASE,Moving iMage Technologies Inc.,CS,3.0,12600000.0,3861,PHOTOGRAPHIC EQUIPMENT & SUPPLIES,"Moving iMage Technologies, Inc.",12.0,24.0,2026-05-07,0.6119999885559082,1214,False,3.0,7.0,-0.7712500095367432,-0.8608333369096121,-0.8912500043710073,-0.9183333317438761,-0.9437499990065893,2021-07-08,-0.9490000009536743,0.6975983292725376,-0.7216666738192241,0.026870866689871153,-0.7825000087420145,0.009189001044204836,-0.8366666634877523,0.08685462350620732,-0.8874999980131785,-0.0980856247824573,2021-07-09,-0.9616300943025463,0.6799008013961285,-0.7937304074485373,0.015270155457071333,-0.8181818100284326,0.007233231532296935,-0.8752351076279776,0.07449080346276604,-0.9210031344494851,-0.11759167833934192,2021-07-15,-0.8885245876009826,0.6828376233524256,-0.39890708745072245,0.02569410898718738,-0.4171220070867211,0.0009201113334713629,-0.6666666449527696,0.08359211464587202,-0.7839708490064242,-0.11416281370045778,2021-08-06,-0.8167664657835423,0.6531760558606199,0.008982027593025244,0.020315006892188014,-0.1706586670330984,0.05502451811176656,-0.6347305209695927,0.014010349580819481,-0.646706593451698,-0.0666847445370935,2021-10-06,-0.7655172363394142,0.6821411326481341,0.06130271734160897,0.07350946172771367,-0.2490421007947926,0.07695845117380595,-0.5134099494360761,0.0268101446276241,-0.565134085792143,-0.14184543928628912,2022-01-05,-0.6877551139567801,0.5619368888509331,-0.3775510179256708,-0.041953114992100415,-0.35204083866896263,-0.04656475511336944,-0.31122449103716454,-0.17016098040052952,-0.41122447887295166,-0.1715487424740596,,,,,,,,,,,,,,,,,,,,,,,False
OKLO,2021-07-08,yahoo,XNYS,Oklo Inc.,CS,10.0,450000000.0,4911,ELECTRIC SERVICES,Oklo Inc.,10.0,9.979999542236328,2026-05-07,71.83000183105469,1214,False,0.0,-0.002000045776367143,0.0010020269880288701,-0.007013997799095395,-0.019038034979781737,-0.008016024787124265,-0.02905811374296352,2021-07-08,6.183000183105468,0.6975983292725376,-0.009000015258789018,0.026870866689871153,-0.021000003814697243,0.009189001044204836,-0.0100000381469727,0.08685462350620732,-0.031000041961669944,-0.0980856247824573,2021-07-09,6.1472637281415246,0.6799008013961285,-0.01592038252492911,0.015270155457071333,-0.02388057378739361,0.007233231532296935,-0.016915430155978406,0.07449080346276604,-0.03582095557405551,-0.11759167833934192,2021-07-15,6.190190538214084,0.6828376233524256,-0.012012000831672753,0.02569410898718738,-0.020020001386121256,0.0009201113334713629,-0.010009952961612223,0.08359211464587202,-0.029029025875599967,-0.11416281370045778,2021-08-06,6.248234403334761,0.6531760558606199,-0.001009104847206177,0.020315006892188014,-0.009081751157785645,0.05502451811176656,-0.016145292621158935,0.014010349580819481,-0.019172510929242548,-0.0666847445370935,2021-10-06,6.337078867307665,0.6821411326481341,0.0030643241152283895,0.07350946172771367,0.011235920031242408,0.07695845117380595,-0.0030643241152283895,0.0268101446276241,-0.006128745643564026,-0.14184543928628912,2022-01-05,6.255556020083804,0.5619368888509331,-0.015151477203040775,-0.041953114992100415,-0.014141353034639925,-0.04656475511336944,-0.021212125882702715,-0.17016098040052952,0.009090924854121551,-0.1715487424740596,,,,,,,,,,,,,,,,,,,,,,,False
HCWB,2021-07-14,local,XNAS,HCW Biologics Inc,CS,8.0,56000000.0,2834,PHARMACEUTICAL PREPARATIONS,HCW Biologics Inc. Common Stock,300.0,252.0,2026-05-07,0.3203,1201,False,36.5,30.5,-0.1412698412698412,-0.25714285714285723,-0.5507936507936508,-0.6587301587301587,-0.6301587301587301,2021-07-20,-0.9989323333333333,0.6972832517458183,-0.376,0.018977797369092553,-0.6226666666666667,0.03756699069670333,-0.7133333333333334,0.05911421478783385,-0.6893333333333334,-0.08407767440781377,2021-07-21,-0.998445145631068,0.6834959499263624,-0.15533980582524276,0.012150220913107468,-0.37475728155339805,0.03709499263622984,-0.5980582524271845,0.03964930044182635,-0.5184466019417475,-0.08229013254786444,2021-07-27,-0.9985198706099815,0.6665072097314291,-0.24214417744916827,0.02252898699286998,-0.5009242144177449,0.0375862775917446,-0.589648798521257,-0.010273582541743487,-0.5693160813308688,-0.08653955670972002,2021-08-18,-0.9982889957264958,0.6656724573666357,-0.22435897435897434,0.005031761571913318,-0.3482905982905983,0.06837276018305594,-0.5021367521367521,0.016848432412741143,-0.517094017094017,-0.025910156872566592,2021-10-18,-0.9971704946996467,0.6358300398571182,0.07773851590105996,0.04923164643997113,-0.24028268551236753,0.020767067846541698,-0.04593639575971731,-0.004947201896147946,-0.22261484098939932,-0.17012225458245067,2022-01-18,-0.9962755813953489,0.6025497798514821,0.08372093023255811,-0.02168627193270678,0.2558139534883721,-0.025191123962235218,0.08372093023255811,-0.13519966703905717,-0.032558139534883734,-0.14858382072681864,,,,,,,,,,,,,,,,,,,,,,,False
SERA,2021-07-14,local,XNAS,Sera Prognostics Inc,CS,16.0,75000000.0,8071,SERVICES-MEDICAL LABORATORIES,"Sera Prognostics, Inc. Class A Common Stock",15.01,11.9,2026-05-07,1.92,1208,False,-0.06187500000000001,-0.25625,-0.15294117647058825,-0.09495798319327742,-0.08487394957983196,-0.3571428571428571,-0.8567226890756303,2021-07-15,-0.8720852764823451,0.6828376233524256,-0.2824783477681546,0.02569410898718738,-0.27448367754830105,0.0009201113334713629,-0.49033977348434377,0.08359211464587202,-0.8864090606262491,-0.11416281370045778,2021-07-16,-0.8254545454545454,0.6958275382475663,-0.1018181818181817,0.03620769587389905,-0.010909090909090868,0.025660639777468797,-0.19999999999999996,0.07681965693092274,-0.8263636363636364,-0.11453407510431146,2021-07-22,-0.8095238095238095,0.6799008013961285,0.08234126984126977,0.018002709591494526,0.06646825396825395,0.03882982387655276,-0.3234126984126984,0.02594778295712885,-0.810515873015873,-0.09270017681232634,2021-08-13,-0.8217270194986073,0.6406817672123797,-0.09006499535747436,-0.00385736712267315,0.01671309192200554,0.04016595649248722,-0.3500464252553389,-0.012087912087912045,-0.7641597028783658,-0.03821484637811157,2021-10-13,-0.8236914600550964,0.6812906487716315,0.0055096418732780705,0.06591133684186334,-0.2975206611570248,0.0825960057913726,-0.7667584940312213,0.018913887803645002,-0.852157943067034,-0.15896398777376874,2022-01-12,-0.7490196078431373,0.5530175982338081,-0.08496732026143794,-0.06487358566667378,-0.6679738562091504,-0.05882352941176461,-0.777124183006536,-0.18249941622264199,-0.7973856209150327,-0.1556244294903093,,,,,,,,,,,,,,,,,,,,,,,False
RGC,2021-07-14,local,XNAS,Regencell Bioscience Holdings Ltd,CS,9.5,21850000.0,2833,Medicinal Chemicals & Botanical Products,Regencell Bioscience Holdings Limited Ordinary Shares,0.3158,0.2763,2026-05-07,31.47,1050,False,-0.9667578947368421,-0.9709157894736842,-0.12848353239232724,-0.1664857039449873,0.8237423090843288,2.3897937024972857,2.67933405718422,2021-07-16,98.65167827739074,0.6958275382475663,-0.2707409753008233,0.03620769587389905,0.5956301456618112,0.025660639777468797,1.965801139962001,0.07681965693092274,2.219126029132362,-0.09075104311543802,2021-07-19,124.07949125596184,0.721526731927711,-0.2647058823529411,0.044945406626506035,0.9495230524642291,0.049110504518072196,2.6502384737678857,0.09349115210843384,2.7655007949125596,-0.07099491716867457,2021-07-23,129.68936877076413,0.6630975925799634,0.5016611295681064,0.01673145559117062,0.8579734219269104,0.03118961558571476,1.9472591362126246,-0.004251062765691427,2.5103820598006648,-0.11134601832276247,2021-08-16,135.64785062961354,0.6365710706456089,1.5709943551888839,0.0018791105543376485,1.8727746417716022,0.045277616214039584,2.9995657837603127,-0.017806809538723045,2.650890143291359,-0.04292872802111758,2021-10-14,61.452867632466756,0.6534002305241033,0.3129589204207184,0.05602639726987135,0.8587021234371899,0.04987908784776374,0.14883905536812847,-0.010396185052093943,0.5213335979360982,-0.09627771374330463,2022-01-13,32.60025624599616,0.5748482369656005,-0.016549220585095004,-0.05484995909932411,-0.38191330343796714,-0.05741163301330354,0.08541533205210339,-0.15561630860636333,-0.16047405509288915,-0.12020493391311837,,,,,,,,,,,,,,,,,,,,,,,False
TCBS,2021-07-14,local,XNAS,Texas Community Bancshares Inc,CS,10.0,4139999.9999999995,6036,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED","Texas Community Bancshares, Inc. Common Stock",18.04,15.08,2026-05-07,16.8,1029,False,0.8039999999999998,0.508,0.017904509283819703,0.021220159151193574,0.021220159151193574,0.08023872679045096,0.048415119363395265,2021-07-16,-0.0687361419068735,0.6958275382475663,-0.14634146341463405,0.03620769587389905,-0.14634146341463405,0.025660639777468797,-0.0970066518847007,0.04726471951784905,-0.1236086474501108,-0.02654149281409357,2021-07-19,0.09948363536410576,0.721526731927711,0.006551089994044634,0.044945406626506035,0.003278817269746659,0.049110504518072196,0.054980726313653916,0.05136954066265065,0.030765908153849164,-0.011648155120481896,2021-07-23,0.09446254071661242,0.6630975925799634,0.006514657980456029,0.01673145559117062,-0.0016286644951140072,0.03118961558571476,0.048736156351791404,0.004569324149219067,0.051465798045602584,-0.027415944895314737,2021-08-16,0.09090909090909083,0.6365710706456089,0.09090909090909083,0.0018791105543376485,0.01948051948051943,0.045277616214039584,0.16883116883116878,-0.03885732182005286,0.016883116883116944,-0.1172430763724217,2021-10-14,0.09090909090909083,0.6534002305241033,0.01948051948051943,0.05602639726987135,0.05779220779220773,0.02106357493163369,0.11650649350649345,-0.05697561416593222,-0.001948051948052032,-0.1098605555178882,2022-01-19,0.03130755064456725,0.6192921490072822,0.1049723756906078,-0.049005068726620915,0.05550644567219143,-0.0764293145045265,-0.029459791282995584,-0.0704752207884195,-0.16144874155923872,-0.12426127182983249,,,,,,,,,,,,,,,,,,,,,,,False
RPID,2021-07-14,local,XNAS,Rapid Micro Biosystems Inc,CS,20.0,158400000.0,3826,LABORATORY ANALYTICAL INSTRUMENTS,"Rapid Micro Biosystems, Inc. Class A Common Stock",22.5,21.4,2026-05-07,2.56,1209,False,0.125,0.06999999999999984,-0.018224299065420446,-0.11401869158878497,-0.17009345794392505,-0.6635514018691588,-0.8,2021-07-15,-0.8862222222222222,0.6828376233524256,-0.15733333333333333,0.02569410898718738,-0.21066666666666656,0.0009201113334713629,-0.6799999999999999,0.08359211464587202,-0.8097777777777777,-0.11416281370045778,2021-07-16,-0.8937759336099586,0.6958275382475663,-0.18340248962655603,0.03620769587389905,-0.25477178423236513,0.025660639777468797,-0.6692946058091287,0.07681965693092274,-0.8199170124481328,-0.11453407510431146,2021-07-22,-0.8781532603522132,0.6799008013961285,0.06473108043788667,0.018002709591494526,-0.10994764397905765,0.03882982387655276,-0.6392194193241314,0.02594778295712885,-0.7915278438838649,-0.09270017681232634,2021-08-13,-0.8649789029535865,0.6406817672123797,0.05590717299578052,-0.00385736712267315,0.129746835443038,0.04016595649248722,-0.5875527426160337,-0.012087912087912045,-0.7979957805907173,-0.03821484637811157,2021-10-13,-0.8558558558558559,0.6812906487716315,0.20608108108108114,0.06591133684186334,-0.5945945945945946,0.0825960057913726,-0.6525900900900901,0.018913887803645002,-0.821509009009009,-0.15896398777376874,2022-01-12,-0.6444444444444444,0.5530175982338081,0.08611111111111103,-0.06487358566667378,-0.1430555555555556,-0.05882352941176461,-0.40555555555555556,-0.18249941622264199,-0.8125,-0.15411722249347226,,,,,,,,,,,,,,,,,,,,,,,False
ERAS,2021-07-14,local,XNAS,Erasca Inc,CS,16.0,300000000.0,2834,PHARMACEUTICAL PREPARATIONS,"Erasca, Inc. Common Stock",15.9,17.43,2026-05-07,10.4,1208,False,-0.006249999999999978,0.08937499999999998,0.0969592656339644,0.1199082042455537,0.03557085484796341,-0.2398164084911073,-0.6144578313253013,2021-07-16,-0.3459119496855346,0.6958275382475663,0.22767295597484272,0.03620769587389905,0.1352201257861636,0.025660639777468797,-0.16666666666666674,0.07681965693092274,-0.5773584905660378,-0.11453407510431146,2021-07-19,-0.4199665365309537,0.721526731927711,0.09592861126603447,0.044945406626506035,-0.007250418293363037,0.049110504518072196,-0.2783045175683213,0.09349115210843384,-0.5939765755716675,-0.07697195030120474,2021-07-23,-0.4560669456066946,0.6630975925799634,0.09100418410041833,0.01673145559117062,0.011506276150627492,0.03118961558571476,-0.4220711297071129,-0.004251062765691427,-0.5894351464435147,-0.10079792675441579,2021-08-16,-0.4672131147540983,0.6365710706456089,0.07786885245901631,0.0018791105543376485,-0.0035860655737705027,0.045277616214039584,-0.38883196721311475,-0.017806809538723045,-0.490266393442623,-0.03883495145631055,2021-10-14,-0.4238227146814404,0.6534002305241033,0.07756232686980602,0.05602639726987135,-0.2659279778393352,0.04987908784776374,-0.5218836565096953,-0.010396185052093943,-0.6038781163434903,-0.19162881099283569,2022-01-13,-0.21509433962264146,0.5748482369656005,-0.099622641509434,-0.05484995909932411,-0.34867924528301886,-0.05741163301330354,-0.49283018867924533,-0.17770267361260605,-0.6966037735849058,-0.14375511258449225,,,,,,,,,,,,,,,,,,,,,,,False
SGHT,2021-07-14,local,XNAS,Sight Sciences Inc,CS,24.0,240000000.0,3841,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"Sight Sciences, Inc. Common Stock",30.0,33.5,2026-05-07,5.29,1209,False,0.25,0.39583333333333326,0.11492537313432849,0.055820895522388,-0.31701492537313436,-0.4859701492537314,-0.7343283582089553,2021-07-15,-0.8236666666666667,0.6828376233524256,0.17899999999999983,0.02569410898718738,-0.2373333333333334,0.0009201113334713629,-0.42600000000000005,0.08359211464587202,-0.7033333333333334,-0.11416281370045778,2021-07-16,-0.8382262996941896,0.6958275382475663,0.13088685015290502,0.03620769587389905,-0.3162079510703365,0.025660639777468797,-0.4929663608562692,0.07681965693092274,-0.7388379204892968,-0.11453407510431146,2021-07-22,-0.8583668005354752,0.6799008013961285,0.00240963855421672,0.018002709591494526,-0.3791164658634538,0.03882982387655276,-0.6072289156626507,0.02594778295712885,-0.7258366800535475,-0.09270017681232634,2021-08-13,-0.8504382244840261,0.6406817672123797,-0.16906983319197055,-0.00385736712267315,-0.3355951371218546,0.04016595649248722,-0.5083404014701725,-0.012087912087912045,-0.7523324851569126,-0.03821484637811157,2021-10-13,-0.7687937062937062,0.6812906487716315,0.027097902097902082,0.06591133684186334,-0.2473776223776224,0.0825960057913726,-0.5734265734265734,0.018913887803645002,-0.7316433566433567,-0.15896398777376874,2022-01-12,-0.6927990708478513,0.5530175982338081,0.009872241579558683,-0.06487358566667378,-0.4332171893147503,-0.05882352941176461,-0.4831591173054587,-0.18249941622264199,-0.2799070847851335,-0.15411722249347226,,,,,,,,,,,,,,,,,,,,,,,False
