cut,entry_mode,variant,filter_status,atr_threshold_q25,n,t1_count,t2_count,t3_count,stop_count,timeout_count,t1_pct,t2_pct,t3_pct,stop_pct,timeout_pct,win_pct,pnl_points_total,pnl_points_avg,pnl_points_median,median_box_height,median_initial_risk_box_R,median_rr_to_t2,same_bar_conflict_count,same_bar_conflict_pct,train_n,train_t2_pct,holdout_n,holdout_t2_pct,publishable,strong_candidate
3m_bull_x_10m_po,immediate_touch,base,ok,0.0820758650173703,2419,1295,788,285,1505,629,0.5353451839603142,0.3257544439851178,0.11781727986771393,0.6221579164944192,0.2600248036378669,0.4423315419594874,176.3667000000005,0.07290892930963229,-0.08654999999998836,0.2799999999999727,0.5,2.0,51,0.02108309218685407,2370,0.3270042194092827,49,0.2653061224489796,True,False
3m_bull_x_10m_po,immediate_touch,short_box,ok,0.0820758650173703,985,591,397,181,616,188,0.6,0.4030456852791878,0.18375634517766498,0.6253807106598985,0.19086294416243654,0.48223350253807107,156.59020000000268,0.1589748223350281,-0.029999999999972715,0.23500000000001364,0.5,2.0,46,0.046700507614213196,968,0.40289256198347106,17,0.4117647058823529,True,False
3m_bull_x_10m_po,immediate_touch,tight_atr,ok,0.0820758650173703,605,360,275,148,412,45,0.5950413223140496,0.45454545454545453,0.24462809917355371,0.6809917355371901,0.0743801652892562,0.4677685950413223,64.30990000000185,0.10629735537190388,-0.04999999999998295,0.15999999999996817,0.5,2.0,31,0.0512396694214876,593,0.45699831365935917,12,0.3333333333333333,True,False
3m_bull_x_10m_po,immediate_touch,short_box_tight_atr,ok,0.0820758650173703,401,247,193,111,275,15,0.6159600997506235,0.48129675810473815,0.27680798004987534,0.685785536159601,0.03740648379052369,0.48129675810473815,43.790250000001905,0.10920261845387008,-0.025000000000005684,0.15629999999998745,0.5,2.0,31,0.0773067331670823,395,0.4835443037974684,6,0.3333333333333333,True,False
3m_bull_x_10m_po,immediate_touch,gap_filter,ok,0.0820758650173703,2364,1272,769,273,1468,623,0.5380710659898477,0.32529610829103217,0.11548223350253807,0.6209813874788495,0.26353637901861254,0.4450084602368866,181.2838000000005,0.0766851945854486,-0.08500000000000796,0.27999999999999403,0.5,2.0,46,0.0194585448392555,2315,0.3265658747300216,49,0.2653061224489796,True,False
3m_bull_x_10m_po,immediate_touch,short_box_tight_atr_gap,ok,0.0820758650173703,394,245,191,109,270,15,0.6218274111675127,0.4847715736040609,0.2766497461928934,0.6852791878172588,0.03807106598984772,0.4847715736040609,43.55955000000199,0.11055723350254312,-0.020000000000010232,0.15994999999998072,0.5,2.0,30,0.07614213197969544,388,0.48711340206185566,6,0.3333333333333333,True,False
3m_bull_x_10m_po,close_confirm,base,ok,0.0798278413002692,1437,646,353,130,952,355,0.4495476687543493,0.24565066109951286,0.09046624913013222,0.662491301322199,0.24704244954766874,0.3465553235908142,-24.79120000000205,-0.017252052887962457,-0.1649999999999352,0.269999999999996,0.5,2.0,43,0.029923451635351428,1413,0.24628450106157113,24,0.20833333333333334,True,False
3m_bull_x_10m_po,close_confirm,short_box,ok,0.0798278413002692,668,305,176,82,466,120,0.4565868263473054,0.2634730538922156,0.12275449101796407,0.6976047904191617,0.17964071856287425,0.3338323353293413,0.9175499999982577,0.0013735778443087691,-0.13750000000000284,0.23000000000000398,0.5,2.0,33,0.04940119760479042,657,0.2617960426179604,11,0.36363636363636365,True,False
3m_bull_x_10m_po,close_confirm,tight_atr,ok,0.0798278413002692,360,160,115,58,270,32,0.4444444444444444,0.3194444444444444,0.16111111111111112,0.75,0.08888888888888889,0.325,-4.435350000000369,-0.012320416666667692,-0.11999999999997613,0.15994999999998072,0.5,2.0,25,0.06944444444444445,353,0.32011331444759206,7,0.2857142857142857,True,False
3m_bull_x_10m_po,close_confirm,short_box_tight_atr,ok,0.0798278413002692,261,110,79,46,201,14,0.421455938697318,0.30268199233716475,0.17624521072796934,0.7701149425287356,0.05363984674329502,0.2988505747126437,-6.587300000000624,-0.025238697318010053,-0.11000000000001364,0.15000000000000568,0.5,2.0,23,0.08812260536398467,256,0.30078125,5,0.4,True,False
