level,hour_bucket,n,p_beyond,p_behind,p_last,p_ambig,avg_min_to_beyond,med_min_to_beyond,avg_min_to_behind,med_min_to_behind
-2.00,ALL,111,0.40540540540540543,0.4864864864864865,0.06306306306306306,0.04504504504504504,18.533333333333335,12.0,15.944444444444445,9.0
-1.786,ALL,179,0.25139664804469275,0.664804469273743,0.055865921787709494,0.027932960893854747,27.8,9.0,13.663865546218487,6.0
-1.618,ALL,234,0.24786324786324787,0.6495726495726496,0.03418803418803419,0.06837606837606838,15.724137931034482,9.0,5.940789473684211,0.0
-1.50,ALL,297,0.3501683501683502,0.5185185185185185,0.02356902356902357,0.10774410774410774,8.423076923076923,6.0,7.87012987012987,3.0
-1.382,ALL,364,0.4697802197802198,0.4340659340659341,0.027472527472527472,0.06868131868131869,14.12280701754386,9.0,9.531645569620252,6.0
-1.236,ALL,484,0.5247933884297521,0.3615702479338843,0.07231404958677685,0.04132231404958678,23.22047244094488,12.0,29.4,18.0
-1.00,ALL,748,0.410427807486631,0.4572192513368984,0.10695187165775401,0.02540106951871658,38.33550488599349,24.0,30.026315789473685,15.0
-0.786,ALL,1035,0.40869565217391307,0.4801932367149758,0.05410628019323672,0.057004830917874394,30.26241134751773,18.0,24.440643863179073,12.0
-0.618,ALL,1345,0.3174721189591078,0.5814126394052045,0.021561338289962824,0.0795539033457249,18.224824355971897,9.0,12.544757033248082,3.0
-0.50,ALL,1594,0.3506900878293601,0.5119196988707654,0.016938519447929738,0.12045169385194479,11.865831842576029,6.0,10.051470588235293,0.0
-0.382,ALL,1939,0.40948942753996903,0.44971634863331617,0.01598762248581743,0.12480660134089737,14.17632241813602,6.0,17.115825688073393,9.0
-0.236,ALL,2242,0.6409455842997324,0.3055307760927743,0.038804638715432646,0.014719000892060661,23.505219206680586,9.0,51.55620437956205,33.0
+0.236,ALL,2306,0.6092801387684302,0.3044232437120555,0.06678230702515178,0.019514310494362534,29.976512455516016,9.0,52.76495726495727,33.0
+0.382,ALL,2029,0.4613109906357812,0.37851158206012814,0.04090685066535239,0.1192705766387383,29.935897435897434,12.0,23.875,9.0
+0.50,ALL,1721,0.40906449738524114,0.4352120859965137,0.03776873910517141,0.1179546775130738,28.316761363636363,12.0,19.66622162883845,6.0
+0.618,ALL,1431,0.35150244584206847,0.506638714185884,0.07896575821104122,0.06289308176100629,41.54671968190855,24.0,26.060689655172414,9.0
+0.786,ALL,1028,0.42996108949416345,0.4046692607003891,0.13132295719844359,0.03404669260700389,67.2420814479638,42.0,42.85096153846154,21.0
+1.00,ALL,662,0.4108761329305136,0.3293051359516616,0.243202416918429,0.01661631419939577,78.46323529411765,60.0,61.69266055045872,36.0
+1.236,ALL,367,0.5122615803814714,0.25885558583106266,0.2125340599455041,0.01634877384196185,54.36702127659574,30.0,61.357894736842105,42.0
+1.382,ALL,237,0.4978902953586498,0.34177215189873417,0.11814345991561181,0.04219409282700422,32.97457627118644,15.0,27.74074074074074,18.0
+1.50,ALL,164,0.4573170731707317,0.4146341463414634,0.08536585365853659,0.042682926829268296,24.56,12.0,20.602941176470587,12.0
+1.618,ALL,118,0.4322033898305085,0.4661016949152542,0.07627118644067797,0.025423728813559324,27.058823529411764,18.0,22.145454545454545,6.0
+1.786,ALL,70,0.2714285714285714,0.42857142857142855,0.24285714285714285,0.05714285714285714,50.8421052631579,27.0,44.0,24.0
+2.00,ALL,31,0.25806451612903225,0.5161290322580645,0.22580645161290322,0.0,28.125,16.5,33.75,16.5
-2.00,09:30-10:00,18,0.3333333333333333,0.5,0.0,0.16666666666666666,10.5,3.0,2.3333333333333335,0.0
-2.00,10:00-11:00,13,0.46153846153846156,0.5384615384615384,0.0,0.0,19.0,13.5,13.285714285714286,9.0
-2.00,11:00-12:00,14,0.35714285714285715,0.5714285714285714,0.0,0.07142857142857142,15.0,12.0,12.75,7.5
-2.00,12:00-13:00,13,0.3076923076923077,0.6923076923076923,0.0,0.0,14.25,13.5,21.666666666666668,18.0
-2.00,13:00-14:00,11,0.5454545454545454,0.45454545454545453,0.0,0.0,34.0,25.5,30.6,21.0
-2.00,14:00-15:00,20,0.55,0.4,0.0,0.05,19.90909090909091,15.0,28.5,30.0
-2.00,15:00-16:00,22,0.3181818181818182,0.36363636363636365,0.3181818181818182,0.0,14.571428571428571,9.0,8.625,7.5
-1.786,09:30-10:00,27,0.2222222222222222,0.6296296296296297,0.0,0.14814814814814814,5.0,3.0,0.7058823529411765,0.0
-1.786,10:00-11:00,29,0.3448275862068966,0.6551724137931034,0.0,0.0,38.1,21.0,13.263157894736842,12.0
-1.786,11:00-12:00,25,0.28,0.72,0.0,0.0,20.142857142857142,9.0,12.333333333333334,1.5
-1.786,12:00-13:00,19,0.42105263157894735,0.5789473684210527,0.0,0.0,53.625,37.5,23.181818181818183,12.0
-1.786,13:00-14:00,18,0.16666666666666666,0.7777777777777778,0.0,0.05555555555555555,30.0,12.0,15.428571428571429,7.5
-1.786,14:00-15:00,29,0.1724137931034483,0.8275862068965517,0.0,0.0,23.4,12.0,20.75,18.0
-1.786,15:00-16:00,32,0.1875,0.5,0.3125,0.0,10.5,9.0,10.6875,9.0
-1.618,09:30-10:00,38,0.13157894736842105,0.5789473684210527,0.0,0.2894736842105263,4.8,3.0,0.2727272727272727,0.0
-1.618,10:00-11:00,38,0.23684210526315788,0.7368421052631579,0.0,0.02631578947368421,18.333333333333332,12.0,3.2142857142857144,0.0
-1.618,11:00-12:00,30,0.2,0.7,0.0,0.1,19.0,4.5,4.285714285714286,3.0
-1.618,12:00-13:00,30,0.36666666666666664,0.6333333333333333,0.0,0.0,16.90909090909091,9.0,7.2631578947368425,3.0
-1.618,13:00-14:00,29,0.20689655172413793,0.7586206896551724,0.0,0.034482758620689655,32.0,28.5,16.09090909090909,6.0
-1.618,14:00-15:00,31,0.3870967741935484,0.5806451612903226,0.03225806451612903,0.0,11.5,7.5,8.0,6.0
-1.618,15:00-16:00,38,0.23684210526315788,0.5789473684210527,0.18421052631578946,0.0,10.333333333333334,12.0,3.6818181818181817,1.5
-1.50,09:30-10:00,50,0.16,0.42,0.0,0.42,0.75,0.0,2.2857142857142856,0.0
-1.50,10:00-11:00,56,0.39285714285714285,0.5714285714285714,0.0,0.03571428571428571,6.136363636363637,4.5,6.1875,0.0
-1.50,11:00-12:00,41,0.3170731707317073,0.5853658536585366,0.0,0.0975609756097561,7.846153846153846,9.0,9.125,6.0
-1.50,12:00-13:00,32,0.5,0.46875,0.0,0.03125,7.5,4.5,15.8,12.0
-1.50,13:00-14:00,35,0.5428571428571428,0.45714285714285713,0.0,0.0,10.578947368421053,9.0,9.5625,10.5
-1.50,14:00-15:00,38,0.34210526315789475,0.5789473684210527,0.02631578947368421,0.05263157894736842,17.76923076923077,9.0,11.454545454545455,9.0
-1.50,15:00-16:00,45,0.28888888888888886,0.5333333333333333,0.13333333333333333,0.044444444444444446,6.230769230769231,6.0,4.375,1.5
-1.382,09:30-10:00,64,0.34375,0.375,0.0,0.28125,9.0,4.5,2.5,0.0
-1.382,10:00-11:00,73,0.4246575342465753,0.5342465753424658,0.0,0.0410958904109589,7.935483870967742,6.0,7.076923076923077,6.0
-1.382,11:00-12:00,53,0.4716981132075472,0.4716981132075472,0.0,0.05660377358490566,12.96,6.0,14.4,15.0
-1.382,12:00-13:00,39,0.6923076923076923,0.3076923076923077,0.0,0.0,19.444444444444443,15.0,17.25,6.0
-1.382,13:00-14:00,43,0.5581395348837209,0.4418604651162791,0.0,0.0,21.875,15.0,12.631578947368421,9.0
-1.382,14:00-15:00,43,0.4418604651162791,0.5348837209302325,0.0,0.023255813953488372,21.31578947368421,18.0,10.565217391304348,6.0
-1.382,15:00-16:00,49,0.46938775510204084,0.32653061224489793,0.20408163265306123,0.0,8.347826086956522,6.0,7.5,3.0
-1.236,09:30-10:00,115,0.4434782608695652,0.40869565217391307,0.0,0.14782608695652175,9.470588235294118,6.0,10.27659574468085,6.0
-1.236,10:00-11:00,95,0.6105263157894737,0.3894736842105263,0.0,0.0,33.672413793103445,15.0,34.13513513513514,27.0
-1.236,11:00-12:00,67,0.582089552238806,0.373134328358209,0.014925373134328358,0.029850746268656716,35.23076923076923,18.0,48.84,39.0
-1.236,12:00-13:00,45,0.5333333333333333,0.4666666666666667,0.0,0.0,23.625,15.0,46.142857142857146,33.0
-1.236,13:00-14:00,44,0.6818181818181818,0.29545454545454547,0.022727272727272728,0.0,23.3,18.0,33.69230769230769,30.0
-1.236,14:00-15:00,48,0.5208333333333334,0.4166666666666667,0.041666666666666664,0.020833333333333332,21.48,9.0,31.2,31.5
-1.236,15:00-16:00,70,0.38571428571428573,0.17142857142857143,0.44285714285714284,0.0,10.555555555555555,6.0,12.25,9.0
-1.00,09:30-10:00,201,0.4079601990049751,0.5124378109452736,0.0,0.07960199004975124,17.121951219512194,12.0,9.20388349514563,0.0
-1.00,10:00-11:00,154,0.5324675324675324,0.4675324675324675,0.0,0.0,50.853658536585364,31.5,43.375,22.5
-1.00,11:00-12:00,95,0.49473684210526314,0.4842105263157895,0.0,0.021052631578947368,47.61702127659574,33.0,47.54347826086956,27.0
-1.00,12:00-13:00,66,0.4090909090909091,0.5454545454545454,0.045454545454545456,0.0,57.111111111111114,39.0,55.25,36.0
-1.00,13:00-14:00,55,0.45454545454545453,0.4727272727272727,0.07272727272727272,0.0,49.2,36.0,38.76923076923077,28.5
-1.00,14:00-15:00,71,0.29577464788732394,0.5070422535211268,0.18309859154929578,0.014084507042253521,36.285714285714285,30.0,22.333333333333332,15.0
-1.00,15:00-16:00,106,0.2169811320754717,0.2169811320754717,0.5660377358490566,0.0,18.391304347826086,15.0,9.130434782608695,6.0
-0.786,09:30-10:00,348,0.3505747126436782,0.4942528735632184,0.0,0.15517241379310345,21.221311475409838,12.0,13.412790697674419,3.0
