date,gap_pct,abs_gap_pct,po_spy_open,po_spx_open,d_open,abs_d_open,po_spy_noon,po_spx_noon,d_noon,po_spy_eod,po_spx_eod,d_eod,dpo_spy_morning,dpo_spx_morning,dpo_spy_full,dpo_spx_full,fast_spy_bull_open,fast_spx_bull_open,slow_spy_bull_open,slow_spx_bull_open,fast_match_open,slow_match_open,lt_match_open,spy_morning_ret_pct,spy_afternoon_ret_pct,spy_full_ret_pct,gap_bin
2008-01-09,0.14408183848425088,0.14408183848425088,5.8732420948869635,-106.4326272869543,112.30586938184126,112.30586938184126,-27.575815304176977,-58.5685306320079,30.992715327830922,62.22648813095576,71.91757187833869,-9.691083747382933,-33.44905739906394,47.8640966549464,56.353246036068796,178.350199165293,0,0,0,0,1,1,1,-0.11509963311991699,1.389989196975158,1.273289691389116,<0.25%
2008-01-10,-0.767154425344518,0.767154425344518,-33.53530388170102,43.6790267542942,-77.21433063599522,77.21433063599522,5.105150587504569,13.619631709444153,-8.514481121939586,27.319337215841635,33.812186679172555,-6.49284946333092,38.64045446920559,-30.059395044850046,60.854641097542654,-9.866840075121644,0,1,0,1,0,0,1,0.3507516105941368,1.1484414009558555,1.5032211882605748,0.5-1%
2008-01-11,-0.7404795486600926,0.7404795486600926,2.998225724571575,-6.507350872440533,9.505576597012109,9.505576597012109,17.265728617068568,2.994968537235659,14.27076007983291,-10.844107903362914,-21.218382065605304,10.37427416224239,14.267502892496992,9.502319409676192,-13.84233362793449,-14.711031193164771,1,1,0,1,1,0,1,0.16341030195381157,-0.6880408568591282,-0.5257548845470758,0.5-1%
2008-01-14,0.8213699021498506,0.8213699021498506,22.27524472251357,5.646733349886407,16.628511372627163,16.628511372627163,-11.044143727730038,0.6325642911092526,-11.67670801883929,32.78353051973376,43.00365391058886,-10.2201233908551,-33.31938845024361,-5.014169058777155,10.50828579722019,37.35692056070245,1,0,1,0,0,0,0,-0.3117030320204008,0.5258669698692504,0.21252479455937334,0.5-1%
2008-01-15,-1.215891418068711,1.215891418068711,-42.944621542698435,-32.79842871158418,-10.146192831114256,10.146192831114256,-51.898814582759044,-79.57424033608191,27.67542575332287,-21.63397832276611,-30.79680101580199,9.162822693035878,-8.95419304006061,-46.775811624497734,21.310643219932324,2.00162769578219,0,0,0,1,1,0,1,-0.7084585659081215,-0.5765765765765848,-1.2809503363389299,>=1%
2008-01-16,-0.42044218919897364,0.42044218919897364,42.10326372291503,-41.95693519229704,84.06019891521207,84.06019891521207,31.252816908306176,10.735063066460146,20.51775384184603,-29.341714114479654,-34.181496214137674,4.83978209965802,-10.850446814608855,52.69199825875718,-71.44497783739469,7.7754389781593645,1,0,1,0,0,0,1,0.41493775933609467,-0.5727127736697057,-0.16015141588410778,0.25-0.5%
2008-01-17,0.31352533722202464,0.31352533722202464,12.44156219517306,-40.006361252097335,52.4479234472704,52.4479234472704,-82.07881070650546,-97.03247923954993,14.953668533044464,-74.37428053974332,-89.15189086948288,14.77761032973956,-94.52037290167853,-57.026117987452594,-86.81584273491639,-49.14552961738555,1,0,1,0,0,0,1,-2.1732810001453764,-1.0104762612378435,-3.1617967727867584,0.25-0.5%
2008-01-18,0.7280642497935893,0.7280642497935893,-28.118250290349454,-48.556717197334706,20.43846690698525,20.43846690698525,-72.99326459915964,-90.98692790565941,17.99366330649977,6.187407020357938,6.28907247370686,-0.10166545334892252,-44.875014308810194,-42.43021070832471,34.30565731070739,54.845789671041565,0,0,1,0,1,0,1,-1.7436661698956597,0.4777794630668857,-1.2742175856929805,0.5-1%
2008-01-22,-4.558834629028611,4.558834629028611,11.795156779089673,-74.01664292363321,85.81179970272288,85.81179970272288,35.65181970308901,-4.453325573864832,40.10514527695384,15.420011667095707,12.130623615064135,3.2893880520315726,23.856662923999338,69.56331734976838,3.624854888006034,86.14726653869735,1,0,0,0,0,1,1,3.5982601818900726,0.015267175572526893,3.614076710162125,>=1%
2008-01-23,-2.9766447870554154,2.9766447870554154,-22.08710279405338,-45.943861514821364,23.856758720767985,23.856758720767985,-15.974156018112515,-51.1807660204088,35.20661000229628,91.22211637681329,115.21368677446745,-23.991570397654158,6.112946775940864,-5.236904505587432,113.30921917086667,161.1575482892888,0,0,0,0,1,1,1,0.9439899307740628,4.278366583541154,5.262743864065448,>=1%
2008-01-24,0.35124430162170156,0.35124430162170156,-3.6437903715277384,119.61929593411296,-123.2630863056407,123.2630863056407,9.576892906999657,54.11605601753692,-44.53916311053726,20.592952585182612,31.90351175040771,-11.310559165225097,13.220683278527396,-65.50323991657604,24.23674295671035,-87.71578418370524,1,1,1,1,1,1,0,0.1638367590110209,0.37174721189591076,0.5361930294906158,0.25-0.5%
2008-01-25,1.1111111111111112,1.1111111111111112,51.75244038143549,70.08482271252188,-18.332382331086393,18.332382331086393,-32.23309501194515,-1.5137909627059145,-30.719304049239238,-26.780786860871757,-33.54767631721421,6.766889456342454,-83.98553539338064,-71.5986136752278,-78.53322724230725,-103.6324990297361,1,1,1,1,1,1,1,-1.1208791208791218,-1.4744017189005032,-2.5787545787545865,>=1%
2008-01-28,0.23311776206948587,0.23311776206948587,7.258515093465694,-46.28294726092011,53.54146235438581,53.54146235438581,26.820135726631694,14.580986182518457,12.239149544113237,54.836613404003614,57.74198151703692,-2.9053681130333047,19.561620633166,60.86393344343857,47.57809831053792,104.02492877795703,1,0,0,0,0,1,1,0.2550829019431341,1.2646860734864909,1.522994973366345,<0.25%
2008-01-29,0.5764114691102581,0.5764114691102581,42.391392860301686,95.12131234466814,-52.729919484366455,52.729919484366455,7.56740732356943,40.34251770159767,-32.775110378028245,21.8624888347479,32.15014433538381,-10.287655500635907,-34.82398553673225,-54.77879464307047,-20.528904025553786,-62.971168009284334,1,1,1,1,1,1,1,-0.16899338721527538,0.14719952896149896,-0.022042615723733384,0.5-1%
2008-01-30,-0.3601087675461018,0.3601087675461018,-25.0296573634704,-11.81634244561431,-13.213314917856088,13.213314917856088,-4.146412517756014,-10.413622274552534,6.26720975679652,-27.12766164508846,-34.71329725754732,7.585635612458859,20.883244845714387,1.4027201710617767,-2.09800428161806,-22.896954811933007,0,1,0,1,0,0,1,0.12538722525445306,-0.28729281767954795,-0.1622658209175386,0.25-0.5%
2008-01-31,-1.43321513002366,1.43321513002366,-30.24083475219519,-79.43805000627894,49.19721525408375,49.19721525408375,80.24438677953383,41.38913841210589,38.85524836742793,46.43845501119974,49.96079865103516,-3.5223436398354195,110.48522153172902,120.82718841838484,76.67928976339493,129.3988486573141,0,0,0,1,1,0,0,2.2260530655074198,0.6892000879830092,2.9305951131764543,>=1%
2008-02-01,0.4296220782057635,0.4296220782057635,-22.28417119118408,51.301908172723955,-73.58607936390803,73.58607936390803,7.716348751388086,26.794119612004202,-19.077770860616116,43.19802828551627,54.81102718829467,-11.6129989027784,30.000519942572165,-24.507788560719753,65.48219947670034,3.509119015570718,0,1,1,1,0,1,1,0.36252900232018564,0.7441121225256475,1.1093387470997689,0.25-0.5%
2008-02-04,-0.1864467551093517,0.1864467551093517,-63.10880569090401,22.371996531876533,-85.48080222278054,85.48080222278054,-27.84630028475483,-13.472398926366145,-14.373901358388684,-25.623210968790694,-30.59961087552068,4.976399906729984,35.26250540614919,-35.84439545824268,37.48559472211332,-52.971607407397215,0,1,0,1,0,0,1,-0.48854084345140225,-0.3682044617717067,-0.8549464760399438,<0.25%
2008-02-05,-1.5507246376811497,1.5507246376811497,-91.44888724258732,-115.69815789710415,24.249270654516835,24.249270654516835,-21.58815002108954,-53.54971085561048,31.961560834520938,-56.7300402692714,-70.62507382531072,13.895033556039323,69.86073722149777,62.148447041493675,34.71884697331592,45.07308407179343,0,0,0,0,1,1,0,-0.2944207272192004,-1.299276539199778,-1.589871926983678,>=1%
2008-02-06,0.6581899775617233,0.6581899775617233,-15.060937638076696,-51.64392146164577,36.58298382356907,36.58298382356907,17.268802118338893,21.0843446462291,-3.815542527890205,-68.2336204486044,-83.59563882679114,15.362018378186747,32.32973975641559,72.72826610787487,-53.172682810527704,-31.951717365145377,0,0,0,0,1,1,1,0.24520731163618967,-1.6233044251723356,-1.3820775746767822,0.5-1%
2008-02-07,-0.48221820373718083,0.48221820373718083,13.272801474718253,-83.61015152304668,96.88295299776493,96.88295299776493,13.01861378278165,-13.248404908584167,26.267018691365816,10.715437630236872,6.858889962539449,3.8565476676974235,-0.25418769193660395,70.36174661446252,-2.5573638444813813,90.46904148558613,0,0,0,0,1,1,1,0.47698364627498135,0.8062693090196617,1.2870987280436013,0.25-0.5%
2008-02-08,-0.3812229032740252,0.3812229032740252,-0.4395176253923285,5.192020547962926,-5.6315381733552545,5.6315381733552545,-21.287145124335954,-21.258128042304644,-0.02901708203130937,13.63588857467784,15.505490888587973,-1.869602313910132,-20.847627498943623,-26.45014859026757,14.07540620007017,10.313470340625047,0,1,0,0,0,1,1,-0.015007128385991018,-0.09756097560975269,-0.11255346289487933,0.25-0.5%
2008-02-11,0.0,0.0,-23.99587994599922,2.7839690981919523,-26.779849044191174,26.779849044191174,19.257207902213867,23.21835578538544,-3.9611478831715736,20.547918128521808,26.041052576943002,-5.493134448421195,43.253087848213084,20.434386687193488,44.54379807452103,23.25708347875105,0,1,1,0,0,0,1,0.1652644230769222,0.42747862606869147,0.5934495192307632,<0.25%
2008-02-12,0.7467702188036741,0.7467702188036741,28.471710142157065,58.888816284047124,-30.41710614189006,30.41710614189006,37.574743672203425,62.09067509611519,-24.515931423911766,-38.875026942504235,-42.92605618759115,4.051029245086916,9.10303353004636,3.2018588120680676,-67.3467370846613,-101.81487247163827,1,1,1,1,1,1,0,0.704173152472031,-0.677167672604163,0.022237046920169843,0.5-1%
2008-02-13,0.829998517859793,0.829998517859793,38.297055789130816,5.522440101921919,32.77461568720889,32.77461568720889,20.599895817172165,28.589132539591322,-7.989236722419157,38.3146922945547,50.90240586948457,-12.587713574929865,-17.69715997195865,23.066692437669403,0.017636505423887172,45.37996576756265,1,0,1,1,0,1,1,0.029398794649413525,0.44819985304923854,0.477730413053069,0.5-1%
2008-02-14,0.1682393387462437,0.1682393387462437,0.9463746693719717,35.58776323638854,-34.64138856701657,34.64138856701657,-51.22843523851835,-48.21422829425117,-3.0142069442671797,-32.457493750642875,-39.03615213835779,6.578658387714917,-52.17480990789032,-83.80199153063971,-33.403868420014845,-74.62391537474633,1,1,1,1,1,1,1,-0.854388783408783,-0.5597701996022828,-1.409376369212799,<0.25%
2008-02-15,-0.34071550255535116,0.34071550255535116,-16.405914548579425,-70.05378601240903,53.64787146382961,53.64787146382961,-9.964349923267045,-42.961531284815585,32.99718136154854,45.08545335847363,68.81212774171561,-23.726674383241985,6.441564625312379,27.09225472759345,61.49136790705305,138.86591375412465,0,0,0,0,1,1,0,-0.1337792642140519,0.5135074793480671,0.3790412486064592,0.25-0.5%
2008-02-19,1.1920627869095108,1.1920627869095108,28.522123626187145,122.56204633571335,-94.0399227095262,94.0399227095262,-12.415806852015239,36.15716891375031,-48.57297576576555,-53.488553844982334,-59.37451805657358,5.885964211591244,-40.93793047820238,-86.40487742196304,-82.01067747116949,-181.93656439228693,1,1,1,1,1,1,0,-0.48291505085241576,-0.7131828542018962,-1.192653837711272,>=1%
2008-02-20,-0.7701421800947809,0.7701421800947809,-31.060995267044948,-82.94216087516014,51.8811656081152,51.8811656081152,28.05306047953227,2.5902404650536255,25.462820014478645,27.882655983734274,35.32213341023099,-7.439477426496715,59.11405574657722,85.53240134021377,58.943651250779226,118.26429428539113,0,0,0,0,1,1,0,0.6492537313432869,0.9194038703937192,1.5746268656716518,0.5-1%
2008-02-21,0.4040849313055491,0.4040849313055491,16.28121029837715,56.455514256331846,-40.17430395795469,40.17430395795469,-32.254210939040675,-7.981019166165074,-24.273191772875602,-49.518500638702776,-55.668508074083604,6.150007435380829,-48.53542123741782,-64.43653342249692,-65.79971093707992,-112.12402233041544,1,1,1,1,1,1,1,-0.6585687106688173,-0.9428403064231005,-1.5951997658422412,0.25-0.5%
2008-02-22,0.37180249851279,0.37180249851279,23.017192746570963,-29.53205260698015,52.549245353551115,52.549245353551115,-54.45515295160965,-52.95906023009806,-1.4960927215115873,95.26512388835125,109.54192583786113,-14.276801949509874,-77.47234569818062,-23.42700762311791,72.2479311417803,139.0739784448413,1,0,1,0,0,0,1,-1.1853607941917281,1.6944069575648455,0.488961327604087,0.25-0.5%
2008-02-25,-0.07372456502506217,0.07372456502506217,-37.40619974600391,106.97355217119886,-144.37975191720278,144.37975191720278,-16.018930182764464,26.00411478826318,-42.023044971027645,54.63540576567634,72.49450638481864,-17.859100619142296,21.387269563239443,-80.96943738293568,92.04160551168025,-34.479045786380226,0,1,1,1,0,1,0,0.029511583296458956,1.2759994099424619,1.3058875608676481,<0.25%
2008-02-26,-0.42968465515985976,0.42968465515985976,-41.35288197134559,54.25098352597257,-95.60386549731817,95.60386549731817,78.7431056276849,83.01696273664874,-4.273857108963838,-3.3626096145217517,-1.9558444247299374,-1.4067651897918143,120.09598759903048,28.765979210676164,37.99027235682384,-56.20682795070251,0,1,1,1,0,1,1,1.0751901696898762,0.11578261813445011,1.1922176711527175,0.25-0.5%
2008-02-27,-0.571015540296344,0.571015540296344,-40.06301290596421,-29.75326289239254,-10.309750013571666,10.309750013571666,51.31200829969394,39.29349415592182,12.018514143772123,-7.98014590537483,-7.453715103887501,-0.5264308014873285,91.37502120565816,69.04675704831436,32.082867000589374,22.29954778850504,0,0,0,1,1,0,1,0.952311718522828,-0.5400734499891985,0.4070950857807519,0.5-1%
2008-02-28,-0.6298870547350164,0.6298870547350164,-21.261862500056843,-44.23408750720226,22.97222500714542,22.97222500714542,-42.20849421488073,-63.69860096028392,21.49010674540319,-15.207881628313054,-20.143611935974526,4.935730307661473,-20.946631714823887,-19.464513453081658,6.053980871743789,24.090475571227735,0,0,0,0,1,1,0,-0.3278688524590081,0.13888888888888723,-0.18943533697631396,0.5-1%
