date,year,atr,fwd_pts,fwd_atr,fwd_bps,po,day_ret,last_hr,last15,atr_pos,dist_hi,dist_lo,leave_acc,leave_dist,lo1,lo2,po_lo1,po_lo2,hi1,hi2,po_hi1,po_hi2
2008-01-02,2008,20.980455427039008,-0.11999999999989086,-0.005719608919701444,-0.8291071897404263,74.93592280556874,-0.9561279577442916,-0.03574755574816653,0.16872846313135514,-0.9747166867333321,1.1372489068683331,0.27835430075906364,0,1,1442.07,1442.54,-153.8062117504124,-61.1711401171832,1457.56,1448.76,114.92630647278804,74.93592280556874
2008-01-03,2008,21.60328003939337,0.01999999999998181,0.0009257853420180643,0.13823324094732492,44.250900465190945,-0.03379116498369092,-0.1703445029314817,0.11803763110740845,-0.01573835081432814,0.46196688566743505,0.14303383534191721,1,0,1448.46,1443.73,-50.532382962814395,-154.3120169150005,1454.03,1449.17,-0.452153128437264,-67.30475367643727
2008-01-04,2008,20.993760036579552,-3.25,-0.15480790455531532,-22.96933417200851,-39.957847456175,-1.4018451172501352,0.06001783376606027,-0.1857694854663827,-1.5518897016652913,1.4018451172501352,0.12289365961621607,0,1,1412.0,1413.68,-74.76443376295025,-58.527281727229436,1423.89,1419.72,31.485487989909075,59.08129978568543
2008-01-07,2008,22.063491462538156,7.649999999999864,0.34672662814898914,54.31464152336497,5.784174694931007,-0.21982014987223475,-0.20441007751006088,0.03535251894852377,-0.10923021880249766,0.6639928238408802,0.26151799273460086,1,0,1406.35,1404.46,-118.24926035998013,-79.79264438141401,1422.31,1410.57,-6.370698391840152,7.582629334677942
2008-01-08,2008,21.94609921521399,-10.039999999999964,-0.45748448968278604,-71.7117245812647,-28.02851384513886,-0.7044532082167245,-0.8639348530264612,0.014125517111717053,-0.7258693148054619,1.36835251246754,0.2127940803604235,1,0,1402.28,1395.58,-139.2074554043903,-123.76882084255382,1424.89,1405.53,102.7509690457183,56.877201855516
2008-01-09,2008,23.377092128412993,4.6400000000001,0.19848490883776557,33.04160821482814,65.9752599428192,0.5809105737105138,0.8243112485568225,0.2386952136454081,0.5834771889109998,0.11763653002238007,1.074983999804508,1,0,1378.7,1394.96,-66.48948396829532,-69.30354736340841,1402.11,1406.58,137.77923648747858,87.24423412180778
2008-01-10,2008,23.885156976383495,-2.269999999999982,-0.09503810262768839,-15.960513548858732,-65.88600588545961,0.6506132664468219,0.0766166201800283,-0.18965753519974857,0.5522258033740984,0.2834396276605523,1.130827820252812,0,1,1401.74,1422.28,-74.97896642859276,-65.88600588545961,1428.86,1429.09,122.45302840210971,88.3006996083933
2008-01-11,2008,24.59193147807039,-1.4100000000000819,-0.05733587869083953,-10.05598545091525,32.63017843700714,-0.6904703689151771,-0.09433988550548676,0.06790845206645435,-0.7075491412911645,0.6904703689151771,0.32937632439417097,0,1,1395.65,1394.83,-109.51489354365657,-81.88175117792635,1414.05,1405.33,54.04362376120423,63.44930855067557
2008-01-14,2008,24.65679351535108,-0.9900000000000091,-0.04015120617300237,-6.986196968413987,75.16539692574057,0.5722560799000548,0.1034197734759124,0.16303823112673466,0.6489083825939718,0.03528439330355201,0.5722560799000548,0,0,1407.98,1412.45,-27.095762668451286,-72.0408514383395,1417.06,1417.89,56.78828782969639,75.16539692574057
2008-01-15,2008,24.1005939785403,-6.519999999999982,-0.27053275142536043,-47.00386412134482,13.186197700716097,-0.9900170934063118,0.04439724601612259,-0.00580898546005792,-1.1713404252665571,0.9900170934063118,0.2900343454698278,0,1,1381.03,1381.28,-75.11852953132832,-13.689774636596777,1391.78,1392.5,103.0015783973991,148.5994803305429
2008-01-16,2008,24.925551551501712,-2.4899999999997817,-0.09989748852116231,-18.100929035633257,-131.5780159900138,-0.07863416767128471,-0.6631748936766888,-0.446128543114623,-0.2206571031592132,0.6635760884097052,0.4485357115127305,0,0,1373.07,1375.45,-63.75443372604087,-131.5780159900138,1391.99,1389.3,105.65948251756615,81.47972408632867
