entry_ts,exit_ts,pnl_pts,reason,ticker
2026-01-27 15:15:00,2026-01-27 15:30:00,-0.39387805552305055,stop,IWM
2026-01-28 09:33:00,2026-01-28 09:51:00,-0.7111154322054358,stop,IWM
2026-01-29 09:42:00,2026-01-29 09:44:00,-1.1493529500228488,stop,IWM
2026-01-30 09:30:00,2026-01-30 09:43:00,1.48,ribbon,IWM
2026-02-03 10:39:00,2026-02-03 11:19:00,-0.6900000000000159,ribbon,IWM
2026-02-06 11:06:00,2026-02-06 15:59:00,2.3599999999999954,eod,IWM
2026-02-10 11:03:00,2026-02-10 13:22:00,-0.2397999999999638,ribbon,IWM
2026-02-12 09:33:00,2026-02-12 09:45:00,-0.9550384508485945,stop,IWM
2026-02-18 09:42:00,2026-02-18 13:28:00,0.049999999999993175,ribbon,IWM
2026-02-20 10:03:00,2026-02-20 10:07:00,-1.8353753310731986,stop,IWM
2026-02-20 15:42:00,2026-02-20 15:59:00,-0.08499999999999773,eod,IWM
2026-02-24 09:39:00,2026-02-24 15:19:00,1.7999999999999932,ribbon,IWM
2026-02-25 09:33:00,2026-02-25 09:37:00,-0.865298246130767,stop,IWM
2026-02-25 15:00:00,2026-02-25 15:22:00,-0.36796456573167236,stop,IWM
2026-02-26 15:21:00,2026-02-26 15:59:00,0.04499999999999772,eod,IWM
2026-03-02 11:12:00,2026-03-02 11:27:00,-1.3513433554628205,stop,IWM
2026-03-02 11:48:00,2026-03-02 12:12:00,-1.2472804254165522,stop,IWM
2026-03-04 10:15:00,2026-03-04 13:19:00,0.5100000000000295,ribbon,IWM
2026-03-09 15:21:00,2026-03-09 15:59:00,2.3400000000000136,eod,IWM
2026-03-16 11:33:00,2026-03-16 11:58:00,-0.9642068849625116,stop,IWM
2026-03-23 11:06:00,2026-03-23 11:37:00,-1.6597051420813114,stop,IWM
2026-03-31 15:00:00,2026-03-31 15:59:00,0.5050000000000057,eod,IWM
2026-04-01 09:33:00,2026-04-01 14:04:00,-0.20500000000000226,ribbon,IWM
2026-04-02 15:00:00,2026-04-02 15:59:00,0.4899999999999909,eod,IWM
