entry_ts,exit_ts,pnl_pts,reason
2026-01-30 09:30:00,2026-01-30 10:04:00,0.15000000000006367,ribbon
2026-02-02 09:42:00,2026-02-02 15:19:00,4.039999999999936,ribbon
2026-02-06 11:06:00,2026-02-06 15:59:00,4.509999999999963,eod
2026-02-09 10:18:00,2026-02-09 15:31:00,2.16500000000005,ribbon
2026-02-10 10:03:00,2026-02-10 11:13:00,-0.8499999999999364,ribbon
2026-02-13 11:45:00,2026-02-13 14:04:00,0.15000000000006367,ribbon
2026-02-18 09:45:00,2026-02-18 13:46:00,2.239999999999982,ribbon
2026-02-20 09:30:00,2026-02-20 12:16:00,2.9449999999999092,ribbon
2026-02-25 11:33:00,2026-02-25 15:59:00,1.3399999999998908,eod
2026-03-02 11:15:00,2026-03-02 11:27:00,-1.9715966203147264,stop
2026-03-02 11:45:00,2026-03-02 13:58:00,-0.9699000000000797,ribbon
2026-03-04 10:15:00,2026-03-04 15:25:00,2.4400000000000275,ribbon
2026-03-09 15:21:00,2026-03-09 15:59:00,4.190000000000027,eod
2026-03-10 10:36:00,2026-03-10 14:19:00,-1.0200000000000091,ribbon
2026-03-17 10:48:00,2026-03-17 11:33:00,-1.7390167403248415,stop
2026-03-23 15:00:00,2026-03-23 15:26:00,-1.7929037359490667,stop
2026-03-24 15:06:00,2026-03-24 15:34:00,-0.8700000000000319,ribbon
2026-03-30 11:51:00,2026-03-30 12:07:00,-1.6799999999999773,ribbon
2026-03-31 15:21:00,2026-03-31 15:59:00,0.5099999999999636,eod
2026-04-01 09:33:00,2026-04-01 14:07:00,1.095,ribbon
2026-04-02 15:12:00,2026-04-02 15:59:00,0.5300000000000591,eod
2026-04-06 09:36:00,2026-04-06 13:07:00,-0.17999999999997726,ribbon
2026-04-08 11:51:00,2026-04-08 14:49:00,-0.9000000000000046,ribbon
2026-04-09 09:30:00,2026-04-09 10:31:00,-0.5499999999999818,ribbon
2026-04-09 11:18:00,2026-04-09 14:28:00,2.830000000000014,ribbon
2026-04-09 15:15:00,2026-04-09 15:59:00,0.020000000000068213,eod
2026-04-13 15:00:00,2026-04-13 15:59:00,2.6899000000000526,eod
2026-04-14 11:27:00,2026-04-14 14:52:00,0.09000000000000455,ribbon
2026-04-15 15:00:00,2026-04-15 15:59:00,0.42000000000004545,eod
2026-04-16 09:45:00,2026-04-16 09:52:00,-1.2864186112801963,stop
2026-04-16 11:06:00,2026-04-16 13:04:00,0.08000000000001364,ribbon
2026-04-17 09:33:00,2026-04-17 14:10:00,2.649900000000089,ribbon
2026-04-21 09:33:00,2026-04-21 10:52:00,-0.4199999999999864,ribbon
2026-04-22 15:24:00,2026-04-22 15:59:00,0.9799999999999909,eod
2026-04-23 10:57:00,2026-04-23 12:04:00,-1.2456181378318252,stop
2026-04-24 09:42:00,2026-04-24 15:59:00,3.9021999999999664,eod
2026-04-28 15:06:00,2026-04-28 15:59:00,0.010000000000077308,eod
2026-04-30 09:33:00,2026-04-30 09:40:00,-1.8157042334164817,stop
2026-04-30 09:45:00,2026-04-30 10:09:00,-2.1115792537122204,stop
2026-04-30 10:57:00,2026-04-30 15:59:00,4.97,eod
2026-05-01 11:45:00,2026-05-01 11:50:00,-1.1233155428164128,stop
2026-05-01 11:57:00,2026-05-01 12:10:00,-1.298508179362243,stop
2026-05-06 10:36:00,2026-05-06 15:59:00,3.1900000000000275,eod
2026-05-07 10:45:00,2026-05-07 11:58:00,-1.0368429159161952,stop
2026-05-11 09:45:00,2026-05-11 13:16:00,0.7000000000000182,ribbon
2026-05-12 15:30:00,2026-05-12 15:59:00,1.1599999999999409,eod
2026-05-13 11:36:00,2026-05-13 15:59:00,2.7100000000000093,eod
2026-05-14 10:36:00,2026-05-14 13:19:00,0.39000000000007273,ribbon
2026-05-14 15:03:00,2026-05-14 15:59:00,-0.70999999999995,eod
2026-05-20 11:21:00,2026-05-20 15:59:00,0.49000000000009547,eod
2026-05-22 09:33:00,2026-05-22 10:22:00,-2.2428523362864596,stop
2026-05-26 15:36:00,2026-05-26 15:59:00,0.1899999999999136,eod
2026-05-27 15:00:00,2026-05-27 15:59:00,-0.3850000000000182,eod
2026-05-28 15:36:00,2026-05-28 15:59:00,-0.2299999999999318,eod
2026-06-08 11:00:00,2026-06-08 11:32:00,-2.6735427206378106,stop
2026-06-10 10:09:00,2026-06-10 10:56:00,-3.6905681045643903,stop
2026-06-11 15:03:00,2026-06-11 15:59:00,2.0450000000000457,eod
2026-06-12 11:00:00,2026-06-12 11:59:00,-3.740620005238411,stop
2026-06-15 09:33:00,2026-06-15 15:31:00,1.4400000000000273,ribbon
2026-06-16 09:51:00,2026-06-16 10:04:00,-0.8300000000000682,ribbon
2026-06-30 09:42:00,2026-06-30 15:59:00,5.109999999999986,eod
2026-07-01 11:18:00,2026-07-01 13:04:00,-0.9449999999999636,ribbon
2026-07-06 11:06:00,2026-07-06 15:59:00,0.9100000000000545,eod
2026-07-09 09:36:00,2026-07-09 10:16:00,-1.8024333222874975,stop
2026-07-10 09:33:00,2026-07-10 09:40:00,-0.9115027118928356,stop
2026-07-10 11:21:00,2026-07-10 15:59:00,2.0450000000000457,eod
