level,hour_bucket,n,p_beyond,p_behind,p_last,p_ambig,avg_min_to_beyond,med_min_to_beyond,avg_min_to_behind,med_min_to_behind
-2.00,ALL,59,0.3728813559322034,0.4915254237288136,0.06779661016949153,0.06779661016949153,20.318181818181817,9.0,16.344827586206897,0.0
-1.786,ALL,73,0.3013698630136986,0.589041095890411,0.0136986301369863,0.0958904109589041,14.318181818181818,9.0,8.30232558139535,0.0
-1.618,ALL,108,0.1388888888888889,0.6944444444444444,0.027777777777777776,0.1388888888888889,19.8,6.0,6.56,0.0
-1.50,ALL,138,0.2463768115942029,0.6159420289855072,0.014492753623188406,0.12318840579710146,12.882352941176471,6.0,4.8,0.0
-1.382,ALL,184,0.32608695652173914,0.5,0.05434782608695652,0.11956521739130435,10.8,4.5,5.836956521739131,0.0
-1.236,ALL,261,0.45977011494252873,0.4061302681992337,0.09578544061302682,0.038314176245210725,17.275,9.0,16.41509433962264,6.0
-1.00,ALL,443,0.32505643340857787,0.5079006772009029,0.14221218961625282,0.024830699774266364,45.291666666666664,21.0,24.426666666666666,12.0
-0.786,ALL,738,0.3035230352303523,0.6043360433604336,0.07181571815718157,0.02032520325203252,35.75892857142857,15.0,20.72421524663677,6.0
-0.618,ALL,1039,0.24061597690086622,0.6891241578440809,0.021174205967276226,0.04908565928777671,26.028,13.5,9.096368715083798,0.0
-0.50,ALL,1242,0.3059581320450886,0.5805152979066023,0.024154589371980676,0.0893719806763285,13.421052631578947,9.0,7.805825242718447,0.0
-0.382,ALL,1489,0.3828072531900604,0.5305574210879785,0.022834116856950974,0.06380120886501008,16.3,6.0,10.875949367088607,0.0
-0.236,ALL,1768,0.5299773755656109,0.4145927601809955,0.040158371040723985,0.015271493212669683,23.64461045891142,9.0,34.493860845839016,12.0
+0.236,ALL,1745,0.5106017191977077,0.42464183381088827,0.04871060171919771,0.016045845272206302,22.164983164983166,6.0,27.663967611336034,12.0
+0.382,ALL,1583,0.38660770688566015,0.5161086544535691,0.027795325331648767,0.06948831332912192,17.254901960784313,6.0,10.982864137086903,0.0
+0.50,ALL,1351,0.3145817912657291,0.5795706883789785,0.02220577350111029,0.08364174685418209,17.08235294117647,6.0,7.057471264367816,0.0
+0.618,ALL,1116,0.24372759856630824,0.6612903225806451,0.04121863799283154,0.053763440860215055,28.58823529411765,15.0,11.378048780487806,0.0
+0.786,ALL,770,0.3142857142857143,0.5753246753246753,0.09350649350649351,0.016883116883116882,44.03305785123967,24.0,21.81941309255079,9.0
+1.00,ALL,487,0.36344969199178645,0.486652977412731,0.1293634496919918,0.02053388090349076,51.05084745762712,27.0,37.29113924050633,15.0
+1.236,ALL,289,0.5121107266435986,0.3356401384083045,0.11072664359861592,0.04152249134948097,25.5,12.0,23.350515463917525,12.0
+1.382,ALL,212,0.3443396226415094,0.5141509433962265,0.04716981132075472,0.09433962264150944,13.150684931506849,6.0,7.954128440366972,0.0
+1.50,ALL,170,0.20588235294117646,0.6294117647058823,0.058823529411764705,0.10588235294117647,19.457142857142856,6.0,4.261682242990654,0.0
+1.618,ALL,127,0.23622047244094488,0.6456692913385826,0.031496062992125984,0.08661417322834646,9.8,6.0,7.573170731707317,0.0
+1.786,ALL,102,0.27450980392156865,0.5882352941176471,0.0784313725490196,0.058823529411764705,26.142857142857142,15.0,6.45,0.0
+2.00,ALL,73,0.3287671232876712,0.4931506849315068,0.0958904109589041,0.0821917808219178,29.75,13.5,13.833333333333334,1.5
-2.00,09:30-10:00,20,0.25,0.6,0.0,0.15,11.4,15.0,3.0,0.0
-2.00,10:00-11:00,10,0.7,0.2,0.0,0.1,20.571428571428573,9.0,36.0,36.0
-2.00,11:00-12:00,6,0.16666666666666666,0.8333333333333334,0.0,0.0,159.0,159.0,12.0,12.0
-2.00,12:00-13:00,3,0.6666666666666666,0.3333333333333333,0.0,0.0,3.0,3.0,120.0,120.0
-2.00,13:00-14:00,2,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
-2.00,14:00-15:00,7,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,10.5,10.5,50.0,57.0
-2.00,15:00-16:00,11,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.0,15.0,15.0,7.2,0.0
-1.786,09:30-10:00,30,0.2,0.6,0.0,0.2,3.5,1.5,0.8333333333333334,0.0
-1.786,10:00-11:00,12,0.4166666666666667,0.5833333333333334,0.0,0.0,22.2,3.0,3.0,3.0
-1.786,11:00-12:00,7,0.14285714285714285,0.8571428571428571,0.0,0.0,15.0,15.0,13.5,3.0
-1.786,12:00-13:00,5,0.4,0.6,0.0,0.0,21.0,21.0,39.0,15.0
-1.786,13:00-14:00,3,0.6666666666666666,0.3333333333333333,0.0,0.0,31.5,31.5,0.0,0.0
-1.786,14:00-15:00,8,0.25,0.75,0.0,0.0,18.0,18.0,19.0,9.0
-1.786,15:00-16:00,8,0.5,0.25,0.125,0.125,6.75,9.0,4.5,4.5
-1.618,09:30-10:00,29,0.034482758620689655,0.5862068965517241,0.0,0.3793103448275862,0.0,0.0,0.0,0.0
-1.618,10:00-11:00,18,0.2222222222222222,0.7222222222222222,0.0,0.05555555555555555,7.5,4.5,0.9230769230769231,0.0
-1.618,11:00-12:00,13,0.23076923076923078,0.6923076923076923,0.0,0.07692307692307693,46.0,63.0,3.0,0.0
-1.618,12:00-13:00,8,0.125,0.625,0.25,0.0,24.0,24.0,17.4,9.0
-1.618,13:00-14:00,12,0.08333333333333333,0.8333333333333334,0.0,0.08333333333333333,60.0,60.0,13.5,6.0
-1.618,14:00-15:00,14,0.21428571428571427,0.7857142857142857,0.0,0.0,8.0,6.0,10.090909090909092,3.0
-1.618,15:00-16:00,14,0.14285714285714285,0.7142857142857143,0.07142857142857142,0.07142857142857142,10.5,10.5,12.0,1.5
-1.50,09:30-10:00,39,0.05128205128205128,0.6666666666666666,0.0,0.28205128205128205,0.0,0.0,0.23076923076923078,0.0
-1.50,10:00-11:00,27,0.3333333333333333,0.5925925925925926,0.0,0.07407407407407407,10.333333333333334,3.0,0.5625,0.0
-1.50,11:00-12:00,12,0.25,0.6666666666666666,0.0,0.08333333333333333,6.0,9.0,1.875,0.0
-1.50,12:00-13:00,13,0.46153846153846156,0.5384615384615384,0.0,0.0,12.5,9.0,3.857142857142857,3.0
-1.50,13:00-14:00,18,0.2777777777777778,0.6666666666666666,0.05555555555555555,0.0,20.4,12.0,11.25,1.5
-1.50,14:00-15:00,14,0.2857142857142857,0.6428571428571429,0.0,0.07142857142857142,27.75,21.0,11.0,0.0
-1.50,15:00-16:00,15,0.3333333333333333,0.4666666666666667,0.06666666666666667,0.13333333333333333,7.8,9.0,16.714285714285715,9.0
-1.382,09:30-10:00,46,0.13043478260869565,0.5434782608695652,0.0,0.32608695652173914,0.5,0.0,0.12,0.0
-1.382,10:00-11:00,39,0.28205128205128205,0.6410256410256411,0.0,0.07692307692307693,14.181818181818182,3.0,4.44,0.0
-1.382,11:00-12:00,15,0.26666666666666666,0.6,0.0,0.13333333333333333,20.25,19.5,4.0,0.0
-1.382,12:00-13:00,24,0.4166666666666667,0.5833333333333334,0.0,0.0,9.0,7.5,8.357142857142858,3.0
-1.382,13:00-14:00,20,0.7,0.3,0.0,0.0,13.071428571428571,7.5,7.5,4.5
-1.382,14:00-15:00,19,0.5263157894736842,0.47368421052631576,0.0,0.0,6.9,4.5,22.0,21.0
-1.382,15:00-16:00,21,0.23809523809523808,0.19047619047619047,0.47619047619047616,0.09523809523809523,13.2,18.0,6.75,6.0
-1.236,09:30-10:00,63,0.4603174603174603,0.4126984126984127,0.0,0.12698412698412698,4.9655172413793105,0.0,1.8461538461538463,0.0
-1.236,10:00-11:00,48,0.4166666666666667,0.5833333333333334,0.0,0.0,19.5,10.5,11.571428571428571,7.5
-1.236,11:00-12:00,34,0.4411764705882353,0.47058823529411764,0.058823529411764705,0.029411764705882353,24.6,6.0,17.8125,9.0
-1.236,12:00-13:00,37,0.5135135135135135,0.4864864864864865,0.0,0.0,19.105263157894736,9.0,33.833333333333336,18.0
-1.236,13:00-14:00,24,0.625,0.2916666666666667,0.08333333333333333,0.0,27.0,15.0,37.714285714285715,39.0
-1.236,14:00-15:00,25,0.48,0.28,0.24,0.0,21.75,10.5,27.428571428571427,24.0
-1.236,15:00-16:00,30,0.3333333333333333,0.13333333333333333,0.5,0.03333333333333333,14.1,16.5,4.5,3.0
-1.00,09:30-10:00,108,0.25925925925925924,0.6666666666666666,0.0,0.07407407407407407,34.92857142857143,9.0,4.416666666666667,0.0
-1.00,10:00-11:00,100,0.36,0.62,0.02,0.0,41.166666666666664,15.0,36.483870967741936,22.5
-1.00,11:00-12:00,64,0.46875,0.421875,0.09375,0.015625,54.2,25.5,32.44444444444444,18.0
-1.00,12:00-13:00,47,0.46808510638297873,0.44680851063829785,0.06382978723404255,0.02127659574468085,56.86363636363637,31.5,41.0,33.0
-1.00,13:00-14:00,40,0.375,0.425,0.2,0.0,53.4,39.0,29.647058823529413,27.0
-1.00,14:00-15:00,36,0.25,0.4722222222222222,0.2777777777777778,0.0,34.0,36.0,35.470588235294116,36.0
-1.00,15:00-16:00,48,0.08333333333333333,0.1875,0.7083333333333334,0.020833333333333332,19.5,16.5,8.0,6.0
-0.786,09:30-10:00,239,0.2217573221757322,0.7322175732217573,0.0,0.04602510460251046,19.30188679245283,6.0,5.6571428571428575,0.0
-0.786,10:00-11:00,160,0.35,0.65,0.0,0.0,30.642857142857142,12.0,25.846153846153847,9.0
-0.786,11:00-12:00,111,0.3783783783783784,0.5765765765765766,0.02702702702702703,0.018018018018018018,55.57142857142857,36.0,36.9375,18.0
-0.786,12:00-13:00,74,0.40540540540540543,0.5135135135135135,0.08108108108108109,0.0,38.9,21.0,26.92105263157895,16.5
-0.786,13:00-14:00,54,0.37037037037037035,0.5185185185185185,0.1111111111111111,0.0,55.65,34.5,48.75,43.5
-0.786,14:00-15:00,50,0.32,0.4,0.28,0.0,35.4375,36.0,29.85,27.0
-0.786,15:00-16:00,50,0.14,0.34,0.48,0.04,12.857142857142858,12.0,12.705882352941176,9.0
-0.618,09:30-10:00,397,0.14609571788413098,0.760705289672544,0.0,0.09319899244332494,7.5,3.0,2.274834437086093,0.0
-0.618,10:00-11:00,251,0.28286852589641437,0.6892430278884463,0.00398406374501992,0.02390438247011952,27.211267605633804,12.0,7.907514450867052,3.0
-0.618,11:00-12:00,144,0.2638888888888889,0.7152777777777778,0.0,0.020833333333333332,37.026315789473685,24.0,19.805825242718445,9.0
-0.618,12:00-13:00,85,0.35294117647058826,0.6,0.023529411764705882,0.023529411764705882,26.8,19.5,18.941176470588236,12.0
-0.618,13:00-14:00,54,0.37037037037037035,0.5925925925925926,0.018518518518518517,0.018518518518518517,54.6,52.5,16.6875,10.5
-0.618,14:00-15:00,55,0.43636363636363634,0.509090909090909,0.03636363636363636,0.01818181818181818,30.5,24.0,24.0,12.0
-0.618,15:00-16:00,53,0.16981132075471697,0.5094339622641509,0.3018867924528302,0.018867924528301886,11.666666666666666,9.0,9.11111111111111,6.0
-0.50,09:30-10:00,554,0.20577617328519857,0.644404332129964,0.0,0.14981949458483754,5.578947368421052,3.0,1.504201680672269,0.0
-0.50,10:00-11:00,297,0.3164983164983165,0.6430976430976431,0.0,0.04040404040404041,11.840425531914894,6.0,9.706806282722512,0.0
-0.50,11:00-12:00,133,0.5338345864661654,0.42857142857142855,0.007518796992481203,0.03007518796992481,20.661971830985916,12.0,14.68421052631579,6.0
-0.50,12:00-13:00,74,0.4189189189189189,0.5,0.013513513513513514,0.06756756756756757,21.774193548387096,12.0,24.08108108108108,15.0
-0.50,13:00-14:00,64,0.390625,0.515625,0.03125,0.0625,18.96,18.0,27.181818181818183,18.0
-0.50,14:00-15:00,61,0.4262295081967213,0.45901639344262296,0.09836065573770492,0.01639344262295082,19.26923076923077,16.5,12.964285714285714,3.0
-0.50,15:00-16:00,59,0.3220338983050847,0.3050847457627119,0.3389830508474576,0.03389830508474576,12.31578947368421,9.0,13.833333333333334,13.5
-0.382,09:30-10:00,778,0.3097686375321337,0.5886889460154242,0.0,0.10154241645244216,8.066390041493776,3.0,3.53056768558952,0.0
-0.382,10:00-11:00,331,0.45317220543806647,0.5226586102719033,0.0030211480362537764,0.021148036253776436,17.52,7.5,15.398843930635838,9.0
-0.382,11:00-12:00,135,0.4740740740740741,0.4962962962962963,0.007407407407407408,0.022222222222222223,25.171875,9.0,35.776119402985074,18.0
