tf,side,entry,filter,exit,stop,n_trades,trades_per_day,win_rate,avg_risk_pts,avg_bars_held,avg_r_gross,avg_r_net,total_r_net,pf_net,t_stat,max_dd_r,pos_years_pct,n_years,r_net_2008_2019,r_net_2020_2026
10m,long,close_confirm,none,target2r_trail,candle_low,21940,4.71,28.2,4.98,1.5,-0.0526,-0.1638,-3593.3,0.617,-28.54,3594.1,0.0,19,-2977.2,-616.0
10m,long,close_confirm,none,target2r_trail,atr_0.5,23709,5.09,26.6,2.73,0.9,-0.0778,-0.2601,-6165.8,0.602,-35.05,6172.5,0.0,19,-5241.6,-924.2
10m,long,close_confirm,none,target2r_trail,atr_1.0,21323,4.58,29.0,5.42,1.7,-0.0451,-0.137,-2921.0,0.626,-26.79,2924.4,0.0,19,-2537.1,-383.9
10m,long,close_confirm,none,target2r_trail,atr_1.5,20907,4.49,29.4,8.1,1.9,-0.034,-0.0955,-1995.6,0.618,-26.05,1996.8,0.0,19,-1737.3,-258.3
10m,long,close_confirm,ribbon,cbc_trail,candle_low,13007,2.79,27.7,4.51,1.7,-0.0404,-0.1604,-2086.5,0.628,-18.68,2090.0,0.0,19,-1822.0,-264.5
10m,long,close_confirm,ribbon,cbc_trail,atr_0.5,13462,2.89,25.0,2.54,1.4,-0.068,-0.2626,-3535.1,0.597,-22.14,3541.5,5.0,19,-3156.7,-378.5
10m,long,close_confirm,ribbon,cbc_trail,atr_1.0,12789,2.75,28.8,5.08,1.9,-0.0334,-0.1309,-1674.5,0.634,-18.9,1677.5,11.0,19,-1541.0,-133.4
10m,long,close_confirm,ribbon,cbc_trail,atr_1.5,12707,2.73,29.2,7.61,1.9,-0.0247,-0.0898,-1141.2,0.632,-18.79,1142.9,5.0,19,-1042.5,-98.6
10m,long,close_confirm,ribbon,cbc_after_1r,candle_low,9340,2.01,40.9,4.84,4.9,-0.0176,-0.1301,-1214.9,0.792,-9.6,1222.3,5.0,19,-1076.7,-138.3
10m,long,close_confirm,ribbon,cbc_after_1r,atr_0.5,12104,2.6,33.0,2.57,2.2,-0.0147,-0.2076,-2513.3,0.725,-14.17,2518.1,5.0,19,-2345.4,-167.9
10m,long,close_confirm,ribbon,cbc_after_1r,atr_1.0,8687,1.87,44.1,5.28,5.8,0.0152,-0.0788,-684.7,0.866,-5.98,702.4,21.0,19,-698.0,13.3
10m,long,close_confirm,ribbon,cbc_after_1r,atr_1.5,6615,1.42,47.5,8.12,10.0,0.0321,-0.029,-191.7,0.942,-2.2,254.1,42.0,19,-237.9,46.2
10m,long,close_confirm,ribbon,close_against,candle_low,9977,2.14,33.2,4.78,4.0,0.0147,-0.0997,-995.1,0.823,-7.0,1064.3,16.0,19,-988.6,-6.4
10m,long,close_confirm,ribbon,close_against,atr_0.5,11012,2.36,26.9,2.59,3.0,0.0387,-0.1525,-1678.8,0.807,-8.12,1882.1,26.0,19,-1821.0,142.2
10m,long,close_confirm,ribbon,close_against,atr_1.0,9600,2.06,35.7,5.24,4.4,0.0274,-0.0674,-647.5,0.862,-5.52,743.7,26.0,19,-731.9,84.4
10m,long,close_confirm,ribbon,close_against,atr_1.5,9278,1.99,37.7,7.87,4.8,0.0183,-0.0448,-415.7,0.869,-5.08,480.7,26.0,19,-467.1,51.4
10m,long,close_confirm,ribbon,target2r_trail,candle_low,13421,2.88,28.0,4.52,1.5,-0.0429,-0.1624,-2179.6,0.622,-21.95,2180.9,0.0,19,-1832.9,-346.7
10m,long,close_confirm,ribbon,target2r_trail,atr_0.5,14391,3.09,26.9,2.57,0.9,-0.0613,-0.254,-3655.7,0.606,-26.82,3660.1,0.0,19,-3121.8,-534.0
10m,long,close_confirm,ribbon,target2r_trail,atr_1.0,13026,2.8,28.8,5.09,1.7,-0.0318,-0.1291,-1682.2,0.64,-19.86,1686.6,5.0,19,-1524.2,-158.0
10m,long,close_confirm,ribbon,target2r_trail,atr_1.5,12780,2.74,29.2,7.61,1.9,-0.0248,-0.0898,-1147.9,0.631,-19.3,1150.5,5.0,19,-1040.3,-107.6
10m,long,break_stop,none,cbc_trail,candle_low,36495,7.84,27.3,5.32,1.9,-0.143,-0.2385,-8704.2,0.481,-53.79,8708.0,0.0,19,-6565.5,-2138.7
10m,long,break_stop,none,cbc_trail,atr_0.5,50139,10.77,13.9,2.67,0.8,-0.5283,-0.7156,-35881.8,0.226,-144.43,35880.8,0.0,19,-27594.3,-8287.5
10m,long,break_stop,none,cbc_trail,atr_1.0,36373,7.81,27.3,5.36,2.0,-0.1459,-0.2389,-8690.0,0.47,-56.21,8689.6,0.0,19,-6906.2,-1783.8
10m,long,break_stop,none,cbc_trail,atr_1.5,34352,7.38,30.0,8.03,2.2,-0.0592,-0.1214,-4169.6,0.564,-39.99,4171.1,0.0,19,-3507.2,-662.4
10m,long,break_stop,none,cbc_after_1r,candle_low,21108,4.53,38.3,5.99,5.3,-0.1201,-0.2049,-4325.6,0.684,-24.73,4326.8,0.0,19,-3120.2,-1205.4
10m,long,break_stop,none,cbc_after_1r,atr_0.5,45703,9.81,16.4,2.7,1.1,-0.5193,-0.7052,-32232.0,0.276,-121.84,32230.7,0.0,19,-24678.1,-7553.8
10m,long,break_stop,none,cbc_after_1r,atr_1.0,22335,4.8,37.3,5.63,4.9,-0.1353,-0.2237,-4996.6,0.664,-27.64,4998.1,0.0,19,-3823.2,-1173.3
10m,long,break_stop,none,cbc_after_1r,atr_1.5,14490,3.11,44.0,8.57,9.1,-0.0404,-0.0983,-1423.8,0.822,-10.82,1426.0,0.0,19,-1189.9,-233.9
10m,long,break_stop,none,close_against,candle_low,24368,5.23,31.2,5.77,4.0,-0.1132,-0.2009,-4895.1,0.652,-25.35,4895.2,0.0,19,-3592.6,-1302.5
10m,long,break_stop,none,close_against,atr_0.5,41187,8.84,12.8,2.71,1.5,-0.5074,-0.6924,-28519.8,0.309,-92.84,28518.6,0.0,19,-21940.6,-6579.2
10m,long,break_stop,none,close_against,atr_1.0,24521,5.27,30.8,5.59,4.0,-0.1254,-0.2146,-5263.2,0.636,-27.71,5262.1,0.0,19,-4108.8,-1154.4
10m,long,break_stop,none,close_against,atr_1.5,21530,4.62,36.3,8.39,4.9,-0.0338,-0.0932,-2006.1,0.762,-15.24,2005.3,5.0,19,-1716.3,-289.8
10m,long,break_stop,none,target2r_trail,candle_low,37890,8.14,27.4,5.39,1.8,-0.14,-0.2345,-8885.7,0.487,-57.46,8884.9,0.0,19,-6613.4,-2272.3
10m,long,break_stop,none,target2r_trail,atr_0.5,54135,11.62,14.4,2.71,0.6,-0.5268,-0.7116,-38522.2,0.224,-173.84,38522.1,0.0,19,-29194.8,-9327.5
10m,long,break_stop,none,target2r_trail,atr_1.0,37542,8.06,27.4,5.39,1.8,-0.1435,-0.2361,-8863.6,0.475,-59.38,8863.1,0.0,19,-6985.2,-1878.4
10m,long,break_stop,none,target2r_trail,atr_1.5,34725,7.46,30.0,8.04,2.2,-0.0593,-0.1214,-4216.4,0.564,-41.2,4216.7,0.0,19,-3533.7,-682.7
10m,long,break_stop,ribbon,cbc_trail,candle_low,20914,4.49,26.9,4.8,1.9,-0.1365,-0.2411,-5042.7,0.478,-41.01,5041.9,0.0,19,-3938.4,-1104.3
10m,long,break_stop,ribbon,cbc_trail,atr_0.5,27869,5.98,14.7,2.46,0.9,-0.4956,-0.6969,-19422.3,0.239,-103.13,19421.3,0.0,19,-15327.0,-4095.3
10m,long,break_stop,ribbon,cbc_trail,atr_1.0,20699,4.44,27.1,4.97,2.0,-0.1311,-0.2305,-4771.0,0.473,-41.87,4771.1,0.0,19,-3936.5,-834.5
10m,long,break_stop,ribbon,cbc_trail,atr_1.5,19821,4.26,29.1,7.45,2.2,-0.0598,-0.1261,-2499.8,0.543,-32.35,2499.9,0.0,19,-2154.4,-345.5
10m,long,break_stop,ribbon,cbc_after_1r,candle_low,12115,2.6,38.7,5.42,5.5,-0.1069,-0.2004,-2427.7,0.692,-18.19,2427.3,0.0,19,-1815.4,-612.4
10m,long,break_stop,ribbon,cbc_after_1r,atr_0.5,24960,5.36,17.7,2.48,1.3,-0.4824,-0.6831,-17049.8,0.297,-84.7,17049.7,0.0,19,-13432.5,-3617.3
10m,long,break_stop,ribbon,cbc_after_1r,atr_1.0,12160,2.61,38.7,5.22,5.4,-0.1027,-0.1977,-2404.6,0.698,-17.92,2404.7,0.0,19,-1964.9,-439.7
10m,long,break_stop,ribbon,cbc_after_1r,atr_1.5,8212,1.76,45.1,8.05,9.8,-0.0216,-0.0832,-682.9,0.845,-6.97,681.8,16.0,19,-634.4,-48.4
10m,long,break_stop,ribbon,close_against,candle_low,13771,2.96,30.9,5.26,4.2,-0.1029,-0.1993,-2744.7,0.657,-19.13,2743.8,0.0,19,-2112.4,-632.3
10m,long,break_stop,ribbon,close_against,atr_0.5,22462,4.82,13.7,2.5,1.7,-0.471,-0.6712,-15075.6,0.33,-66.1,15074.3,0.0,19,-11961.3,-3114.2
10m,long,break_stop,ribbon,close_against,atr_1.0,13605,2.92,31.2,5.2,4.3,-0.1007,-0.1962,-2669.6,0.659,-19.17,2668.7,0.0,19,-2225.4,-444.1
10m,long,break_stop,ribbon,close_against,atr_1.5,12243,2.63,35.8,7.82,5.0,-0.0248,-0.0882,-1080.0,0.769,-11.15,1079.2,11.0,19,-990.1,-89.9
10m,long,break_stop,ribbon,target2r_trail,candle_low,21716,4.66,27.0,4.85,1.8,-0.1333,-0.2368,-5143.1,0.484,-43.85,5142.4,0.0,19,-3956.7,-1186.5
10m,long,break_stop,ribbon,target2r_trail,atr_0.5,30112,6.47,15.4,2.5,0.7,-0.4961,-0.6943,-20906.0,0.235,-124.19,20906.9,0.0,19,-16163.7,-4742.3
10m,long,break_stop,ribbon,target2r_trail,atr_1.0,21336,4.58,27.3,4.99,1.9,-0.1291,-0.228,-4865.4,0.477,-44.12,4865.6,0.0,19,-3971.4,-894.0
10m,long,break_stop,ribbon,target2r_trail,atr_1.5,20031,4.3,29.1,7.46,2.1,-0.0597,-0.1259,-2522.2,0.544,-33.13,2523.7,0.0,19,-2162.8,-359.4
10m,short,close_confirm,none,cbc_trail,candle_low,19951,4.28,26.0,5.11,1.6,-0.0725,-0.181,-3612.1,0.601,-24.19,3621.3,5.0,19,-3126.7,-485.4
10m,short,close_confirm,none,cbc_trail,atr_0.5,20825,4.47,22.7,2.73,1.2,-0.0942,-0.2766,-5761.2,0.604,-25.17,5783.5,5.0,19,-5221.9,-539.3
10m,short,close_confirm,none,cbc_trail,atr_1.0,19729,4.24,26.8,5.45,1.7,-0.0586,-0.1502,-2963.1,0.622,-23.42,2986.9,11.0,19,-2689.4,-273.7
10m,short,close_confirm,none,cbc_trail,atr_1.5,19563,4.2,27.4,8.16,1.8,-0.0397,-0.1008,-1972.4,0.626,-22.86,1994.1,11.0,19,-1792.5,-179.9
10m,short,close_confirm,none,cbc_after_1r,candle_low,14820,3.18,37.2,5.26,4.6,-0.0659,-0.1729,-2562.7,0.738,-14.89,2615.9,11.0,19,-2289.0,-273.7
10m,short,close_confirm,none,cbc_after_1r,atr_0.5,19414,4.17,28.4,2.74,1.8,-0.0735,-0.2555,-4960.5,0.679,-19.92,5013.8,11.0,19,-4584.1,-376.4
10m,short,close_confirm,none,cbc_after_1r,atr_1.0,14256,3.06,39.4,5.57,5.0,-0.0467,-0.1364,-1944.1,0.786,-12.3,1999.5,16.0,19,-1800.7,-143.4
10m,short,close_confirm,none,cbc_after_1r,atr_1.5,10891,2.34,42.3,8.49,8.9,-0.0396,-0.0986,-1074.4,0.823,-9.07,1109.0,16.0,19,-988.3,-86.1
10m,short,close_confirm,none,close_against,candle_low,16091,3.46,29.6,5.16,3.4,-0.034,-0.1425,-2292.5,0.76,-11.72,2335.0,16.0,19,-2060.0,-232.5
10m,short,close_confirm,none,close_against,atr_0.5,18000,3.87,22.8,2.73,2.4,-0.0304,-0.2127,-3827.7,0.747,-12.89,3994.5,16.0,19,-3806.8,-20.9
10m,short,close_confirm,none,close_against,atr_1.0,15637,3.36,31.2,5.51,3.7,-0.0211,-0.1117,-1746.7,0.79,-10.43,1828.8,16.0,19,-1704.9,-41.8
10m,short,close_confirm,none,close_against,atr_1.5,15103,3.24,33.2,8.27,4.1,-0.0168,-0.0772,-1166.7,0.795,-10.02,1216.1,16.0,19,-1129.3,-37.4
10m,short,close_confirm,none,target2r_trail,candle_low,20654,4.44,26.6,5.18,1.4,-0.0578,-0.1651,-3411.0,0.634,-26.36,3419.1,5.0,19,-2892.6,-518.4
10m,short,close_confirm,none,target2r_trail,atr_0.5,22511,4.83,26.0,2.77,0.7,-0.0849,-0.2651,-5967.6,0.616,-33.24,5980.9,5.0,19,-5040.2,-927.5
10m,short,close_confirm,none,target2r_trail,atr_1.0,20289,4.36,26.8,5.48,1.5,-0.0544,-0.1455,-2951.7,0.637,-25.2,2964.5,11.0,19,-2603.0,-348.7
10m,short,close_confirm,none,target2r_trail,atr_1.5,19772,4.25,27.4,8.18,1.8,-0.0356,-0.0966,-1910.7,0.643,-22.88,1932.7,11.0,19,-1720.8,-190.0
10m,short,close_confirm,ribbon,cbc_trail,candle_low,10338,2.22,27.8,5.87,1.7,-0.0557,-0.1494,-1544.6,0.657,-14.95,1549.1,0.0,19,-1317.5,-227.1
10m,short,close_confirm,ribbon,cbc_trail,atr_0.5,10868,2.33,23.8,2.97,1.2,-0.0707,-0.2386,-2593.6,0.657,-15.4,2598.1,5.0,19,-2316.8,-276.8
10m,short,close_confirm,ribbon,cbc_trail,atr_1.0,10242,2.2,28.5,5.92,1.8,-0.0493,-0.1336,-1368.8,0.671,-14.5,1385.2,5.0,19,-1201.8,-167.0
10m,short,close_confirm,ribbon,cbc_trail,atr_1.5,10133,2.18,29.3,8.86,1.9,-0.0327,-0.089,-902.2,0.678,-13.97,918.1,5.0,19,-792.1,-110.1
10m,short,close_confirm,ribbon,cbc_after_1r,candle_low,7676,1.65,37.9,6.08,4.7,-0.0534,-0.1451,-1113.6,0.775,-9.3,1125.5,16.0,19,-976.7,-136.8
10m,short,close_confirm,ribbon,cbc_after_1r,atr_0.5,10268,2.2,28.3,2.97,1.6,-0.0589,-0.227,-2331.0,0.712,-12.87,2334.7,5.0,19,-2086.8,-244.2
10m,short,close_confirm,ribbon,cbc_after_1r,atr_1.0,7773,1.67,39.5,5.92,4.4,-0.0413,-0.1257,-977.0,0.803,-8.35,1008.6,11.0,19,-851.6,-125.4
10m,short,close_confirm,ribbon,cbc_after_1r,atr_1.5,6044,1.3,43.0,8.99,8.1,-0.0285,-0.0843,-509.6,0.849,-5.65,520.5,16.0,19,-444.3,-65.3
10m,short,close_confirm,ribbon,close_against,candle_low,8386,1.8,30.8,5.99,3.4,-0.0288,-0.1219,-1022.2,0.786,-7.78,1035.5,16.0,19,-862.3,-159.8
10m,short,close_confirm,ribbon,close_against,atr_0.5,9491,2.04,23.0,2.97,2.3,-0.0279,-0.196,-1860.2,0.766,-8.93,1865.5,16.0,19,-1652.2,-208.1
10m,short,close_confirm,ribbon,close_against,atr_1.0,8268,1.78,31.7,5.94,3.5,-0.0285,-0.1126,-930.8,0.795,-7.7,949.0,16.0,19,-816.9,-113.9
10m,short,close_confirm,ribbon,close_against,atr_1.5,7926,1.7,34.2,8.91,4.0,-0.0204,-0.0765,-606.4,0.804,-7.16,610.6,11.0,19,-524.4,-81.9
10m,short,close_confirm,ribbon,target2r_trail,candle_low,10716,2.3,28.5,5.92,1.4,-0.0392,-0.1321,-1415.3,0.696,-15.03,1423.1,5.0,19,-1163.2,-252.1
10m,short,close_confirm,ribbon,target2r_trail,atr_0.5,11840,2.54,27.9,2.99,0.6,-0.0508,-0.2167,-2566.0,0.683,-19.04,2571.7,0.0,19,-2159.4,-406.6
10m,short,close_confirm,ribbon,target2r_trail,atr_1.0,10556,2.27,28.6,5.93,1.5,-0.0406,-0.1246,-1315.0,0.696,-14.76,1334.0,5.0,19,-1121.7,-193.3
10m,short,close_confirm,ribbon,target2r_trail,atr_1.5,10248,2.2,29.4,8.87,1.8,-0.0263,-0.0825,-845.4,0.702,-13.28,871.3,5.0,19,-736.6,-108.8
10m,short,break_stop,none,cbc_trail,candle_low,35931,7.72,24.6,5.07,1.8,-0.1617,-0.2608,-9369.5,0.48,-51.14,9377.9,0.0,19,-6794.9,-2574.7
10m,short,break_stop,none,cbc_trail,atr_0.5,49220,10.57,12.0,2.67,0.7,-0.5544,-0.7408,-36462.7,0.222,-136.8,36461.5,0.0,19,-27442.3,-9020.4
10m,short,break_stop,none,cbc_trail,atr_1.0,35592,7.64,24.9,5.36,1.9,-0.1522,-0.2454,-8735.1,0.478,-51.86,8741.9,0.0,19,-6968.6,-1766.5
10m,short,break_stop,none,cbc_trail,atr_1.5,33802,7.26,27.2,8.05,2.1,-0.066,-0.128,-4328.2,0.565,-37.82,4334.0,0.0,19,-3597.4,-730.8
10m,short,break_stop,none,cbc_after_1r,candle_low,22345,4.8,34.5,5.43,4.7,-0.1624,-0.2549,-5695.0,0.633,-29.18,5712.5,0.0,19,-4073.0,-1621.9
10m,short,break_stop,none,cbc_after_1r,atr_0.5,45446,9.76,14.2,2.68,1.0,-0.5483,-0.7346,-33385.1,0.265,-118.76,33386.1,0.0,19,-25055.5,-8329.6
10m,short,break_stop,none,cbc_after_1r,atr_1.0,22259,4.78,34.3,5.53,4.7,-0.1682,-0.2588,-5760.2,0.63,-30.02,5774.8,0.0,19,-4505.6,-1254.5
10m,short,break_stop,none,cbc_after_1r,atr_1.5,14438,3.1,40.1,8.42,9.0,-0.0858,-0.1451,-2094.4,0.753,-15.24,2108.7,0.0,19,-1723.6,-370.8
10m,short,break_stop,none,close_against,candle_low,25526,5.48,26.4,5.17,3.6,-0.1564,-0.2534,-6468.6,0.603,-29.33,6492.1,0.0,19,-4562.9,-1905.6
10m,short,break_stop,none,close_against,atr_0.5,41707,8.96,11.1,2.65,1.3,-0.5378,-0.7258,-30271.1,0.291,-92.84,30273.3,0.0,19,-22885.1,-7386.0
10m,short,break_stop,none,close_against,atr_1.0,24925,5.35,27.0,5.45,3.7,-0.149,-0.2406,-5996.3,0.604,-29.49,6009.9,0.0,19,-4715.1,-1281.3
10m,short,break_stop,none,close_against,atr_1.5,22270,4.78,31.2,8.25,4.4,-0.0583,-0.1188,-2646.1,0.707,-18.8,2658.9,0.0,19,-2170.3,-475.8
10m,short,break_stop,none,target2r_trail,candle_low,37872,8.13,24.8,5.25,1.6,-0.1595,-0.2564,-9710.8,0.484,-58.63,9717.3,0.0,19,-6880.1,-2830.7
10m,short,break_stop,none,target2r_trail,atr_0.5,53423,11.47,12.6,2.72,0.5,-0.5701,-0.7533,-40246.1,0.207,-185.26,40244.8,0.0,19,-29621.0,-10625.1
10m,short,break_stop,none,target2r_trail,atr_1.0,37413,8.03,24.9,5.4,1.7,-0.1557,-0.2482,-9287.2,0.478,-58.62,9293.0,0.0,19,-7242.0,-2045.1
10m,short,break_stop,none,target2r_trail,atr_1.5,34513,7.41,27.1,8.08,2.0,-0.0671,-0.1289,-4449.2,0.565,-40.2,4455.6,0.0,19,-3637.4,-811.8
10m,short,break_stop,ribbon,cbc_trail,candle_low,16510,3.55,27.3,5.96,1.9,-0.1241,-0.21,-3467.2,0.556,-28.29,3469.9,0.0,19,-2548.0,-919.2
10m,short,break_stop,ribbon,cbc_trail,atr_0.5,23121,4.96,12.9,2.94,0.7,-0.5311,-0.7002,-16189.1,0.253,-85.46,16187.8,0.0,19,-12054.4,-4134.7
10m,short,break_stop,ribbon,cbc_trail,atr_1.0,16567,3.56,27.1,5.87,1.9,-0.1366,-0.2217,-3672.4,0.534,-30.65,3675.9,0.0,19,-2920.6,-751.8
10m,short,break_stop,ribbon,cbc_trail,atr_1.5,15643,3.36,29.8,8.81,2.1,-0.0523,-0.109,-1705.1,0.634,-20.93,1710.6,5.0,19,-1444.9,-260.1
10m,short,break_stop,ribbon,cbc_after_1r,candle_low,10436,2.24,36.7,6.37,4.8,-0.1234,-0.2041,-2130.4,0.693,-16.27,2142.0,0.0,19,-1569.1,-561.3
10m,short,break_stop,ribbon,cbc_after_1r,atr_0.5,21740,4.67,14.7,2.94,0.9,-0.5241,-0.6933,-15071.4,0.292,-75.69,15071.5,0.0,19,-11170.0,-3901.4
10m,short,break_stop,ribbon,cbc_after_1r,atr_1.0,11277,2.42,35.0,5.97,4.2,-0.1507,-0.2346,-2645.4,0.66,-19.23,2651.4,0.0,19,-2040.6,-604.8
10m,short,break_stop,ribbon,cbc_after_1r,atr_1.5,7692,1.65,41.3,8.95,8.1,-0.073,-0.129,-992.1,0.78,-9.8,1001.5,5.0,19,-807.0,-185.2
10m,short,break_stop,ribbon,close_against,candle_low,11819,2.54,29.1,6.12,3.6,-0.1253,-0.2096,-2477.0,0.653,-17.41,2487.1,0.0,19,-1719.0,-758.0
10m,short,break_stop,ribbon,close_against,atr_0.5,19837,4.26,11.7,2.92,1.2,-0.5188,-0.6897,-13682.1,0.315,-61.58,13681.1,0.0,19,-10133.7,-3548.4
10m,short,break_stop,ribbon,close_against,atr_1.0,11916,2.56,28.7,5.91,3.5,-0.1387,-0.2233,-2661.4,0.638,-18.74,2668.1,0.0,19,-2041.8,-619.7
10m,short,break_stop,ribbon,close_against,atr_1.5,10570,2.27,33.5,8.9,4.3,-0.0478,-0.1039,-1098.7,0.749,-11.11,1108.9,0.0,19,-887.8,-210.9
10m,short,break_stop,ribbon,target2r_trail,candle_low,17463,3.75,27.3,6.12,1.7,-0.1203,-0.2045,-3571.2,0.564,-31.09,3574.1,0.0,19,-2563.5,-1007.7
10m,short,break_stop,ribbon,target2r_trail,atr_0.5,25402,5.45,13.5,2.98,0.5,-0.5527,-0.7192,-18270.3,0.232,-118.02,18269.0,0.0,19,-13360.5,-4909.8
10m,short,break_stop,ribbon,target2r_trail,atr_1.0,17532,3.76,26.9,5.89,1.6,-0.1388,-0.2234,-3916.8,0.536,-34.19,3921.3,0.0,19,-3031.8,-885.0
10m,short,break_stop,ribbon,target2r_trail,atr_1.5,15982,3.43,29.8,8.82,2.0,-0.0511,-0.1077,-1720.5,0.641,-21.5,1727.0,0.0,19,-1443.9,-276.5
