entry,stop,exit,n_signals,n_trades,fill_pct,trades_per_wk,win_rate,avg_risk_pts,avg_net_pts,avg_r_net,total_r_net,pf_net,t_stat,max_dd_r,ann_usd_1lot,r2021,r2022,r2023,r2024,r2025,r2026
ema9_reclaim,atr_1.0,be_1r_closeagainst,839,779,92.8,2.97,39.0,10.18,0.571,0.0759,59.1,1.173,1.71,17.1,4406,42.9,-5.4,19.4,6.6,-4.3,-0.1
ema9_reclaim,atr_1.5,trail_0.5r,796,742,93.2,2.83,58.2,15.1,0.391,0.0344,25.5,1.085,0.98,19.5,2871,26.4,0.0,6.1,-2.0,-7.1,2.1
ema9_reclaim,atr_1.5,trail_1r,774,721,93.2,2.75,50.3,15.09,1.38,0.0893,64.4,1.183,2.09,15.6,9850,29.2,9.7,16.0,10.0,-2.3,1.7
ema9_reclaim,atr_1.5,trail_1.5r,769,717,93.2,2.73,44.8,15.12,1.671,0.1049,75.2,1.196,2.19,15.5,11862,27.1,13.4,24.3,12.3,2.6,-4.4
ema9_reclaim,atr_1.5,trail_1r_tgt2r,780,727,93.2,2.77,50.2,15.07,1.272,0.0769,55.9,1.157,1.86,15.8,9156,24.7,8.2,13.5,10.4,-2.6,1.7
ema9_reclaim,atr_1.5,trail_1r_tgt3r,774,721,93.2,2.75,50.3,15.09,1.364,0.0888,64.0,1.182,2.09,15.6,9734,29.6,8.9,14.6,11.6,-2.4,1.7
ema9_reclaim,atr_1.5,be_1r_closeagainst,823,766,93.1,2.92,41.9,15.31,0.566,0.0583,44.7,1.185,1.78,13.2,4289,27.4,-5.6,22.6,4.1,-3.5,-0.4
ema9_reclaim,atr_2.0,trail_0.5r,767,716,93.4,2.73,60.2,20.08,0.309,0.0212,15.2,1.056,0.66,15.1,2190,16.7,-3.8,8.4,-3.1,-4.4,1.4
ema9_reclaim,atr_2.0,trail_1r,752,702,93.4,2.67,51.0,20.09,1.086,0.0609,42.8,1.134,1.54,12.9,7550,21.1,2.7,17.0,10.0,-5.4,-2.5
ema9_reclaim,atr_2.0,trail_1.5r,750,700,93.3,2.67,48.4,20.09,1.498,0.0774,54.2,1.162,1.8,12.2,10385,22.2,5.1,19.6,9.7,-0.8,-1.6
ema9_reclaim,atr_2.0,trail_1r_tgt2r,752,702,93.4,2.67,51.0,20.09,1.039,0.0564,39.6,1.124,1.44,12.2,7222,20.6,1.9,14.8,10.4,-5.5,-2.5
ema9_reclaim,atr_2.0,trail_1r_tgt3r,752,702,93.4,2.67,51.0,20.09,1.097,0.0616,43.2,1.135,1.55,12.9,7624,21.1,2.4,16.1,10.9,-4.7,-2.5
ema9_reclaim,atr_2.0,be_1r_closeagainst,820,763,93.0,2.91,42.7,20.4,0.571,0.0402,30.7,1.165,1.59,10.3,4314,19.5,-3.5,16.8,2.0,-3.7,-0.5
limit_2pt,candle_low,trail_0.5r,1111,778,70.0,2.96,40.7,8.1,-0.32,0.004,3.1,1.007,0.06,41.3,-2464,19.4,-4.9,-6.5,4.9,-12.1,2.4
limit_2pt,candle_low,trail_1r,1091,764,70.0,2.91,39.0,8.1,0.04,0.0398,30.4,1.062,0.6,34.6,304,32.5,1.7,-0.2,9.6,-15.5,2.4
limit_2pt,candle_low,trail_1.5r,1078,755,70.0,2.88,35.9,8.13,0.161,0.0696,52.5,1.101,0.98,41.6,1201,41.9,1.6,-4.2,2.1,8.1,3.1
limit_2pt,candle_low,trail_1r_tgt2r,1147,806,70.3,3.07,42.2,7.97,-0.079,0.0036,2.9,1.006,0.08,36.1,-630,32.1,-7.8,2.9,-11.7,-15.7,3.1
limit_2pt,candle_low,trail_1r_tgt3r,1124,783,69.7,2.98,40.0,8.02,-0.066,0.0083,6.5,1.013,0.16,32.0,-514,26.5,-4.1,-1.7,-5.3,-11.3,2.4
limit_2pt,candle_low,be_1r_closeagainst,1091,761,69.8,2.9,31.7,8.23,0.511,0.1472,112.0,1.264,1.83,21.0,3852,50.6,-9.9,26.4,21.2,21.6,2.1
limit_2pt,atr_1.0,trail_0.5r,1068,762,71.3,2.9,48.4,10.34,-0.409,-0.0261,-19.9,0.945,-0.65,44.8,-3088,18.3,-4.9,-10.8,-5.7,-17.3,0.7
limit_2pt,atr_1.0,trail_1r,1042,742,71.2,2.83,44.2,10.33,0.053,0.0059,4.4,1.01,0.13,51.7,386,27.7,4.8,0.3,-13.7,-15.5,0.8
limit_2pt,atr_1.0,trail_1.5r,1030,731,71.0,2.78,40.2,10.34,0.904,0.0897,65.6,1.145,1.66,28.6,6544,40.7,11.6,18.8,0.8,-6.9,0.5
limit_2pt,atr_1.0,trail_1r_tgt2r,1067,758,71.0,2.89,44.2,10.29,-0.068,-0.0169,-12.8,0.971,-0.39,59.3,-507,24.2,4.6,-7.1,-19.4,-15.9,0.8
limit_2pt,atr_1.0,trail_1r_tgt3r,1049,748,71.3,2.85,44.1,10.31,0.084,0.0058,4.3,1.01,0.12,50.0,622,25.1,7.5,-0.0,-15.9,-13.2,0.8
limit_2pt,atr_1.0,be_1r_closeagainst,1051,749,71.3,2.85,39.5,10.4,0.596,0.0798,59.8,1.181,1.73,19.3,4419,48.8,-11.1,15.3,10.6,-5.1,1.3
limit_2pt,atr_1.5,trail_0.5r,1018,727,71.4,2.77,57.2,15.33,0.05,0.0035,2.5,1.008,0.1,27.3,361,21.6,-2.6,-9.3,6.2,-14.1,0.8
limit_2pt,atr_1.5,trail_1r,988,700,70.9,2.67,50.1,15.33,1.12,0.0813,56.9,1.163,1.86,14.0,7763,32.9,1.1,4.8,15.5,1.5,1.2
limit_2pt,atr_1.5,trail_1.5r,977,694,71.0,2.64,45.2,15.36,1.471,0.1009,70.0,1.186,2.06,13.1,10107,32.8,3.9,11.9,24.6,-1.1,-2.1
limit_2pt,atr_1.5,trail_1r_tgt2r,995,706,71.0,2.69,50.1,15.3,1.09,0.0738,52.1,1.148,1.74,14.2,7620,28.7,0.9,5.7,13.5,2.2,1.2
limit_2pt,atr_1.5,trail_1r_tgt3r,988,700,70.9,2.67,50.1,15.33,1.1,0.0818,57.2,1.164,1.88,13.6,7626,33.5,-0.5,5.4,15.9,1.7,1.2
limit_2pt,atr_1.5,be_1r_closeagainst,1026,735,71.6,2.8,42.6,15.59,0.706,0.066,48.5,1.206,1.93,17.7,5136,35.1,-10.8,13.1,11.7,-0.9,0.3
limit_2pt,atr_2.0,trail_0.5r,980,697,71.1,2.65,59.1,20.42,-0.189,-0.0037,-2.6,0.991,-0.11,25.6,-1303,18.8,-4.9,-8.0,7.6,-16.5,0.4
limit_2pt,atr_2.0,trail_1r,957,679,71.0,2.59,51.1,20.44,0.935,0.0529,35.9,1.115,1.33,14.9,6284,24.2,4.3,5.1,16.6,-14.0,-0.3
limit_2pt,atr_2.0,trail_1.5r,954,677,71.0,2.58,48.2,20.46,1.361,0.0778,52.6,1.16,1.76,15.9,9120,27.1,0.7,14.2,26.3,-13.4,-2.3
limit_2pt,atr_2.0,trail_1r_tgt2r,957,679,71.0,2.59,51.1,20.44,0.885,0.0507,34.4,1.11,1.28,15.3,5951,22.9,3.7,4.3,18.2,-14.3,-0.3
limit_2pt,atr_2.0,trail_1r_tgt3r,957,679,71.0,2.59,51.1,20.44,0.946,0.0535,36.3,1.116,1.34,14.2,6359,24.5,3.9,4.8,16.7,-13.3,-0.3
limit_2pt,atr_2.0,be_1r_closeagainst,1021,730,71.5,2.78,43.7,20.81,0.748,0.0498,36.4,1.204,1.89,11.1,5409,25.1,-5.8,10.2,9.1,-2.2,-0.0
limit_0.30atr,candle_low,trail_0.5r,1187,760,64.0,2.89,40.5,6.74,-0.169,0.046,34.9,1.079,0.67,41.4,-1271,23.9,-16.5,-2.2,20.8,7.6,1.4
limit_0.30atr,candle_low,trail_1r,1180,754,63.9,2.87,37.5,6.73,-0.182,0.0272,20.5,1.041,0.38,45.5,-1357,19.5,-10.5,-1.9,12.8,-0.9,1.5
limit_0.30atr,candle_low,trail_1.5r,1166,745,63.9,2.84,34.4,6.72,0.139,0.0498,37.1,1.07,0.66,41.9,1026,20.3,-5.7,5.8,9.4,6.1,1.3
limit_0.30atr,candle_low,trail_1r_tgt2r,1248,794,63.6,3.02,42.4,6.64,-0.145,0.023,18.3,1.037,0.48,28.4,-1137,18.5,-4.0,4.2,-1.8,-4.2,5.6
limit_0.30atr,candle_low,trail_1r_tgt3r,1219,776,63.7,2.96,38.5,6.66,-0.2,-0.0225,-17.4,0.966,-0.43,43.0,-1540,7.9,-6.7,-0.4,-17.5,-2.3,1.5
limit_0.30atr,candle_low,be_1r_closeagainst,1178,748,63.5,2.85,28.3,6.77,0.328,0.1007,75.3,1.171,1.28,24.1,2431,14.2,-14.5,34.6,22.5,18.2,0.3
limit_0.30atr,atr_1.0,trail_0.5r,1131,743,65.7,2.83,51.7,9.98,-0.044,-0.0006,-0.4,0.999,-0.01,28.5,-320,18.8,-5.7,-1.5,-2.1,-11.0,1.2
limit_0.30atr,atr_1.0,trail_1r,1108,726,65.5,2.76,44.6,9.98,0.288,0.018,13.1,1.032,0.38,38.9,2068,21.1,4.0,5.6,-7.0,-11.7,1.3
limit_0.30atr,atr_1.0,trail_1.5r,1093,717,65.6,2.73,39.7,9.96,0.739,0.0688,49.4,1.111,1.29,30.7,5249,21.3,6.5,26.8,-1.8,-4.8,1.3
limit_0.30atr,atr_1.0,trail_1r_tgt2r,1136,742,65.3,2.83,44.6,9.94,0.123,-0.0077,-5.7,0.986,-0.18,46.5,907,18.9,3.5,-3.4,-13.9,-10.9,0.1
limit_0.30atr,atr_1.0,trail_1r_tgt3r,1113,730,65.6,2.78,44.5,9.97,0.294,0.015,10.9,1.026,0.32,37.1,2124,18.0,5.2,4.8,-8.9,-9.4,1.3
limit_0.30atr,atr_1.0,be_1r_closeagainst,1122,736,65.6,2.8,38.2,10.07,0.521,0.0764,56.2,1.179,1.68,21.7,3793,38.0,-12.6,20.5,13.7,-4.6,1.3
limit_0.30atr,atr_1.5,trail_0.5r,1082,708,65.4,2.7,56.5,14.89,0.04,-0.0044,-3.1,0.989,-0.12,37.9,283,23.7,-5.5,-6.5,-7.8,-9.0,1.9
limit_0.30atr,atr_1.5,trail_1r,1054,688,65.3,2.62,49.1,14.86,0.847,0.0518,35.6,1.102,1.2,23.3,5770,24.8,-2.5,10.3,-1.8,2.7,2.1
limit_0.30atr,atr_1.5,trail_1.5r,1046,682,65.2,2.6,44.3,14.89,1.465,0.083,56.6,1.151,1.69,17.4,9893,24.4,10.0,13.6,10.8,-1.1,-1.1
limit_0.30atr,atr_1.5,trail_1r_tgt2r,1059,692,65.3,2.64,49.0,14.84,0.866,0.0506,35.0,1.099,1.18,23.0,5932,21.9,-1.5,10.9,-2.0,3.6,2.1
limit_0.30atr,atr_1.5,trail_1r_tgt3r,1054,688,65.3,2.62,49.1,14.86,0.876,0.0554,38.1,1.109,1.28,23.3,5967,25.5,-2.5,11.0,-0.6,2.6,2.1
limit_0.30atr,atr_1.5,be_1r_closeagainst,1096,720,65.7,2.74,42.4,15.15,0.671,0.064,46.1,1.206,1.89,14.3,4781,29.7,-8.6,18.3,6.9,-0.7,0.5
limit_0.30atr,atr_2.0,trail_0.5r,1048,685,65.4,2.61,59.4,19.84,0.301,0.0092,6.3,1.024,0.28,15.2,2044,12.4,-1.1,-1.8,7.2,-11.7,1.2
limit_0.30atr,atr_2.0,trail_1r,1025,670,65.4,2.55,50.6,19.83,1.342,0.0631,42.3,1.138,1.55,11.9,8904,14.5,9.3,13.0,13.5,-8.7,0.7
limit_0.30atr,atr_2.0,trail_1.5r,1024,669,65.3,2.55,47.7,19.84,1.863,0.0888,59.4,1.184,1.98,10.8,12337,15.6,8.6,16.5,24.8,-4.8,-1.3
limit_0.30atr,atr_2.0,trail_1r_tgt2r,1025,670,65.4,2.55,50.6,19.83,1.26,0.0578,38.7,1.126,1.45,11.9,8360,13.5,8.0,10.0,15.4,-9.0,0.7
limit_0.30atr,atr_2.0,trail_1r_tgt3r,1025,670,65.4,2.55,50.6,19.83,1.343,0.0625,41.9,1.137,1.54,11.9,8907,14.7,8.8,12.0,13.6,-8.0,0.7
limit_0.30atr,atr_2.0,be_1r_closeagainst,1089,716,65.7,2.73,43.9,20.21,0.848,0.0545,39.0,1.232,2.08,10.9,6008,22.3,-6.5,14.0,10.4,-1.3,0.1
