date,up_close_hhmm,hit_0786,hit_100,back_to_0382,back_to_pdc,back_to_trig,max_ext_atr,give_back_atr,close_atr,close_ge_0618,label
2008-01-10,14:30,True,False,False,False,False,0.8356654310346507,0.21063403587339724,0.4546756804126408,False,continuation
2008-01-31,14:30,True,False,False,False,False,0.9668935805827532,0.1444459484566098,0.599727014591585,False,continuation
2008-04-24,12:30,True,False,True,False,False,0.8289372992500794,0.24942810359370607,0.41470162806776895,False,continuation
2008-05-06,15:00,False,False,False,False,False,0.7197060759865801,0.09611086393302384,0.5827165672050512,False,sideways
2008-08-14,12:30,False,False,True,False,True,0.6278523330419429,0.48126185183749864,0.31392616652097644,False,mean_reversion
2008-09-16,15:00,False,False,False,False,False,0.7576960640383333,0.23495673219053884,0.7576960640383333,True,sideways
2009-02-05,12:00,False,False,True,False,False,0.6699456769194458,0.340074937522497,0.4629646435480454,False,mean_reversion
2009-08-19,13:00,False,False,True,False,True,0.634868580619287,0.3912612212073957,0.4228199198893018,False,mean_reversion
2010-02-11,13:00,False,False,False,False,False,0.7057608379012206,0.14571503962446805,0.6044299367415962,False,sideways
2010-03-22,13:00,False,False,False,False,False,0.6993458402473074,0.23388959531870882,0.529807454732819,False,sideways
2010-05-21,11:30,False,False,True,True,True,0.6985564655988996,0.6661503648878095,0.6045127841774007,False,mean_reversion
2010-08-27,11:00,True,True,False,False,False,1.0541035363456448,0.11526468361058931,1.0148456503338794,True,continuation
2011-01-05,12:30,False,False,False,False,False,0.7794669856750547,0.13961918510387783,0.6577736204821718,True,sideways
2011-02-11,11:00,True,False,True,False,True,0.7993562984188225,0.49970960606357323,0.6568701420863279,True,continuation
2011-08-05,13:30,False,False,True,True,True,0.6619809601654408,1.118826213978561,-0.018252333131656508,False,mean_reversion
2011-08-26,12:00,False,False,True,False,False,0.6587282176545162,0.3375305630660447,0.5270425675860559,False,mean_reversion
2012-07-17,14:30,False,False,False,False,False,0.6862803883251488,0.2069344431704203,0.5656543132441084,False,sideways
2012-11-28,15:30,False,False,False,False,False,0.7139825572064377,0.0559820679861265,0.675677424409968,True,sideways
2013-01-24,11:00,False,False,True,True,True,0.6371623864955861,0.9152285663545057,0.04355935886229779,False,mean_reversion
2013-09-06,13:30,False,False,True,True,True,0.6765645929498386,0.661716481390595,-0.0027756496120993775,False,mean_reversion
2013-10-17,15:30,False,False,False,False,False,0.6916763247397075,0.007629036690663609,0.6591541801675669,True,sideways
2014-05-07,15:30,False,False,False,False,False,0.6630973621005404,0.05338244415201372,0.6290770653951157,True,sideways
2014-06-05,11:30,True,True,False,False,False,1.092885402513298,-0.03252702530554613,0.9651455502714735,True,continuation
2014-09-05,15:30,False,False,False,False,False,0.7449615576952212,0.014429105295930528,0.7449615576952212,True,sideways
2014-12-16,11:00,True,True,True,True,True,1.3531145856229705,1.4653098303956085,-0.7951905965399955,False,continuation
2015-02-02,15:30,True,False,False,False,False,0.9348368402161734,-0.010832880145414697,0.9025890002087138,True,continuation
2015-04-06,11:00,True,False,False,False,False,0.9775356648789051,0.053060557310235616,0.6704078261132566,True,continuation
2016-03-29,14:00,True,False,False,False,False,0.8816811593610319,0.010733920461304176,0.8433471959105656,True,continuation
2016-09-12,11:00,True,True,False,False,False,2.2191372647271974,0.17467277523483038,1.9608944666622914,True,continuation
2016-11-08,12:00,True,False,True,False,True,0.7936025427509495,0.4132660541176755,0.40688286719543476,False,continuation
2016-11-09,11:30,True,True,False,False,False,1.556131407493249,0.0508833475638521,1.186206259542999,True,continuation
2017-08-08,11:30,True,False,True,True,True,0.8523492474231196,1.524262904639599,-0.5126076297253295,False,continuation
2017-08-18,12:30,False,False,True,True,True,0.6536676831895747,0.9199868243975592,-0.29370448533178284,False,mean_reversion
2018-02-06,09:30,True,True,True,True,True,1.6675341496887433,1.549066572254243,1.473575283141455,True,continuation
2018-07-17,15:00,False,False,False,False,False,0.6818022546589183,0.15120772031919216,0.4931818339537832,False,sideways
2018-08-02,13:30,False,False,False,False,False,0.7647758102326587,0.12216649886425907,0.6492507633697174,True,sideways
2018-09-11,11:30,True,False,False,False,False,0.808032906222992,0.10556327714515068,0.5738661250823419,False,continuation
2019-05-15,12:00,False,False,False,False,False,0.6959311566905929,0.22286479854979047,0.4840262845050389,False,sideways
2019-09-25,15:00,False,False,False,False,False,0.7656291549312435,0.033721420095532494,0.6096676604082135,False,sideways
2019-10-03,14:00,False,False,True,False,False,0.6817370443542916,0.2922038954701441,0.6817370443542916,True,mean_reversion
2019-12-13,10:00,False,False,True,True,True,0.6421998093905986,1.166896506112742,-0.001820552259078751,False,mean_reversion
2020-03-03,10:00,False,False,True,True,True,0.7261605112030631,2.3923995283430504,-1.380001745854826,False,mean_reversion
2020-09-24,13:00,False,False,True,True,True,0.6833856599797059,0.7324973580626578,0.15686138054584775,False,mean_reversion
