tf,side,entry,exit,stop,htf,tod,n_trades,win_rate,avg_r_gross,avg_r_net,total_r_net,pf_net,t_stat,pos_years_pct,r_2008_2019,r_2020_2026
3m,long,confirm,cbc_after_1r,atr_1.0,10m_ribbon,0930-1100,5164,43.0,-0.0281,-0.1635,-844.1,0.744,-9.79,5.0,-658.7,-185.4
3m,long,confirm,cbc_after_1r,atr_1.0,10m_ribbon,1100-1400,9068,40.2,-0.0635,-0.2591,-2349.8,0.628,-20.09,0.0,-1977.2,-372.6
3m,long,confirm,cbc_after_1r,atr_1.0,10m_ribbon,1400-1530,5510,37.3,-0.0727,-0.2891,-1592.9,0.605,-16.29,5.0,-1414.1,-178.8
3m,long,confirm,cbc_after_1r,atr_1.5,none,all,21437,43.9,-0.0301,-0.1459,-3127.4,0.761,-18.56,0.0,-2671.0,-456.4
3m,long,confirm,cbc_after_1r,atr_1.5,none,0930-1100,5369,45.3,-0.0243,-0.112,-601.2,0.811,-7.37,11.0,-472.1,-129.2
3m,long,confirm,cbc_after_1r,atr_1.5,none,1100-1400,8871,44.8,-0.0195,-0.1405,-1246.6,0.771,-11.46,5.0,-1122.8,-123.7
3m,long,confirm,cbc_after_1r,atr_1.5,none,1400-1530,5490,41.6,-0.063,-0.1954,-1072.9,0.699,-12.12,5.0,-879.2,-193.7
3m,long,confirm,cbc_after_1r,atr_1.5,10m_ribbon,all,15186,44.1,-0.0248,-0.1458,-2214.7,0.762,-15.57,5.0,-1933.5,-281.2
3m,long,confirm,cbc_after_1r,atr_1.5,10m_ribbon,0930-1100,4096,46.0,-0.0059,-0.0959,-392.8,0.836,-5.49,16.0,-328.3,-64.5
3m,long,confirm,cbc_after_1r,atr_1.5,10m_ribbon,1100-1400,5977,44.7,-0.0229,-0.1509,-902.1,0.756,-10.17,5.0,-768.8,-133.4
3m,long,confirm,cbc_after_1r,atr_1.5,10m_ribbon,1400-1530,3927,41.5,-0.0579,-0.1976,-776.1,0.698,-10.21,5.0,-691.2,-85.0
3m,long,confirm,close_against,candle_low,none,all,31663,28.3,-0.0495,-0.2264,-7168.5,0.639,-29.23,5.0,-5815.8,-1352.7
3m,long,confirm,close_against,candle_low,none,0930-1100,7243,30.5,-0.0287,-0.1734,-1256.1,0.706,-11.16,5.0,-1044.0,-212.1
3m,long,confirm,close_against,candle_low,none,1100-1400,14680,27.9,-0.0573,-0.249,-3654.9,0.609,-22.21,0.0,-2970.6,-684.4
3m,long,confirm,close_against,candle_low,none,1400-1530,7561,26.5,-0.0691,-0.2541,-1921.1,0.609,-15.63,11.0,-1571.3,-349.8
3m,long,confirm,close_against,candle_low,10m_ribbon,all,22401,28.1,-0.0453,-0.2299,-5150.6,0.64,-24.52,5.0,-4201.9,-948.6
3m,long,confirm,close_against,candle_low,10m_ribbon,0930-1100,5576,30.9,-0.0151,-0.164,-914.2,0.723,-9.07,11.0,-769.8,-144.5
3m,long,confirm,close_against,candle_low,10m_ribbon,1100-1400,9902,27.3,-0.0613,-0.2636,-2610.4,0.598,-18.76,5.0,-2072.4,-538.0
3m,long,confirm,close_against,candle_low,10m_ribbon,1400-1530,5421,26.1,-0.0551,-0.2496,-1352.9,0.623,-12.74,5.0,-1146.8,-206.1
3m,long,confirm,close_against,atr_1.0,none,all,31035,29.6,-0.037,-0.2139,-6638.7,0.653,-28.93,5.0,-5691.4,-947.3
3m,long,confirm,close_against,atr_1.0,none,0930-1100,7051,32.4,-0.0146,-0.1456,-1026.9,0.733,-10.22,5.0,-871.6,-155.3
3m,long,confirm,close_against,atr_1.0,none,1100-1400,14231,29.8,-0.039,-0.2234,-3178.7,0.63,-21.24,0.0,-2702.9,-475.8
3m,long,confirm,close_against,atr_1.0,none,1400-1530,7565,26.6,-0.069,-0.2723,-2059.7,0.605,-16.72,11.0,-1814.8,-244.9
3m,long,confirm,close_against,atr_1.0,10m_ribbon,all,21934,29.4,-0.0324,-0.2172,-4764.7,0.653,-24.21,5.0,-4105.7,-658.9
3m,long,confirm,close_against,atr_1.0,10m_ribbon,0930-1100,5419,32.9,-0.0009,-0.1353,-733.3,0.75,-8.22,11.0,-625.2,-108.2
3m,long,confirm,close_against,atr_1.0,10m_ribbon,1100-1400,9605,29.0,-0.0445,-0.2392,-2297.5,0.615,-18.3,5.0,-1916.9,-380.6
3m,long,confirm,close_against,atr_1.0,10m_ribbon,1400-1530,5407,26.3,-0.0533,-0.2677,-1447.3,0.618,-13.53,5.0,-1309.7,-137.6
3m,long,confirm,close_against,atr_1.5,none,all,29460,31.9,-0.027,-0.1442,-4249.5,0.668,-26.39,5.0,-3630.0,-619.5
3m,long,confirm,close_against,atr_1.5,none,0930-1100,6772,34.5,-0.0119,-0.0992,-671.6,0.742,-9.56,11.0,-567.3,-104.4
3m,long,confirm,close_against,atr_1.5,none,1100-1400,13549,31.6,-0.0283,-0.1506,-2041.1,0.643,-19.47,0.0,-1743.6,-297.4
3m,long,confirm,close_against,atr_1.5,none,1400-1530,7102,29.3,-0.0515,-0.1861,-1321.7,0.623,-15.23,11.0,-1135.4,-186.4
3m,long,confirm,close_against,atr_1.5,10m_ribbon,all,20786,31.7,-0.0237,-0.1462,-3039.2,0.669,-22.09,5.0,-2609.2,-430.0
3m,long,confirm,close_against,atr_1.5,10m_ribbon,0930-1100,5206,34.9,-0.0028,-0.0923,-480.4,0.758,-7.71,11.0,-408.4,-72.1
3m,long,confirm,close_against,atr_1.5,10m_ribbon,1100-1400,9108,30.9,-0.0313,-0.1604,-1460.5,0.63,-16.78,5.0,-1210.6,-249.8
3m,long,confirm,close_against,atr_1.5,10m_ribbon,1400-1530,5071,29.0,-0.0444,-0.1866,-946.2,0.629,-12.57,5.0,-838.4,-107.8
3m,long,confirm,be_after_1r,candle_low,none,all,32188,25.8,-0.0486,-0.226,-7275.1,0.62,-30.66,5.0,-5932.7,-1342.5
3m,long,confirm,be_after_1r,candle_low,none,0930-1100,7306,28.4,-0.027,-0.172,-1256.4,0.696,-11.46,5.0,-1059.9,-196.5
3m,long,confirm,be_after_1r,candle_low,none,1100-1400,14940,25.2,-0.0587,-0.2509,-3748.1,0.585,-23.69,0.0,-3058.3,-689.8
3m,long,confirm,be_after_1r,candle_low,none,1400-1530,7726,23.8,-0.0651,-0.2508,-1937.5,0.59,-16.29,11.0,-1587.3,-350.2
3m,long,confirm,be_after_1r,candle_low,10m_ribbon,all,22766,25.6,-0.0419,-0.2271,-5169.1,0.624,-25.49,5.0,-4259.4,-909.7
3m,long,confirm,be_after_1r,candle_low,10m_ribbon,0930-1100,5623,28.8,-0.0114,-0.1605,-902.3,0.716,-9.17,11.0,-782.8,-119.5
3m,long,confirm,be_after_1r,candle_low,10m_ribbon,1100-1400,10080,24.6,-0.0624,-0.265,-2671.7,0.572,-20.09,5.0,-2136.1,-535.6
3m,long,confirm,be_after_1r,candle_low,10m_ribbon,1400-1530,5536,23.5,-0.0458,-0.2408,-1333.1,0.611,-12.97,5.0,-1135.0,-198.1
3m,long,confirm,be_after_1r,atr_1.0,none,all,31442,27.2,-0.0365,-0.2146,-6748.5,0.639,-29.84,5.0,-5805.5,-943.0
3m,long,confirm,be_after_1r,atr_1.0,none,0930-1100,7086,30.8,-0.0138,-0.1449,-1027.1,0.728,-10.34,11.0,-873.6,-153.4
3m,long,confirm,be_after_1r,atr_1.0,none,1100-1400,14376,27.5,-0.0385,-0.224,-3220.1,0.618,-21.79,0.0,-2751.9,-468.2
3m,long,confirm,be_after_1r,atr_1.0,none,1400-1530,7743,23.5,-0.0679,-0.2731,-2115.0,0.585,-17.5,11.0,-1871.5,-243.5
3m,long,confirm,be_after_1r,atr_1.0,10m_ribbon,all,22214,27.0,-0.0291,-0.2152,-4780.6,0.643,-24.66,5.0,-4136.9,-643.7
3m,long,confirm,be_after_1r,atr_1.0,10m_ribbon,0930-1100,5445,31.4,0.0004,-0.134,-729.8,0.746,-8.29,11.0,-625.4,-104.4
3m,long,confirm,be_after_1r,atr_1.0,10m_ribbon,1100-1400,9705,26.7,-0.0423,-0.2382,-2312.1,0.604,-18.68,5.0,-1944.4,-367.7
3m,long,confirm,be_after_1r,atr_1.0,10m_ribbon,1400-1530,5521,23.5,-0.0456,-0.2617,-1445.0,0.606,-13.78,5.0,-1308.7,-136.3
3m,long,confirm,be_after_1r,atr_1.5,none,all,29527,31.1,-0.0267,-0.1441,-4253.6,0.665,-26.51,5.0,-3639.6,-614.0
3m,long,confirm,be_after_1r,atr_1.5,none,0930-1100,6775,34.2,-0.0112,-0.0985,-667.4,0.742,-9.52,11.0,-569.6,-97.8
3m,long,confirm,be_after_1r,atr_1.5,none,1100-1400,13565,31.0,-0.0285,-0.1509,-2047.6,0.639,-19.62,0.0,-1748.9,-298.7
3m,long,confirm,be_after_1r,atr_1.5,none,1400-1530,7142,28.1,-0.0501,-0.185,-1321.3,0.62,-15.29,11.0,-1137.3,-184.0
3m,long,confirm,be_after_1r,atr_1.5,10m_ribbon,all,20826,31.0,-0.0223,-0.1449,-3018.0,0.668,-22.03,5.0,-2596.3,-421.7
3m,long,confirm,be_after_1r,atr_1.5,10m_ribbon,0930-1100,5207,34.6,-0.0018,-0.0912,-475.1,0.76,-7.64,11.0,-409.4,-65.7
3m,long,confirm,be_after_1r,atr_1.5,10m_ribbon,1100-1400,9120,30.4,-0.03,-0.1592,-1452.1,0.629,-16.75,5.0,-1206.9,-245.2
3m,long,confirm,be_after_1r,atr_1.5,10m_ribbon,1400-1530,5092,27.9,-0.0421,-0.1843,-938.6,0.628,-12.53,11.0,-830.7,-107.9
3m,long,pullback,cbc_after_1r,candle_low,none,all,25371,38.6,-0.0701,-0.2455,-6229.1,0.643,-30.7,0.0,-4767.4,-1461.7
3m,long,pullback,cbc_after_1r,candle_low,none,0930-1100,5360,39.5,-0.079,-0.2242,-1201.5,0.669,-13.41,5.0,-906.8,-294.7
3m,long,pullback,cbc_after_1r,candle_low,none,1100-1400,11903,39.1,-0.0594,-0.2484,-2956.9,0.643,-21.23,0.0,-2336.2,-620.6
3m,long,pullback,cbc_after_1r,candle_low,none,1400-1530,6280,37.2,-0.0889,-0.2711,-1702.6,0.615,-16.67,5.0,-1295.5,-407.1
3m,long,pullback,cbc_after_1r,candle_low,10m_ribbon,all,18094,38.5,-0.0714,-0.255,-4613.7,0.632,-26.99,0.0,-3554.4,-1059.4
3m,long,pullback,cbc_after_1r,candle_low,10m_ribbon,0930-1100,4104,40.1,-0.0691,-0.218,-894.6,0.676,-11.43,5.0,-666.5,-228.1
3m,long,pullback,cbc_after_1r,candle_low,10m_ribbon,1100-1400,8174,38.7,-0.0703,-0.27,-2206.6,0.616,-19.31,0.0,-1726.9,-479.7
3m,long,pullback,cbc_after_1r,candle_low,10m_ribbon,1400-1530,4534,37.1,-0.0785,-0.2708,-1227.7,0.619,-13.98,5.0,-963.8,-263.9
3m,long,pullback,cbc_after_1r,atr_1.0,none,all,26435,40.1,-0.0488,-0.2318,-6128.0,0.662,-29.96,5.0,-5186.8,-941.2
3m,long,pullback,cbc_after_1r,atr_1.0,none,0930-1100,5326,41.9,-0.0563,-0.1923,-1024.0,0.705,-11.81,5.0,-797.7,-226.3
3m,long,pullback,cbc_after_1r,atr_1.0,none,1100-1400,12032,41.3,-0.0334,-0.2221,-2672.5,0.674,-19.56,0.0,-2310.0,-362.6
3m,long,pullback,cbc_after_1r,atr_1.0,none,1400-1530,7010,37.5,-0.0739,-0.2817,-1974.5,0.611,-18.04,11.0,-1742.2,-232.4
3m,long,pullback,cbc_after_1r,atr_1.0,10m_ribbon,all,18733,39.8,-0.0545,-0.2462,-4612.8,0.645,-26.84,0.0,-3867.8,-745.0
3m,long,pullback,cbc_after_1r,atr_1.0,10m_ribbon,0930-1100,4068,42.1,-0.0534,-0.193,-785.0,0.704,-10.4,5.0,-583.6,-201.4
3m,long,pullback,cbc_after_1r,atr_1.0,10m_ribbon,1100-1400,8216,40.6,-0.054,-0.2531,-2079.4,0.635,-18.68,0.0,-1735.6,-343.8
3m,long,pullback,cbc_after_1r,atr_1.0,10m_ribbon,1400-1530,4998,37.6,-0.0621,-0.2816,-1407.6,0.614,-15.03,5.0,-1277.1,-130.5
3m,long,pullback,cbc_after_1r,atr_1.5,none,all,19397,43.8,-0.0347,-0.1534,-2975.8,0.75,-18.64,0.0,-2499.1,-476.7
3m,long,pullback,cbc_after_1r,atr_1.5,none,0930-1100,4422,44.2,-0.0486,-0.139,-614.5,0.771,-8.33,5.0,-471.3,-143.2
3m,long,pullback,cbc_after_1r,atr_1.5,none,1100-1400,8283,45.1,-0.0169,-0.1401,-1160.8,0.771,-11.12,5.0,-1021.4,-139.3
3m,long,pullback,cbc_after_1r,atr_1.5,none,1400-1530,5125,41.8,-0.0578,-0.1922,-984.8,0.703,-11.54,5.0,-820.5,-164.3
3m,long,pullback,cbc_after_1r,atr_1.5,10m_ribbon,all,13614,44.0,-0.0287,-0.1533,-2086.9,0.751,-15.52,0.0,-1786.2,-300.7
3m,long,pullback,cbc_after_1r,atr_1.5,10m_ribbon,0930-1100,3343,45.0,-0.0301,-0.1229,-410.8,0.794,-6.38,11.0,-317.1,-93.7
3m,long,pullback,cbc_after_1r,atr_1.5,10m_ribbon,1100-1400,5569,45.0,-0.0194,-0.1496,-833.3,0.758,-9.74,0.0,-687.3,-146.0
3m,long,pullback,cbc_after_1r,atr_1.5,10m_ribbon,1400-1530,3622,41.9,-0.0496,-0.1925,-697.1,0.704,-9.6,11.0,-635.6,-61.6
3m,long,pullback,close_against,candle_low,none,all,28940,28.3,-0.0492,-0.2278,-6593.4,0.636,-28.25,5.0,-5328.6,-1264.8
3m,long,pullback,close_against,candle_low,none,0930-1100,5839,30.0,-0.04,-0.1857,-1084.5,0.686,-10.83,5.0,-874.7,-209.8
3m,long,pullback,close_against,candle_low,none,1100-1400,13827,28.2,-0.0505,-0.2426,-3355.1,0.616,-21.07,5.0,-2739.5,-615.6
3m,long,pullback,close_against,candle_low,none,1400-1530,7217,26.7,-0.068,-0.2537,-1830.8,0.608,-15.39,11.0,-1503.3,-327.5
3m,long,pullback,close_against,candle_low,10m_ribbon,all,20347,28.1,-0.0445,-0.2314,-4708.8,0.637,-23.58,5.0,-3817.4,-891.4
3m,long,pullback,close_against,candle_low,10m_ribbon,0930-1100,4457,30.3,-0.0297,-0.1794,-799.6,0.698,-8.95,11.0,-641.9,-157.7
3m,long,pullback,close_against,candle_low,10m_ribbon,1100-1400,9353,27.6,-0.0508,-0.2538,-2373.7,0.61,-17.5,5.0,-1894.7,-479.0
3m,long,pullback,close_against,candle_low,10m_ribbon,1400-1530,5120,26.3,-0.0539,-0.2497,-1278.6,0.62,-12.56,5.0,-1080.1,-198.5
3m,long,pullback,close_against,atr_1.0,none,all,28459,29.5,-0.0388,-0.2197,-6253.1,0.647,-28.33,5.0,-5342.7,-910.4
3m,long,pullback,close_against,atr_1.0,none,0930-1100,5722,31.8,-0.0303,-0.1653,-945.8,0.705,-10.41,5.0,-783.5,-162.4
3m,long,pullback,close_against,atr_1.0,none,1100-1400,13445,29.9,-0.0342,-0.2207,-2967.8,0.635,-20.29,0.0,-2528.3,-439.5
3m,long,pullback,close_against,atr_1.0,none,1400-1530,7231,26.7,-0.0693,-0.2747,-1986.1,0.603,-16.52,11.0,-1755.8,-230.4
3m,long,pullback,close_against,atr_1.0,10m_ribbon,all,19987,29.1,-0.0351,-0.2246,-4488.7,0.645,-23.8,5.0,-3839.1,-649.6
3m,long,pullback,close_against,atr_1.0,10m_ribbon,0930-1100,4364,31.9,-0.0239,-0.1625,-709.3,0.709,-8.89,5.0,-571.4,-137.9
3m,long,pullback,close_against,atr_1.0,10m_ribbon,1100-1400,9079,29.2,-0.0361,-0.2331,-2116.6,0.624,-17.23,5.0,-1777.2,-339.5
3m,long,pullback,close_against,atr_1.0,10m_ribbon,1400-1530,5125,26.4,-0.0546,-0.2717,-1392.5,0.613,-13.43,5.0,-1252.4,-140.2
3m,long,pullback,close_against,atr_1.5,none,all,27041,31.8,-0.0287,-0.1486,-4018.5,0.662,-26.0,5.0,-3413.8,-604.7
3m,long,pullback,close_against,atr_1.5,none,0930-1100,5492,34.0,-0.0233,-0.1132,-621.9,0.714,-9.76,5.0,-514.9,-107.0
3m,long,pullback,close_against,atr_1.5,none,1100-1400,12822,31.7,-0.0255,-0.1492,-1913.5,0.646,-18.85,0.0,-1629.7,-283.9
3m,long,pullback,close_against,atr_1.5,none,1400-1530,6803,29.4,-0.0515,-0.1875,-1275.5,0.621,-15.03,11.0,-1100.6,-174.9
3m,long,pullback,close_against,atr_1.5,10m_ribbon,all,18949,31.6,-0.0249,-0.1506,-2853.8,0.663,-21.6,5.0,-2435.0,-418.8
3m,long,pullback,close_against,atr_1.5,10m_ribbon,0930-1100,4184,34.3,-0.0169,-0.1093,-457.3,0.722,-8.18,11.0,-369.6,-87.7
3m,long,pullback,close_against,atr_1.5,10m_ribbon,1100-1400,8629,31.2,-0.0245,-0.1551,-1338.2,0.641,-15.68,5.0,-1113.4,-224.8
3m,long,pullback,close_against,atr_1.5,10m_ribbon,1400-1530,4815,29.1,-0.0457,-0.1897,-913.4,0.624,-12.49,5.0,-806.5,-106.9
3m,long,pullback,be_after_1r,candle_low,none,all,29399,25.8,-0.0478,-0.2269,-6671.9,0.618,-29.55,5.0,-5426.2,-1245.7
3m,long,pullback,be_after_1r,candle_low,none,0930-1100,5886,27.9,-0.0378,-0.1837,-1081.4,0.677,-11.08,5.0,-891.8,-189.6
3m,long,pullback,be_after_1r,candle_low,none,1100-1400,14057,25.5,-0.0515,-0.244,-3430.1,0.593,-22.42,5.0,-2807.5,-622.5
3m,long,pullback,be_after_1r,candle_low,none,1400-1530,7367,24.0,-0.0636,-0.2501,-1842.8,0.589,-16.0,11.0,-1519.8,-322.9
3m,long,pullback,be_after_1r,candle_low,10m_ribbon,all,20667,25.6,-0.0406,-0.228,-4712.0,0.622,-24.46,5.0,-3864.8,-847.2
3m,long,pullback,be_after_1r,candle_low,10m_ribbon,0930-1100,4487,28.5,-0.0241,-0.174,-780.9,0.694,-8.98,5.0,-650.2,-130.7
3m,long,pullback,be_after_1r,candle_low,10m_ribbon,1100-1400,9514,24.9,-0.0512,-0.2545,-2421.5,0.585,-18.66,5.0,-1949.8,-471.7
3m,long,pullback,be_after_1r,candle_low,10m_ribbon,1400-1530,5227,23.8,-0.0456,-0.242,-1265.1,0.607,-12.85,5.0,-1073.1,-191.9
3m,long,pullback,be_after_1r,atr_1.0,none,all,28820,27.0,-0.0378,-0.2199,-6338.4,0.634,-29.15,5.0,-5437.2,-901.3
3m,long,pullback,be_after_1r,atr_1.0,none,0930-1100,5750,30.1,-0.0294,-0.1644,-945.2,0.699,-10.54,5.0,-784.3,-160.9
3m,long,pullback,be_after_1r,atr_1.0,none,1100-1400,13572,27.6,-0.0328,-0.2203,-2989.9,0.625,-20.7,5.0,-2559.6,-430.4
3m,long,pullback,be_after_1r,atr_1.0,none,1400-1530,7395,23.5,-0.0683,-0.2757,-2038.5,0.582,-17.3,11.0,-1810.8,-227.7
3m,long,pullback,be_after_1r,atr_1.0,10m_ribbon,all,20235,26.8,-0.0309,-0.2216,-4484.3,0.636,-24.14,5.0,-3850.6,-633.7
3m,long,pullback,be_after_1r,atr_1.0,10m_ribbon,0930-1100,4381,30.5,-0.0213,-0.1598,-700.3,0.706,-8.89,5.0,-565.9,-134.4
3m,long,pullback,be_after_1r,atr_1.0,10m_ribbon,1100-1400,9168,27.1,-0.0325,-0.2307,-2115.0,0.616,-17.45,5.0,-1788.0,-326.9
3m,long,pullback,be_after_1r,atr_1.0,10m_ribbon,1400-1530,5231,23.4,-0.0474,-0.2663,-1393.2,0.6,-13.72,5.0,-1253.4,-139.8
3m,long,pullback,be_after_1r,atr_1.5,none,all,27106,31.0,-0.0285,-0.1486,-4027.6,0.658,-26.17,5.0,-3425.4,-602.3
3m,long,pullback,be_after_1r,atr_1.5,none,0930-1100,5494,33.7,-0.0225,-0.1125,-617.8,0.714,-9.72,5.0,-515.5,-102.3
3m,long,pullback,be_after_1r,atr_1.5,none,1100-1400,12838,31.1,-0.0259,-0.1497,-1922.2,0.643,-19.02,0.0,-1635.7,-286.5
3m,long,pullback,be_after_1r,atr_1.5,none,1400-1530,6842,28.2,-0.0504,-0.1867,-1277.1,0.617,-15.11,11.0,-1104.6,-172.6
3m,long,pullback,be_after_1r,atr_1.5,10m_ribbon,all,18989,30.9,-0.0237,-0.1494,-2837.9,0.662,-21.58,5.0,-2424.0,-413.9
3m,long,pullback,be_after_1r,atr_1.5,10m_ribbon,0930-1100,4185,34.0,-0.016,-0.1084,-453.6,0.723,-8.13,11.0,-370.3,-83.2
3m,long,pullback,be_after_1r,atr_1.5,10m_ribbon,1100-1400,8641,30.7,-0.0234,-0.1541,-1331.8,0.64,-15.68,5.0,-1110.1,-221.7
3m,long,pullback,be_after_1r,atr_1.5,10m_ribbon,1400-1530,4836,27.9,-0.0435,-0.1876,-907.1,0.623,-12.47,11.0,-800.1,-107.0
3m,long,two_consec,cbc_after_1r,candle_low,none,all,28699,35.4,-0.079,-0.2869,-8233.0,0.611,-34.87,0.0,-6172.0,-2061.0
3m,long,two_consec,cbc_after_1r,candle_low,none,0930-1100,6709,37.1,-0.0596,-0.2359,-1582.5,0.669,-14.01,0.0,-1289.4,-293.1
3m,long,two_consec,cbc_after_1r,candle_low,none,1100-1400,13249,34.7,-0.1051,-0.3282,-4348.2,0.567,-28.02,0.0,-3254.7,-1093.5
3m,long,two_consec,cbc_after_1r,candle_low,none,1400-1530,6771,35.2,-0.0594,-0.2758,-1867.1,0.628,-15.57,5.0,-1372.6,-494.5
3m,long,two_consec,cbc_after_1r,candle_low,10m_ribbon,all,20556,35.3,-0.0766,-0.293,-6023.9,0.605,-30.08,0.0,-4550.8,-1473.0
3m,long,two_consec,cbc_after_1r,candle_low,10m_ribbon,0930-1100,5229,37.8,-0.0446,-0.2258,-1180.5,0.68,-11.81,0.0,-949.7,-230.8
3m,long,two_consec,cbc_after_1r,candle_low,10m_ribbon,1100-1400,9039,34.2,-0.1141,-0.3489,-3153.8,0.545,-24.87,0.0,-2378.0,-775.8
3m,long,two_consec,cbc_after_1r,candle_low,10m_ribbon,1400-1530,4908,35.0,-0.0555,-0.2817,-1382.4,0.623,-13.55,5.0,-1028.1,-354.3
3m,long,two_consec,cbc_after_1r,atr_1.0,none,all,26702,40.5,-0.0365,-0.2107,-5625.1,0.689,-27.16,0.0,-4739.0,-886.1
3m,long,two_consec,cbc_after_1r,atr_1.0,none,0930-1100,6128,43.3,-0.0176,-0.1488,-912.1,0.766,-9.63,11.0,-756.6,-155.5
3m,long,two_consec,cbc_after_1r,atr_1.0,none,1100-1400,11876,40.9,-0.042,-0.2228,-2645.4,0.673,-19.5,0.0,-2233.8,-411.6
3m,long,two_consec,cbc_after_1r,atr_1.0,none,1400-1530,6696,38.6,-0.0443,-0.2433,-1629.0,0.657,-15.08,11.0,-1426.2,-202.8
3m,long,two_consec,cbc_after_1r,atr_1.0,10m_ribbon,all,18976,40.5,-0.0354,-0.2174,-4126.2,0.681,-23.59,0.0,-3437.6,-688.6
3m,long,two_consec,cbc_after_1r,atr_1.0,10m_ribbon,0930-1100,4703,44.3,-0.0005,-0.1351,-635.5,0.784,-7.65,5.0,-520.5,-115.0
3m,long,two_consec,cbc_after_1r,atr_1.0,10m_ribbon,1100-1400,8061,40.1,-0.057,-0.2478,-1997.6,0.643,-17.98,0.0,-1646.5,-351.1
3m,long,two_consec,cbc_after_1r,atr_1.0,10m_ribbon,1400-1530,4823,38.5,-0.0388,-0.2482,-1196.9,0.653,-13.02,5.0,-1051.3,-145.6
3m,long,two_consec,cbc_after_1r,atr_1.5,none,all,19797,44.5,-0.0184,-0.1322,-2617.9,0.781,-16.17,0.0,-2211.6,-406.3
3m,long,two_consec,cbc_after_1r,atr_1.5,none,0930-1100,5027,46.1,-0.0078,-0.095,-477.6,0.837,-6.05,11.0,-380.5,-97.1
3m,long,two_consec,cbc_after_1r,atr_1.5,none,1100-1400,8251,45.2,-0.0119,-0.1311,-1081.7,0.785,-10.31,5.0,-974.7,-107.0
3m,long,two_consec,cbc_after_1r,atr_1.5,none,1400-1530,5004,42.4,-0.0488,-0.1781,-891.2,0.721,-10.55,5.0,-721.5,-169.7
3m,long,two_consec,cbc_after_1r,atr_1.5,10m_ribbon,all,13964,44.6,-0.013,-0.1322,-1846.4,0.782,-13.52,5.0,-1573.4,-273.0
3m,long,two_consec,cbc_after_1r,atr_1.5,10m_ribbon,0930-1100,3807,47.2,0.0196,-0.0701,-267.0,0.877,-3.86,26.0,-221.1,-46.0
3m,long,two_consec,cbc_after_1r,atr_1.5,10m_ribbon,1100-1400,5543,44.7,-0.0237,-0.1497,-829.8,0.758,-9.71,11.0,-725.2,-104.5
3m,long,two_consec,cbc_after_1r,atr_1.5,10m_ribbon,1400-1530,3568,42.1,-0.0508,-0.1876,-669.5,0.709,-9.36,5.0,-540.2,-129.3
3m,long,two_consec,close_against,candle_low,none,all,29230,26.3,-0.0568,-0.2664,-7785.9,0.628,-28.43,5.0,-6174.3,-1611.6
3m,long,two_consec,close_against,candle_low,none,0930-1100,6741,28.6,-0.0173,-0.1945,-1311.1,0.712,-9.96,11.0,-1180.7,-130.4
3m,long,two_consec,close_against,candle_low,none,1100-1400,13589,25.5,-0.0807,-0.3054,-4150.3,0.58,-23.18,0.0,-3217.3,-933.0
3m,long,two_consec,close_against,candle_low,none,1400-1530,6899,25.4,-0.0624,-0.2804,-1934.2,0.617,-14.07,11.0,-1493.7,-440.5
3m,long,two_consec,close_against,candle_low,10m_ribbon,all,20622,26.3,-0.052,-0.2704,-5576.1,0.628,-24.09,5.0,-4406.0,-1170.2
3m,long,two_consec,close_against,candle_low,10m_ribbon,0930-1100,5198,29.6,0.0044,-0.1777,-923.8,0.736,-7.92,11.0,-837.1,-86.8
3m,long,two_consec,close_against,candle_low,10m_ribbon,1100-1400,9113,25.0,-0.0853,-0.3224,-2938.4,0.567,-19.75,5.0,-2247.7,-690.6
3m,long,two_consec,close_against,candle_low,10m_ribbon,1400-1530,4930,25.0,-0.0657,-0.2933,-1445.8,0.607,-12.54,5.0,-1115.3,-330.5
3m,long,two_consec,close_against,atr_1.0,none,all,27735,29.7,-0.032,-0.2049,-5682.4,0.663,-26.32,0.0,-4868.5,-813.9
3m,long,two_consec,close_against,atr_1.0,none,0930-1100,6414,32.5,-0.0126,-0.1436,-920.9,0.735,-9.64,11.0,-810.1,-110.8
3m,long,two_consec,close_against,atr_1.0,none,1100-1400,12749,29.3,-0.0409,-0.2205,-2811.5,0.63,-20.09,5.0,-2354.7,-456.8
3m,long,two_consec,close_against,atr_1.0,none,1400-1530,6628,28.0,-0.039,-0.2368,-1569.6,0.647,-13.59,11.0,-1399.4,-170.2
3m,long,two_consec,close_against,atr_1.0,10m_ribbon,all,19556,29.6,-0.0239,-0.2048,-4004.5,0.667,-21.68,0.0,-3468.0,-536.5
3m,long,two_consec,close_against,atr_1.0,10m_ribbon,0930-1100,4914,34.1,0.0158,-0.1186,-582.9,0.777,-6.89,16.0,-529.5,-53.4
3m,long,two_consec,close_against,atr_1.0,10m_ribbon,1100-1400,8560,28.3,-0.0457,-0.2357,-2017.8,0.615,-17.15,11.0,-1686.4,-331.4
3m,long,two_consec,close_against,atr_1.0,10m_ribbon,1400-1530,4747,27.4,-0.0371,-0.2456,-1165.9,0.64,-11.87,11.0,-1049.7,-116.2
3m,long,two_consec,close_against,atr_1.5,none,all,26480,32.1,-0.0206,-0.1353,-3582.4,0.683,-23.57,0.0,-3087.5,-494.9
3m,long,two_consec,close_against,atr_1.5,none,0930-1100,6201,34.6,-0.0093,-0.0964,-598.0,0.747,-8.91,16.0,-521.5,-76.6
