tf,side,entry,exit,stop,htf,tod,n_trades,win_rate,avg_r_gross,avg_r_net,total_r_net,pf_net,t_stat,pos_years_pct,r_2008_2019,r_2020_2026
10m,long,two_consec,close_against,atr_1.5,none,1100-1400,3897,36.4,0.0129,-0.0485,-188.9,0.845,-3.92,21.0,-195.4,6.5
10m,long,two_consec,close_against,atr_1.5,none,1400-1530,2134,35.8,0.0225,-0.0494,-105.5,0.868,-2.48,32.0,-129.7,24.2
10m,long,two_consec,be_after_1r,candle_low,none,all,9242,26.3,0.0117,-0.1348,-1246.0,0.78,-7.45,21.0,-1216.5,-29.4
10m,long,two_consec,be_after_1r,candle_low,none,0930-1100,1988,29.8,0.0353,-0.0827,-164.5,0.853,-2.44,32.0,-186.9,22.4
10m,long,two_consec,be_after_1r,candle_low,none,1100-1400,4472,25.8,0.0334,-0.1212,-541.9,0.803,-4.22,16.0,-566.1,24.2
10m,long,two_consec,be_after_1r,candle_low,none,1400-1530,2496,23.9,-0.036,-0.1923,-480.0,0.701,-6.12,11.0,-419.9,-60.1
10m,long,two_consec,be_after_1r,atr_1.0,none,all,8431,33.7,0.031,-0.0633,-533.9,0.864,-5.02,26.0,-594.7,60.8
10m,long,two_consec,be_after_1r,atr_1.0,none,0930-1100,1933,37.1,0.0658,-0.0166,-32.0,0.963,-0.63,47.0,-65.1,33.1
10m,long,two_consec,be_after_1r,atr_1.0,none,1100-1400,4019,33.5,0.0229,-0.0689,-277.0,0.844,-3.99,16.0,-286.0,9.0
10m,long,two_consec,be_after_1r,atr_1.0,none,1400-1530,2224,30.7,0.0229,-0.085,-189.0,0.837,-3.14,32.0,-220.9,31.9
10m,long,two_consec,be_after_1r,atr_1.5,none,all,8175,37.0,0.0212,-0.0417,-341.0,0.874,-4.58,26.0,-390.5,49.5
10m,long,two_consec,be_after_1r,atr_1.5,none,0930-1100,1907,40.3,0.0397,-0.0153,-29.1,0.952,-0.81,37.0,-51.3,22.1
10m,long,two_consec,be_after_1r,atr_1.5,none,1100-1400,3900,36.1,0.0136,-0.0478,-186.4,0.846,-3.88,21.0,-192.1,5.7
10m,long,two_consec,be_after_1r,atr_1.5,none,1400-1530,2134,35.4,0.0248,-0.0471,-100.5,0.874,-2.36,32.0,-127.2,26.7
10m,short,confirm,cbc_after_1r,candle_low,none,all,7224,38.2,-0.0483,-0.1418,-1024.5,0.779,-8.78,11.0,-913.6,-110.9
10m,short,confirm,cbc_after_1r,candle_low,none,0930-1100,1610,38.4,-0.0746,-0.1509,-243.0,0.766,-4.5,21.0,-197.2,-45.8
10m,short,confirm,cbc_after_1r,candle_low,none,1100-1400,3595,38.5,-0.0477,-0.147,-528.5,0.775,-6.38,16.0,-461.8,-66.7
10m,short,confirm,cbc_after_1r,candle_low,none,1400-1530,1838,37.6,-0.0261,-0.1238,-227.5,0.804,-3.8,42.0,-243.2,15.8
10m,short,confirm,cbc_after_1r,atr_1.0,none,all,7220,39.7,-0.0397,-0.1241,-895.8,0.805,-7.94,11.0,-766.6,-129.1
10m,short,confirm,cbc_after_1r,atr_1.0,none,0930-1100,1638,39.6,-0.0704,-0.1466,-240.1,0.771,-4.63,11.0,-208.8,-31.3
10m,short,confirm,cbc_after_1r,atr_1.0,none,1100-1400,3536,41.1,-0.0386,-0.121,-428.0,0.808,-5.61,5.0,-344.2,-83.8
10m,short,confirm,cbc_after_1r,atr_1.0,none,1400-1530,1865,37.7,-0.012,-0.1059,-197.6,0.836,-3.15,32.0,-201.4,3.8
10m,short,confirm,cbc_after_1r,atr_1.5,none,all,5593,43.1,-0.0256,-0.0814,-455.4,0.854,-5.25,16.0,-384.4,-71.0
10m,short,confirm,cbc_after_1r,atr_1.5,none,0930-1100,1575,42.3,-0.0592,-0.1102,-173.5,0.814,-3.76,21.0,-134.9,-38.7
10m,short,confirm,cbc_after_1r,atr_1.5,none,1100-1400,2581,43.7,-0.0335,-0.0882,-227.5,0.843,-3.97,21.0,-188.1,-39.5
10m,short,confirm,cbc_after_1r,atr_1.5,none,1400-1530,1302,43.4,0.0257,-0.0373,-48.5,0.928,-1.1,37.0,-55.4,6.9
10m,short,confirm,close_against,candle_low,none,all,7880,30.6,-0.0315,-0.1261,-993.5,0.778,-7.92,21.0,-818.9,-174.6
