entry_ts,exit_ts,entry,exit,reason,arm_ts,pnl_pts,year,window,pnl_usd,win,mins_held
2008-01-10 15:17:00,2008-01-10 15:52:00,1324.2830257589078,1319.2830257589078,stop,2008-01-10 15:15:00,-5.31,2008,PM,-265.5,False,35.0
2008-01-22 15:42:00,2008-01-22 15:53:00,1219.5816871799411,1214.5816871799411,stop,2008-01-22 15:42:00,-5.31,2008,PM,-265.5,False,11.0
2008-01-24 11:55:00,2008-01-24 12:28:00,1248.1869751589538,1243.1869751589538,stop,2008-01-24 11:54:00,-5.31,2008,AM,-265.5,False,33.0
2008-01-25 09:52:00,2008-01-25 10:31:00,1261.729750235859,1256.729750235859,stop,2008-01-25 09:51:00,-5.31,2008,AM,-265.5,False,39.0
2008-01-29 09:48:00,2008-01-29 10:01:00,1258.0151014073124,1253.0151014073124,stop,2008-01-29 09:48:00,-5.31,2008,AM,-265.5,False,13.0
2008-01-29 15:28:00,2008-01-29 15:59:00,1262.570259994556,1262.35,eod,2008-01-29 15:27:00,-0.5302599945560451,2008,PM,-26.512999727802256,False,31.0
2008-02-01 10:19:00,2008-02-01 10:26:00,1287.544963831638,1282.544963831638,stop,2008-02-01 10:18:00,-5.31,2008,AM,-265.5,False,7.0
2008-02-12 10:38:00,2008-02-12 12:42:00,1256.1070120209022,1251.1070120209022,stop,2008-02-12 10:36:00,-5.31,2008,AM,-265.5,False,124.0
2008-02-13 11:50:00,2008-02-13 15:22:00,1257.1342764422534,1265.1342764422534,target,2008-02-13 11:48:00,7.69,2008,AM,384.5,True,212.0
2008-02-15 15:23:00,2008-02-15 15:59:00,1245.4376770941958,1249.86,eod,2008-02-15 15:21:00,4.112322905804095,2008,PM,205.61614529020474,True,36.0
2008-02-20 15:08:00,2008-02-20 15:59:00,1259.236124108771,1258.42,eod,2008-02-20 15:06:00,-1.1261241087709641,2008,PM,-56.306205438548204,False,51.0
2008-02-21 09:54:00,2008-02-21 10:04:00,1263.9348272394263,1258.9348272394263,stop,2008-02-21 09:54:00,-5.31,2008,AM,-265.5,False,10.0
2008-02-25 10:42:00,2008-02-25 13:34:00,1256.0780749301312,1251.0780749301312,stop,2008-02-25 10:42:00,-5.31,2008,AM,-265.5,False,172.0
2008-02-26 09:30:00,2008-02-26 11:05:00,1264.21,1272.21,target,2008-02-25 16:00:00,7.69,2008,AM,384.5,True,95.0
2008-02-26 11:10:00,2008-02-26 12:00:00,1269.1616586004914,1277.1616586004914,target,2008-02-26 11:09:00,7.69,2008,AM,384.5,True,50.0
2008-03-05 10:27:00,2008-03-05 12:26:00,1239.2329008433157,1234.2329008433157,stop,2008-03-05 10:27:00,-5.31,2008,AM,-265.5,False,119.0
2008-03-12 09:45:00,2008-03-12 11:10:00,1222.882412369798,1230.882412369798,target,2008-03-12 09:45:00,7.69,2008,AM,384.5,True,85.0
2008-03-12 11:32:00,2008-03-12 12:02:00,1231.3101367282534,1226.3101367282534,stop,2008-03-12 11:30:00,-5.31,2008,AM,-265.5,False,30.0
2008-03-17 15:12:00,2008-03-17 15:25:00,1181.1962941047213,1189.1962941047213,target,2008-03-17 15:12:00,7.69,2008,PM,384.5,True,13.0
2008-03-19 09:54:00,2008-03-19 10:30:00,1236.69333458272,1231.69333458272,stop,2008-03-19 09:54:00,-5.31,2008,AM,-265.5,False,36.0
2008-03-19 11:31:00,2008-03-19 12:15:00,1234.7444309604334,1229.7444309604334,stop,2008-03-19 11:30:00,-5.31,2008,AM,-265.5,False,44.0
2008-03-20 11:35:00,2008-03-20 11:48:00,1215.505412796153,1210.505412796153,stop,2008-03-20 11:33:00,-5.31,2008,AM,-265.5,False,13.0
2008-03-20 15:26:00,2008-03-20 15:59:00,1228.176879340006,1230.85,eod,2008-03-20 15:24:00,2.363120659993856,2008,PM,118.1560329996928,True,33.0
2008-03-24 10:54:00,2008-03-24 15:59:00,1251.0940731618166,1247.95,eod,2008-03-24 10:54:00,-3.45407316181655,2008,AM,-172.7036580908275,False,305.0
2008-04-02 09:33:00,2008-04-02 10:53:00,1266.1298645858367,1274.1298645858367,target,2008-04-02 09:33:00,7.69,2008,AM,384.5,True,80.0
2008-04-02 11:06:00,2008-04-02 13:07:00,1273.1258918532278,1268.1258918532278,stop,2008-04-02 11:06:00,-5.31,2008,AM,-265.5,False,121.0
2008-04-07 11:56:00,2008-04-07 14:28:00,1278.6881114740927,1273.6881114740927,stop,2008-04-07 11:54:00,-5.31,2008,AM,-265.5,False,152.0
2008-04-15 15:37:00,2008-04-15 15:59:00,1232.4956260355475,1233.85,eod,2008-04-15 15:36:00,1.0443739644524066,2008,PM,52.21869822262033,True,22.0
2008-04-16 10:09:00,2008-04-16 10:53:00,1246.1997094660949,1254.1997094660949,target,2008-04-16 10:09:00,7.69,2008,AM,384.5,True,44.0
2008-04-16 15:33:00,2008-04-16 15:59:00,1258.583290434752,1262.74,eod,2008-04-16 15:33:00,3.846709565248093,2008,PM,192.33547826240465,True,26.0
2008-04-17 15:28:00,2008-04-17 15:59:00,1263.3216329444333,1263.67,eod,2008-04-17 15:27:00,0.038367055566768615,2008,PM,1.9183527783384307,True,31.0
2008-04-23 11:00:00,2008-04-23 12:20:00,1280.9334110549612,1275.9334110549612,stop,2008-04-23 11:00:00,-5.31,2008,AM,-265.5,False,80.0
2008-04-25 15:36:00,2008-04-25 15:59:00,1292.473573455441,1293.48,eod,2008-04-25 15:36:00,0.6964265445589626,2008,PM,34.82132722794813,True,23.0
2008-04-29 15:03:00,2008-04-29 15:59:00,1290.273925406238,1287.01,eod,2008-04-29 15:03:00,-3.5739254062380588,2008,PM,-178.69627031190294,False,56.0
2008-04-30 10:12:00,2008-04-30 14:17:00,1289.9026481081223,1297.9026481081223,target,2008-04-30 10:12:00,7.69,2008,AM,384.5,True,245.0
2008-05-02 10:16:00,2008-05-02 10:39:00,1313.3630032986284,1308.3630032986284,stop,2008-05-02 10:15:00,-5.31,2008,AM,-265.5,False,23.0
2008-05-06 15:22:00,2008-05-06 15:59:00,1311.4880035856775,1311.27,eod,2008-05-06 15:21:00,-0.5280035856774794,2008,PM,-26.40017928387397,False,37.0
2008-05-12 15:00:00,2008-05-12 15:59:00,1296.821872362056,1297.64,eod,2008-05-12 15:00:00,0.5081276379441442,2008,PM,25.406381897207208,True,59.0
2008-05-15 15:21:00,2008-05-15 15:59:00,1311.5194390099025,1315.43,eod,2008-05-15 15:21:00,3.600560990097565,2008,PM,180.02804950487825,True,38.0
2008-05-16 15:00:00,2008-05-16 15:59:00,1315.0298060284892,1316.82,eod,2008-05-16 15:00:00,1.480193971510689,2008,PM,74.00969857553446,True,59.0
2008-05-19 10:47:00,2008-05-19 13:27:00,1323.8388766695214,1331.8388766695214,target,2008-05-19 10:45:00,7.69,2008,AM,384.5,True,160.0
2008-05-27 15:13:00,2008-05-27 15:59:00,1280.04584151634,1280.54,eod,2008-05-27 15:12:00,0.18415848365993043,2008,PM,9.207924182996521,True,46.0
2008-05-28 15:43:00,2008-05-28 15:59:00,1282.5567905003716,1285.39,eod,2008-05-28 15:42:00,2.5232094996285377,2008,PM,126.16047498142689,True,16.0
2008-05-29 10:00:00,2008-05-29 11:51:00,1286.5499576321035,1294.5499576321035,target,2008-05-29 10:00:00,7.69,2008,AM,384.5,True,111.0
2008-05-30 10:43:00,2008-05-30 15:59:00,1296.6443053723099,1293.02,eod,2008-05-30 10:42:00,-3.934305372309891,2008,AM,-196.71526861549455,False,316.0
2008-06-03 10:15:00,2008-06-03 13:29:00,1284.711691303361,1279.711691303361,stop,2008-06-03 10:15:00,-5.31,2008,AM,-265.5,False,194.0
2008-06-12 11:24:00,2008-06-12 13:10:00,1248.9925908564567,1243.9925908564567,stop,2008-06-12 11:24:00,-5.31,2008,AM,-265.5,False,106.0
2008-06-16 09:30:00,2008-06-16 10:55:00,1248.89,1256.89,target,2008-06-13 16:00:00,7.69,2008,AM,384.5,True,85.0
2008-06-17 09:55:00,2008-06-17 11:29:00,1259.2848703087566,1254.2848703087566,stop,2008-06-17 09:54:00,-5.31,2008,AM,-265.5,False,94.0
2008-06-25 11:00:00,2008-06-25 15:06:00,1225.668671921737,1233.668671921737,target,2008-06-25 11:00:00,7.69,2008,AM,384.5,True,246.0
2008-06-25 15:14:00,2008-06-25 15:23:00,1230.5550953790666,1225.5550953790666,stop,2008-06-25 15:12:00,-5.31,2008,PM,-265.5,False,9.0
2008-07-02 09:51:00,2008-07-02 11:29:00,1189.3982133458342,1184.3982133458342,stop,2008-07-02 09:51:00,-5.31,2008,AM,-265.5,False,98.0
2008-07-08 15:36:00,2008-07-08 15:59:00,1171.4195505929272,1176.22,eod,2008-07-08 15:36:00,4.490449407072847,2008,PM,224.52247035364238,True,23.0
2008-07-09 10:35:00,2008-07-09 12:38:00,1176.5773207985035,1171.5773207985035,stop,2008-07-09 10:33:00,-5.31,2008,AM,-265.5,False,123.0
