config,n,win_pct,avg_pts,tot_pts,pf,t_day,max_dd_usd,avg_0819,avg_2026,t_day_2026,window,exit
reclaim|both|s5/t8,1476,42.1,-0.305,-449.8,0.881,-2.17,-26574.0,-0.234,-0.432,-1.64,both,s5/t8
reclaim|both|s5/eod,1406,35.3,-0.081,-114.5,0.972,-0.36,-15476.0,-0.151,0.048,0.09,both,s5/eod
reclaim|both|s8/eod,1377,40.5,-0.215,-296.0,0.94,-0.78,-22658.0,-0.31,-0.035,-0.05,both,s8/eod
reclaim|both|s10/eod,1366,42.7,-0.237,-324.4,0.94,-0.78,-21787.0,-0.34,-0.042,-0.06,both,s10/eod
reclaim|both|trail a6d6 s5,1445,43.5,-0.325,-469.9,0.867,-2.13,-25305.0,-0.18,-0.586,-1.99,both,trail a6d6 s5
reclaim|both|trail a8d8 s8,1411,47.0,-0.376,-530.1,0.878,-1.93,-26523.0,-0.296,-0.52,-1.32,both,trail a8d8 s8
reclaim|both|be6 s5/eod,1421,30.5,-0.273,-388.4,0.89,-1.4,-20473.0,-0.176,-0.451,-1.04,both,be6 s5/eod
reclaim|am|s5/t8,1074,42.7,-0.268,-288.2,0.904,-1.53,-18852.0,-0.113,-0.565,-1.74,am,s5/t8
reclaim|am|s5/eod,1044,34.2,-0.014,-14.4,0.996,-0.05,-12764.0,-0.11,0.176,0.26,am,s5/eod
reclaim|am|s8/eod,1026,40.4,-0.181,-186.1,0.956,-0.51,-20158.0,-0.345,0.145,0.17,am,s8/eod
reclaim|am|s10/eod,1022,43.2,-0.194,-198.1,0.957,-0.5,-20037.0,-0.365,0.149,0.16,am,s10/eod
reclaim|am|trail a6d6 s5,1060,44.1,-0.312,-331.1,0.883,-1.64,-17306.0,-0.089,-0.744,-2.04,am,trail a6d6 s5
reclaim|am|trail a8d8 s8,1040,48.8,-0.387,-402.1,0.887,-1.57,-20473.0,-0.303,-0.549,-1.09,am,trail a8d8 s8
reclaim|am|be6 s5/eod,1051,29.1,-0.242,-254.5,0.911,-0.99,-13088.0,-0.145,-0.431,-0.76,am,be6 s5/eod
