entry_ts,exit_ts,pnl_pts,reason,ticker
2026-01-27 11:18:00,2026-01-27 12:17:00,-1.0343681147852795,stop,QQQ
2026-01-27 15:21:00,2026-01-27 15:30:00,-0.5262848419058901,stop,QQQ
2026-01-30 09:30:00,2026-01-30 10:04:00,-0.12000000000003183,ribbon,QQQ
2026-02-02 11:36:00,2026-02-02 14:52:00,-0.2299999999999318,ribbon,QQQ
2026-02-06 11:03:00,2026-02-06 15:59:00,6.04000000000005,eod,QQQ
2026-02-12 09:42:00,2026-02-12 09:45:00,-1.8743677065509974,stop,QQQ
2026-02-18 09:57:00,2026-02-18 13:49:00,2.8699999999999775,ribbon,QQQ
2026-02-20 09:48:00,2026-02-20 12:19:00,0.5800000000000136,ribbon,QQQ
2026-03-02 11:45:00,2026-03-02 13:58:00,-0.8099999999999727,ribbon,QQQ
2026-03-04 11:48:00,2026-03-04 15:16:00,-0.4299999999999773,ribbon,QQQ
2026-03-09 15:21:00,2026-03-09 15:59:00,4.279999999999945,eod,QQQ
2026-03-10 10:39:00,2026-03-10 14:19:00,-1.469999999999941,ribbon,QQQ
2026-03-31 15:24:00,2026-03-31 15:59:00,0.14999999999994998,eod,QQQ
2026-04-01 09:33:00,2026-04-01 14:07:00,2.560199999999982,ribbon,QQQ
2026-04-02 15:12:00,2026-04-02 15:59:00,0.8900000000000727,eod,QQQ
2026-04-06 09:30:00,2026-04-06 13:07:00,-0.11000000000004093,ribbon,QQQ
2026-04-08 11:51:00,2026-04-08 14:46:00,-1.539999999999991,ribbon,QQQ
2026-04-09 15:15:00,2026-04-09 15:59:00,0.7000000000000182,eod,QQQ
2026-04-13 15:00:00,2026-04-13 15:59:00,2.354999999999991,eod,QQQ
2026-04-14 09:33:00,2026-04-14 15:59:00,6.940000000000027,eod,QQQ
2026-04-15 11:45:00,2026-04-15 12:41:00,-1.158887419876719,stop,QQQ
2026-04-15 15:00:00,2026-04-15 15:59:00,1.6501000000000385,eod,QQQ
2026-04-16 09:45:00,2026-04-16 09:52:00,-1.7878007882268594,stop,QQQ
2026-04-16 10:48:00,2026-04-16 13:19:00,0.8149999999999136,ribbon,QQQ
2026-04-17 09:33:00,2026-04-17 13:31:00,2.4449999999999092,ribbon,QQQ
2026-04-20 09:30:00,2026-04-20 09:32:00,-1.2167872721426238,stop,QQQ
2026-04-21 09:57:00,2026-04-21 10:58:00,-1.711874249507473,stop,QQQ
2026-04-22 15:21:00,2026-04-22 15:59:00,0.7700000000000682,eod,QQQ
2026-04-23 11:00:00,2026-04-23 12:10:00,-1.0599999999999727,ribbon,QQQ
2026-04-24 11:03:00,2026-04-24 15:59:00,3.455000000000014,eod,QQQ
2026-04-28 09:30:00,2026-04-28 09:31:00,-1.6500000000000046,stop,QQQ
2026-04-29 10:24:00,2026-04-29 11:58:00,-0.53,ribbon,QQQ
2026-04-29 15:00:00,2026-04-29 15:59:00,-0.11999999999991814,eod,QQQ
2026-04-30 11:00:00,2026-04-30 15:59:00,5.47,eod,QQQ
2026-05-01 11:33:00,2026-05-01 14:40:00,-0.9163000000000057,ribbon,QQQ
2026-05-05 09:33:00,2026-05-05 15:55:00,2.6399999999999593,ribbon,QQQ
2026-05-06 10:51:00,2026-05-06 15:59:00,4.479999999999991,eod,QQQ
2026-05-08 11:36:00,2026-05-08 15:59:00,3.4802000000000546,eod,QQQ
2026-05-11 09:30:00,2026-05-11 10:31:00,-1.1335583521097579,stop,QQQ
2026-05-11 10:54:00,2026-05-11 13:19:00,-0.3990000000000282,ribbon,QQQ
2026-05-12 15:18:00,2026-05-12 15:59:00,3.0399999999999365,eod,QQQ
2026-05-13 09:30:00,2026-05-13 09:31:00,-1.6391251256791566,stop,QQQ
2026-05-13 15:42:00,2026-05-13 15:51:00,-1.0349692481667307,stop,QQQ
2026-05-14 10:42:00,2026-05-14 13:19:00,-1.6699999999999864,ribbon,QQQ
2026-05-20 10:45:00,2026-05-20 15:59:00,3.679999999999923,eod,QQQ
2026-05-21 09:30:00,2026-05-21 09:37:00,0.39999999999994995,ribbon,QQQ
2026-05-26 15:24:00,2026-05-26 15:59:00,0.26319999999995614,eod,QQQ
2026-05-29 11:33:00,2026-05-29 13:25:00,-0.7550000000000228,ribbon,QQQ
2026-06-01 10:36:00,2026-06-01 15:46:00,4.046199999999971,ribbon,QQQ
2026-06-02 11:12:00,2026-06-02 13:28:00,-0.4000000000000046,ribbon,QQQ
2026-06-09 15:00:00,2026-06-09 15:15:00,-4.181472228422108,stop,QQQ
2026-06-09 15:36:00,2026-06-09 15:59:00,3.2100000000000093,eod,QQQ
2026-06-10 10:27:00,2026-06-10 10:56:00,-5.753474981132313,stop,QQQ
2026-06-11 11:42:00,2026-06-11 13:01:00,-2.3000000000000953,ribbon,QQQ
2026-06-11 15:15:00,2026-06-11 15:59:00,3.060000000000032,eod,QQQ
2026-06-12 10:12:00,2026-06-12 10:46:00,-4.791496246620141,stop,QQQ
2026-06-12 11:06:00,2026-06-12 11:59:00,-5.093422831698631,stop,QQQ
2026-06-25 10:57:00,2026-06-25 11:19:00,-3.7899999999999907,ribbon,QQQ
2026-06-30 09:33:00,2026-06-30 15:59:00,10.54000000000005,eod,QQQ
2026-07-06 11:48:00,2026-07-06 13:00:00,-2.20895364812216,stop,QQQ
2026-07-06 15:21:00,2026-07-06 15:50:00,-1.3326304160340487,stop,QQQ
2026-07-09 09:33:00,2026-07-09 15:59:00,5.770000000000068,eod,QQQ
